osmid,name,highway,oneway,reversed,length,geometry,maxspeed
98581124,Główna,residential,False,True,82.864,"LINESTRING (18.1104168 52.7537123, 18.1093557 52.7533343)",
98581124,Główna,residential,False,False,84.071,"LINESTRING (18.1104168 52.7537123, 18.1107695 52.7538284, 18.1115005 52.7540882)",
98581124,Główna,residential,False,False,82.864,"LINESTRING (18.1093557 52.7533343, 18.1104168 52.7537123)",
98581124,Główna,residential,False,True,74.211,"LINESTRING (18.1093557 52.7533343, 18.1089944 52.7532101, 18.1086716 52.7530992, 18.1083639 52.7530557)",
98588119,,residential,False,False,188.203,"LINESTRING (18.1093557 52.7533343, 18.1094124 52.7532861, 18.1094867 52.7531999, 18.1102069 52.7524033, 18.1094109 52.7521584, 18.1092857 52.7521144)",
183941245,Stanisława Przybyszewskiego,residential,False,True,72.258,"LINESTRING (18.1092824 52.7492881, 18.108209 52.7492993)",30
183941245,Stanisława Przybyszewskiego,residential,False,False,153.524,"LINESTRING (18.1092824 52.7492881, 18.1104336 52.7496936, 18.1111549 52.7499498, 18.1112532 52.7499832)",30
98581124,Główna,residential,False,False,74.211,"LINESTRING (18.1083639 52.7530557, 18.1086716 52.7530992, 18.1089944 52.7532101, 18.1093557 52.7533343)",
98581124,Główna,residential,False,True,63.321,"LINESTRING (18.1083639 52.7530557, 18.1082601 52.753055, 18.1074233 52.7530424)",
226734124,Miła,residential,False,True,241.42200000000003,"LINESTRING (18.1083639 52.7530557, 18.1083528 52.7531465, 18.1081684 52.7534244, 18.1080625 52.753703, 18.1079258 52.7543255, 18.1078261 52.754759, 18.1077482 52.7551855)",
282478625,Dworcowa,residential,False,True,101.707,"LINESTRING (18.1083639 52.7530557, 18.1085225 52.7528936, 18.109134 52.7522687)",
183941245,Stanisława Przybyszewskiego,residential,False,False,72.258,"LINESTRING (18.108209 52.7492993, 18.1092824 52.7492881)",30
98588121,Przemysłowa,tertiary,False,True,59.196,"LINESTRING (18.1125751 52.754458, 18.1130232 52.7539999)",
98581124,Główna,residential,False,True,83.194,"LINESTRING (18.1125751 52.754458, 18.1124574 52.7544191, 18.1115005 52.7540882)",
98588121,Przemysłowa,tertiary,False,False,134.222,"LINESTRING (18.1125751 52.754458, 18.1120782 52.7549779, 18.1115867 52.7555064)",
98588106,Dworcowa,residential,False,False,145.15200000000002,"LINESTRING (18.1112532 52.7499832, 18.1106063 52.7506773, 18.1102656 52.7510648, 18.1102109 52.7511259)",
183941245,Stanisława Przybyszewskiego,residential,False,True,153.524,"LINESTRING (18.1112532 52.7499832, 18.1111549 52.7499498, 18.1104336 52.7496936, 18.1092824 52.7492881)",30
226734124,Miła,residential,False,False,114.357,"LINESTRING (18.1076545 52.7562112, 18.1076552 52.7557637, 18.1077482 52.7551855)",
327643501,Słoneczna,residential,False,True,178.364,"LINESTRING (18.1076545 52.7562112, 18.1078395 52.7561948, 18.1079202 52.7561822, 18.1080288 52.7561653, 18.1083263 52.756056, 18.1083485 52.7560521, 18.1086927 52.7558113, 18.1093535 52.7550845)",
98588120,,residential,False,True,29.481,"LINESTRING (18.1093535 52.7550845, 18.1095831 52.7548587)",
327643347,,residential,False,False,43.822,"LINESTRING (18.1093535 52.7550845, 18.1091652 52.7550077, 18.1093904 52.7547902)",
327643501,Słoneczna,residential,False,False,178.364,"LINESTRING (18.1093535 52.7550845, 18.1086927 52.7558113, 18.1083485 52.7560521, 18.1083263 52.756056, 18.1080288 52.7561653, 18.1079202 52.7561822, 18.1078395 52.7561948, 18.1076545 52.7562112)",
98588111,Północna,residential,True,False,15.04,"LINESTRING (18.1095831 52.7548587, 18.1093904 52.7547902)",
98588120,,residential,False,False,29.481,"LINESTRING (18.1095831 52.7548587, 18.1093535 52.7550845)",
282478625,Dworcowa,residential,False,True,19.965,"LINESTRING (18.109134 52.7522687, 18.1092857 52.7521144)",
226734123,Ogrodowa,residential,False,False,115.79899999999998,"LINESTRING (18.109134 52.7522687, 18.1089883 52.7522454, 18.1086516 52.7521854, 18.1080396 52.7520762, 18.1078226 52.7520362, 18.1074688 52.7520288)",
282478625,Dworcowa,residential,False,False,101.707,"LINESTRING (18.109134 52.7522687, 18.1085225 52.7528936, 18.1083639 52.7530557)",
98588121,Przemysłowa,tertiary,False,True,3.184,"LINESTRING (18.1115655 52.755532, 18.1115867 52.7555064)",
98588111,Północna,residential,True,False,46.791,"LINESTRING (18.1115655 52.755532, 18.1114496 52.7554945, 18.1113093 52.7554449, 18.111054 52.755358, 18.1109613 52.7553239)",
226734124,Miła,residential,False,False,241.422,"LINESTRING (18.1077482 52.7551855, 18.1078261 52.754759, 18.1079258 52.7543255, 18.1080625 52.753703, 18.1081684 52.7534244, 18.1083528 52.7531465, 18.1083639 52.7530557)",
226734124,Miła,residential,False,True,114.357,"LINESTRING (18.1077482 52.7551855, 18.1076552 52.7557637, 18.1076545 52.7562112)",
327643347,,residential,False,True,43.822,"LINESTRING (18.1093904 52.7547902, 18.1091652 52.7550077, 18.1093535 52.7550845)",
391228857,Zaułek,residential,True,False,188.858,"LINESTRING (18.1093904 52.7547902, 18.1091641 52.7547166, 18.1090246 52.7546364, 18.1089039 52.7545214, 18.10874 52.754314, 18.1087252 52.7542491, 18.1087342 52.7541846, 18.108904 52.7539639, 18.1092928 52.7534066, 18.1093557 52.7533343)",
395868395,,residential,True,False,110.813,"LINESTRING (18.1093904 52.7547902, 18.1094272 52.7547494, 18.1102189 52.753929)",
226716551,Działkowa,residential,False,True,215.32999999999998,"LINESTRING (18.1196613 52.7567738, 18.1195307 52.7567209, 18.1192907 52.756632, 18.1188633 52.7564843, 18.118015 52.7561832, 18.1172353 52.7559104, 18.1169017 52.7557941)",50
98588121,Przemysłowa,tertiary,False,False,26.559,"LINESTRING (18.1147592 52.7522074, 18.1145564 52.7524123)",
98588121,Przemysłowa,tertiary,False,True,88.13,"LINESTRING (18.1147592 52.7522074, 18.1153428 52.7514979)",
"[226719273, 282478627]",,unclassified,False,False,332.20000000000005,"LINESTRING (18.1147592 52.7522074, 18.1146548 52.752174, 18.114529 52.7521329, 18.1120393 52.7512715, 18.1118333 52.7512203, 18.1115579 52.7512072, 18.1108403 52.7512054, 18.1103782 52.7512457, 18.1102565 52.7512325)",
226734123,Ogrodowa,residential,False,True,115.79899999999999,"LINESTRING (18.1074688 52.7520288, 18.1078226 52.7520362, 18.1080396 52.7520762, 18.1086516 52.7521854, 18.1089883 52.7522454, 18.109134 52.7522687)",
226738294,,residential,False,True,112.753,"LINESTRING (18.1074688 52.7520288, 18.107449 52.7523525, 18.1074371 52.7527009, 18.1074273 52.7529746, 18.1074233 52.7530424)",
