osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction
215317420,True,Armii Krajowej,tertiary,50,False,23.237000000000002,"LINESTRING (16.4949042 50.940497, 16.4948715 50.9406131, 16.494832 50.9406728, 16.4948177 50.9406976)",,
"[1221528252, 583472268, 233755783]",False,Armii Krajowej,tertiary,50,True,85.848,"LINESTRING (16.4949042 50.940497, 16.4949202 50.9404458, 16.4949315 50.9404122, 16.4950063 50.9401443, 16.4950191 50.9401016, 16.4950376 50.9399459, 16.4950439 50.9398672, 16.4950296 50.9397324)",2,
215077726,True,Ogrodowa,residential,50,False,120.38000000000001,"LINESTRING (16.4939344 50.9414983, 16.4940349 50.9415553, 16.4940592 50.9416003, 16.4940762 50.9416916, 16.4941124 50.9417691, 16.494162 50.9418755, 16.4941955 50.9419457, 16.4943945 50.9423624, 16.4944404 50.9424585, 16.4944667 50.9425135)",2,
370348945,False,Armii Krajowej,tertiary,50,False,110.70800000000001,"LINESTRING (16.4939344 50.9414983, 16.4938535 50.9416085, 16.4934097 50.9422541, 16.4933682 50.9423221, 16.4933174 50.9424145)",2,
370348945,False,Armii Krajowej,tertiary,50,True,81.623,"LINESTRING (16.4939344 50.9414983, 16.494064 50.9413442, 16.4941815 50.9412196, 16.4942142 50.9411878, 16.4942404 50.9411656, 16.494351 50.9410794, 16.4944507 50.9409798, 16.4945514 50.9408773)",2,
218837852,True,Wojska Polskiego,residential,,False,137.449,"LINESTRING (16.4925137 50.9437283, 16.4924022 50.943589, 16.4923357 50.9435235, 16.4922767 50.9433933, 16.4921401 50.943092, 16.4919379 50.9426452, 16.4918558 50.9425728)",1,
"[101205835, 229210013, 101320358]",False,"['Sportowa', 'Zamkowa']",residential,,True,426.78400000000005,"LINESTRING (16.4925137 50.9437283, 16.4923548 50.9437561, 16.4922802 50.9437853, 16.4917997 50.9441016, 16.4915945 50.9441713, 16.491254 50.9442688, 16.4910058 50.9443655, 16.4907625 50.9444602, 16.4908386 50.9445, 16.4902861 50.9450387, 16.4902228 50.9450992, 16.4907817 50.9453053, 16.4910034 50.945387, 16.4911952 50.9454578, 16.4913413 50.9454314, 16.4914575 50.9454076, 16.4921046 50.9454106, 16.4924322 50.9454153, 16.4927337 50.9454196, 16.4927833 50.9454233)",2,
370348945,False,Armii Krajowej,tertiary,50,False,189.494,"LINESTRING (16.4925137 50.9437283, 16.4925394 50.9440545, 16.4926298 50.944625, 16.4926401 50.9446684, 16.4926758 50.9448367, 16.4927653 50.9453422, 16.4927833 50.9454233)",2,
370348945,False,Armii Krajowej,tertiary,50,True,156.965,"LINESTRING (16.4925137 50.9437283, 16.4925268 50.9436569, 16.4925381 50.9436202, 16.4925547 50.943585, 16.4926228 50.9434732, 16.4926854 50.9433581, 16.4928035 50.9431817, 16.4929971 50.9428954, 16.4930844 50.9427672, 16.4931633 50.9426523, 16.4931817 50.9426239, 16.4932426 50.9425316, 16.4933174 50.9424145)",2,
216676856,True,Dworcowa,residential,,False,10.036,"LINESTRING (16.4907985 50.9397668, 16.4908225 50.9397644, 16.490857 50.9397609, 16.4908916 50.9397642, 16.4909314 50.9397822)",2,roundabout
"[101205835, 229210013, 101320358]",False,"['Sportowa', 'Zamkowa']",residential,,False,426.78399999999993,"LINESTRING (16.4927833 50.9454233, 16.4927337 50.9454196, 16.4924322 50.9454153, 16.4921046 50.9454106, 16.4914575 50.9454076, 16.4913413 50.9454314, 16.4911952 50.9454578, 16.4910034 50.945387, 16.4907817 50.9453053, 16.4902228 50.9450992, 16.4902861 50.9450387, 16.4908386 50.9445, 16.4907625 50.9444602, 16.4910058 50.9443655, 16.491254 50.9442688, 16.4915945 50.9441713, 16.4917997 50.9441016, 16.4922802 50.9437853, 16.4923548 50.9437561, 16.4925137 50.9437283)",2,
370348945,False,Armii Krajowej,tertiary,50,True,189.494,"LINESTRING (16.4927833 50.9454233, 16.4927653 50.9453422, 16.4926758 50.9448367, 16.4926401 50.9446684, 16.4926298 50.944625, 16.4925394 50.9440545, 16.4925137 50.9437283)",2,
370348945,False,Armii Krajowej,tertiary,50,False,72.756,"LINESTRING (16.4927833 50.9454233, 16.4929503 50.9458195, 16.4930142 50.9459711, 16.4930498 50.9460557)",2,
216514650,False,Chemików,residential,,False,337.759,"LINESTRING (16.4930498 50.9460557, 16.4931102 50.9460445, 16.4938534 50.945906, 16.4955911 50.9456089, 16.496417 50.9454577, 16.4976913 50.9452349)",,
370348945,False,Armii Krajowej,tertiary,50,False,112.228,"LINESTRING (16.4930498 50.9460557, 16.4932478 50.9465024, 16.4934785 50.9469938, 16.4934934 50.9470255)",2,
370348945,False,Armii Krajowej,tertiary,50,True,72.756,"LINESTRING (16.4930498 50.9460557, 16.4930142 50.9459711, 16.4929503 50.9458195, 16.4927833 50.9454233)",2,
215094564,False,Adama Mickiewicza,tertiary,,True,134.637,"LINESTRING (16.4992099 50.9409668, 16.4988045 50.941009, 16.498588 50.9410316, 16.4983822 50.941053, 16.4980816 50.9410843, 16.4979976 50.9410876, 16.4979134 50.9410909, 16.4978396 50.9410893, 16.4974946 50.9410832, 16.4973045 50.941076)",,
216514650,False,Chemików,residential,,True,337.759,"LINESTRING (16.4976913 50.9452349, 16.496417 50.9454577, 16.4955911 50.9456089, 16.4938534 50.945906, 16.4931102 50.9460445, 16.4930498 50.9460557)",,
101320359,True,Juliusza Słowackiego,residential,,False,36.925,"LINESTRING (16.497847 50.9418311, 16.4979378 50.9419323, 16.4981063 50.9421202)",,
244965177,False,Mikołaja Kopernika,residential,,True,146.731,"LINESTRING (16.497847 50.9418311, 16.4975375 50.9419444, 16.4974082 50.9419918, 16.4960746 50.94248, 16.4960362 50.942494)",,
101320359,True,Juliusza Słowackiego,residential,,False,92.226,"LINESTRING (16.4973045 50.941076, 16.4973557 50.9411708, 16.4977735 50.9417323, 16.497847 50.9418311)",,
215094564,False,Adama Mickiewicza,tertiary,,False,134.637,"LINESTRING (16.4973045 50.941076, 16.4974946 50.9410832, 16.4978396 50.9410893, 16.4979134 50.9410909, 16.4979976 50.9410876, 16.4980816 50.9410843, 16.4983822 50.941053, 16.498588 50.9410316, 16.4988045 50.941009, 16.4992099 50.9409668)",,
"[215094564, 583472270]",False,Adama Mickiewicza,tertiary,,True,176.37499999999997,"LINESTRING (16.4973045 50.941076, 16.4971817 50.9410697, 16.497122 50.9410666, 16.4969601 50.9410577, 16.4967959 50.9410423, 16.4966726 50.9410312, 16.4962616 50.9409886, 16.495817 50.9409389, 16.495351 50.9408907, 16.4951948 50.9408642, 16.4951134 50.9408518, 16.4950361 50.9408364, 16.4949505 50.9408164, 16.4948736 50.9407947, 16.4948394 50.9407834)",,
101320353,False,Zygmunta Krasińskiego,residential,,False,83.66900000000001,"LINESTRING (16.4960362 50.942494, 16.4961185 50.9426188, 16.4963807 50.9430314, 16.4965973 50.9431375)",,
101320353,False,Zygmunta Krasińskiego,residential,,True,206.51900000000003,"LINESTRING (16.4960362 50.942494, 16.4959755 50.9424032, 16.4958968 50.9422956, 16.4958771 50.9422643, 16.4958583 50.9422382, 16.4958409 50.9422127, 16.4958064 50.9421645, 16.4957537 50.9420881, 16.4957163 50.9420384, 16.4956927 50.9420027, 16.4956582 50.9419555, 16.4955713 50.9418364, 16.4955439 50.9417948, 16.4955349 50.9417824, 16.4954786 50.9417056, 16.4954444 50.9416639, 16.4953624 50.9415524, 16.4953327 50.9415152, 16.4952802 50.9414397, 16.4952243 50.9413592, 16.4951807 50.9413054, 16.4950407 50.9411219, 16.4949543 50.940964, 16.4948914 50.9408881, 16.4948359 50.9408259, 16.4948109 50.9408075)",,
244965177,False,Mikołaja Kopernika,residential,,False,146.731,"LINESTRING (16.4960362 50.942494, 16.4960746 50.94248, 16.4974082 50.9419918, 16.4975375 50.9419444, 16.497847 50.9418311)",,
101320349,False,Hutnicza,residential,,False,145.969,"LINESTRING (16.4965973 50.9431375, 16.4967721 50.9430738, 16.4972485 50.9429001, 16.4975975 50.9427728, 16.4984005 50.94248)",,
101320353,False,Zygmunta Krasińskiego,residential,,True,83.669,"LINESTRING (16.4965973 50.9431375, 16.4963807 50.9430314, 16.4961185 50.9426188, 16.4960362 50.942494)",,
216984972,False,Zygmunta Krasińskiego,residential,,False,55.91199999999999,"LINESTRING (16.4965973 50.9431375, 16.4966529 50.9431668, 16.4969536 50.9433592, 16.4970511 50.9434282, 16.4971582 50.9434947)",,
215077724,False,Generała Władysława Sikorskiego,residential,50,False,81.35,"LINESTRING (16.4933174 50.9424145, 16.4935079 50.9424428, 16.4935455 50.9424456, 16.4937855 50.9424633, 16.4938523 50.9424682, 16.4942474 50.9424973, 16.4943761 50.9425067, 16.4944667 50.9425135)",2,
370348945,False,Armii Krajowej,tertiary,50,False,156.965,"LINESTRING (16.4933174 50.9424145, 16.4932426 50.9425316, 16.4931817 50.9426239, 16.4931633 50.9426523, 16.4930844 50.9427672, 16.4929971 50.9428954, 16.4928035 50.9431817, 16.4926854 50.9433581, 16.4926228 50.9434732, 16.4925547 50.943585, 16.4925381 50.9436202, 16.4925268 50.9436569, 16.4925137 50.9437283)",2,
370348945,False,Armii Krajowej,tertiary,50,True,110.70800000000001,"LINESTRING (16.4933174 50.9424145, 16.4933682 50.9423221, 16.4934097 50.9422541, 16.4938535 50.9416085, 16.4939344 50.9414983)",2,
215077724,False,Generała Władysława Sikorskiego,residential,50,True,81.35000000000001,"LINESTRING (16.4944667 50.9425135, 16.4943761 50.9425067, 16.4942474 50.9424973, 16.4938523 50.9424682, 16.4937855 50.9424633, 16.4935455 50.9424456, 16.4935079 50.9424428, 16.4933174 50.9424145)",2,
216631254,False,Ogrodowa,residential,,True,85.58,"LINESTRING (16.4944667 50.9425135, 16.4945336 50.9425035, 16.495273 50.9423931, 16.4956576 50.9423427)",2,
"[231111067, 215077725]",False,"['Ogrodowa', 'Cicha']",residential,50,"[False, True]",314.49600000000004,"LINESTRING (16.4944667 50.9425135, 16.4944943 50.9425764, 16.4945429 50.9426954, 16.4945937 50.9428098, 16.4946435 50.942922, 16.494733 50.9431237, 16.4947463 50.9431654, 16.4947711 50.9432113, 16.4947999 50.9432785, 16.4948519 50.9434, 16.4948843 50.9434753, 16.4949616 50.9436581, 16.4949911 50.943728, 16.494559 50.9438123, 16.4943753 50.94385, 16.4942854 50.9438657, 16.4941033 50.9439012, 16.4939475 50.9439287, 16.4937704 50.943962, 16.4930882 50.9440891, 16.4925962 50.9441562)",2,
101320354,False,Dworcowa,residential,,True,52.535,"LINESTRING (16.49402 50.9404334, 16.494183 50.9405236, 16.494526 50.9406603, 16.4946038 50.9406927, 16.4946322 50.9407042)",,
"[1221528302, 1221528303, 216985808, 306771089, 1221528250]",True,Dworcowa,residential,,False,114.318,"LINESTRING (16.49402 50.9404334, 16.4935425 50.9402927, 16.4935125 50.9402531, 16.4935102 50.9402108, 16.4935424 50.940161, 16.4935821 50.9401135, 16.4936527 50.9400804, 16.4936935 50.9400789, 16.493789 50.9401172, 16.4938667 50.9401891, 16.4938983 50.9402344, 16.49402 50.9404334)",1,
101320606,False,Dworcowa,residential,,True,186.754,"LINESTRING (16.4909682 50.9398439, 16.4910984 50.939881, 16.4911315 50.9398953, 16.4913495 50.9399898, 16.4915427 50.9400705, 16.4916567 50.9401197, 16.4918172 50.9401844, 16.4920511 50.9402573, 16.492217 50.9403119, 16.4923125 50.9403384, 16.4923996 50.940359, 16.4925127 50.9403915, 16.4925902 50.9404165, 16.4926679 50.9404364, 16.4927748 50.9404553, 16.4928643 50.9404641, 16.4929504 50.9404742, 16.4930446 50.9404785, 16.4930645 50.9404816, 16.4931162 50.940479, 16.4931983 50.940473, 16.4933275 50.940396)",,
216676856,True,Dworcowa,residential,,False,15.803,"LINESTRING (16.4909682 50.9398439, 16.4909572 50.9398644, 16.4909369 50.9398819, 16.4909092 50.9398947, 16.4908766 50.9399016, 16.4908422 50.939902, 16.4907921 50.9398899)",2,roundabout
216676856,True,Dworcowa,residential,,False,15.841999999999999,"LINESTRING (16.4907921 50.9398899, 16.4907723 50.9398782, 16.4907498 50.9398527, 16.4907456 50.9398236, 16.4907602 50.939796, 16.4907985 50.9397668)",2,roundabout
218837853,False,Wojska Polskiego,residential,,True,288.95799999999997,"LINESTRING (16.4907921 50.9398899, 16.4907997 50.9399904, 16.4908249 50.9400527, 16.4908372 50.9400827, 16.4908529 50.9401181, 16.4908618 50.9401384, 16.4908889 50.9402092, 16.4909251 50.9402976, 16.4909612 50.9403858, 16.490997 50.9404734, 16.4910318 50.9405583, 16.4910638 50.9406366, 16.4910747 50.9406632, 16.4910998 50.9407248, 16.4911317 50.9408026, 16.4911454 50.9408363, 16.4911684 50.9408924, 16.4911751 50.9409089, 16.4912027 50.9409763, 16.4912363 50.9410571, 16.491305 50.9412263, 16.4913301 50.9412891, 16.4914283 50.9415245, 16.4915196 50.9417509, 16.491561 50.9418521, 16.4917125 50.9422225, 16.4917581 50.9423339, 16.4917869 50.9424097)",2,
218837853,False,Wojska Polskiego,residential,,False,18.768,"LINESTRING (16.4918558 50.9425728, 16.4918163 50.9424762, 16.4917869 50.9424097)",2,
668217472,True,1 Maja,residential,30,False,44.361000000000004,"LINESTRING (16.4918558 50.9425728, 16.491775 50.9425846, 16.4916814 50.9425994, 16.491516 50.9426093, 16.4914697 50.9425891, 16.4914152 50.9424475)",1,
370348945,False,Armii Krajowej,tertiary,50,True,112.22800000000001,"LINESTRING (16.4934934 50.9470255, 16.4934785 50.9469938, 16.4932478 50.9465024, 16.4930498 50.9460557)",2,
688132506,False,Rzemieślnicza,residential,,False,78.79299999999999,"LINESTRING (16.4934934 50.9470255, 16.4934599 50.9470317, 16.4924148 50.9472263)",,
"[583472268, 1221528252, 233755783]",False,Armii Krajowej,tertiary,50,False,85.848,"LINESTRING (16.4950296 50.9397324, 16.4950439 50.9398672, 16.4950376 50.9399459, 16.4950191 50.9401016, 16.4950063 50.9401443, 16.4949315 50.9404122, 16.4949202 50.9404458, 16.4949042 50.940497)",2,
216984972,False,Zygmunta Krasińskiego,residential,,True,55.912000000000006,"LINESTRING (16.4971582 50.9434947, 16.4970511 50.9434282, 16.4969536 50.9433592, 16.4966529 50.9431668, 16.4965973 50.9431375)",,
370348945,False,Armii Krajowej,tertiary,50,False,81.623,"LINESTRING (16.4945514 50.9408773, 16.4944507 50.9409798, 16.494351 50.9410794, 16.4942404 50.9411656, 16.4942142 50.9411878, 16.4941815 50.9412196, 16.494064 50.9413442, 16.4939344 50.9414983)",2,
600674583,False,Armii Krajowej,tertiary,50,True,10.770999999999999,"LINESTRING (16.4945514 50.9408773, 16.4945943 50.9408345, 16.494613 50.940817, 16.4946376 50.9407972)",2,
"[1221528299, 1221528300]",False,Dworcowa,residential,,False,101.599,"LINESTRING (16.4945514 50.9408773, 16.4944606 50.9408353, 16.4943845 50.9407981, 16.4940506 50.9406272, 16.4937451 50.9405305, 16.4934354 50.9404316, 16.4933981 50.9404205, 16.4933275 50.940396)",,
243274523,False,Parkowa,residential,,True,52.37,"LINESTRING (16.488908 50.9426409, 16.4889536 50.943111)",,
"[101320356, 243274524]",False,"['1 Maja', 'Parkowa']",residential,50,False,304.837,"LINESTRING (16.488908 50.9426409, 16.4885642 50.9426639, 16.4880061 50.9427048, 16.4879112 50.9427118, 16.4878419 50.9427168, 16.4876617 50.9427301, 16.4870063 50.9427557, 16.4869669 50.9428435, 16.486952 50.9429324, 16.4869558 50.9429899, 16.4870084 50.9430457, 16.4871083 50.9430788, 16.4889536 50.943111)",2,
101320356,False,1 Maja,residential,50,True,176.97899999999998,"LINESTRING (16.488908 50.9426409, 16.490213 50.9425379, 16.490303 50.942531, 16.4905663 50.9425109, 16.4906168 50.9425066, 16.490942 50.9424805, 16.4910564 50.9424725, 16.4914152 50.9424475)",2,
243274523,False,Parkowa,residential,,False,52.37,"LINESTRING (16.4889536 50.943111, 16.488908 50.9426409)",,
"[101320356, 243274524]",False,"['1 Maja', 'Parkowa']",residential,50,True,304.837,"LINESTRING (16.4889536 50.943111, 16.4871083 50.9430788, 16.4870084 50.9430457, 16.4869558 50.9429899, 16.486952 50.9429324, 16.4869669 50.9428435, 16.4870063 50.9427557, 16.4876617 50.9427301, 16.4878419 50.9427168, 16.4879112 50.9427118, 16.4880061 50.9427048, 16.4885642 50.9426639, 16.488908 50.9426409)",2,
243274524,False,Parkowa,residential,,False,106.387,"LINESTRING (16.4889536 50.943111, 16.4902942 50.9435603)",,
101320606,False,Dworcowa,residential,,False,186.754,"LINESTRING (16.4933275 50.940396, 16.4931983 50.940473, 16.4931162 50.940479, 16.4930645 50.9404816, 16.4930446 50.9404785, 16.4929504 50.9404742, 16.4928643 50.9404641, 16.4927748 50.9404553, 16.4926679 50.9404364, 16.4925902 50.9404165, 16.4925127 50.9403915, 16.4923996 50.940359, 16.4923125 50.9403384, 16.492217 50.9403119, 16.4920511 50.9402573, 16.4918172 50.9401844, 16.4916567 50.9401197, 16.4915427 50.9400705, 16.4913495 50.9399898, 16.4911315 50.9398953, 16.4910984 50.939881, 16.4909682 50.9398439)",,
675971384,False,Dworcowa,residential,,False,205.619,"LINESTRING (16.4933275 50.940396, 16.4931798 50.940343, 16.4931545 50.9403042, 16.4931263 50.9402445, 16.491194 50.9395885, 16.4909314 50.9397822)",,
"[1221528299, 1221528300]",False,Dworcowa,residential,,True,101.599,"LINESTRING (16.4933275 50.940396, 16.4933981 50.9404205, 16.4934354 50.9404316, 16.4937451 50.9405305, 16.4940506 50.9406272, 16.4943845 50.9407981, 16.4944606 50.9408353, 16.4945514 50.9408773)",,
"[231111067, 215077725]",False,"['Ogrodowa', 'Cicha']",residential,50,"[False, True]",314.496,"LINESTRING (16.4925962 50.9441562, 16.4930882 50.9440891, 16.4937704 50.943962, 16.4939475 50.9439287, 16.4941033 50.9439012, 16.4942854 50.9438657, 16.4943753 50.94385, 16.494559 50.9438123, 16.4949911 50.943728, 16.4949616 50.9436581, 16.4948843 50.9434753, 16.4948519 50.9434, 16.4947999 50.9432785, 16.4947711 50.9432113, 16.4947463 50.9431654, 16.494733 50.9431237, 16.4946435 50.942922, 16.4945937 50.9428098, 16.4945429 50.9426954, 16.4944943 50.9425764, 16.4944667 50.9425135)",2,
243274524,False,Parkowa,residential,,True,106.387,"LINESTRING (16.4902942 50.9435603, 16.4889536 50.943111)",,
306771095,True,Plac Wolności,residential,,False,94.125,"LINESTRING (16.4981063 50.9421202, 16.4985092 50.9420786, 16.4987826 50.9420504, 16.4991439 50.942013, 16.499432 50.9419833)",,
101320351,True,Juliusza Słowackiego,residential,,False,45.006,"LINESTRING (16.4984005 50.94248, 16.4981063 50.9421202)",,
101320349,False,Hutnicza,residential,,True,145.969,"LINESTRING (16.4984005 50.94248, 16.4975975 50.9427728, 16.4972485 50.9429001, 16.4967721 50.9430738, 16.4965973 50.9431375)",,
101320353,False,Zygmunta Krasińskiego,residential,,False,206.51900000000003,"LINESTRING (16.4948109 50.9408075, 16.4948359 50.9408259, 16.4948914 50.9408881, 16.4949543 50.940964, 16.4950407 50.9411219, 16.4951807 50.9413054, 16.4952243 50.9413592, 16.4952802 50.9414397, 16.4953327 50.9415152, 16.4953624 50.9415524, 16.4954444 50.9416639, 16.4954786 50.9417056, 16.4955349 50.9417824, 16.4955439 50.9417948, 16.4955713 50.9418364, 16.4956582 50.9419555, 16.4956927 50.9420027, 16.4957163 50.9420384, 16.4957537 50.9420881, 16.4958064 50.9421645, 16.4958409 50.9422127, 16.4958583 50.9422382, 16.4958771 50.9422643, 16.4958968 50.9422956, 16.4959755 50.9424032, 16.4960362 50.942494)",,
569299898,True,,tertiary,50,False,13.373000000000001,"LINESTRING (16.4948109 50.9408075, 16.4947789 50.9408184, 16.494734 50.9408232, 16.4946985 50.9408211, 16.4946658 50.9408138, 16.4946376 50.9407972)",,roundabout
569299898,True,,tertiary,50,False,3.364,"LINESTRING (16.4948394 50.9407834, 16.4948293 50.9407948, 16.4948109 50.9408075)",,roundabout
"[215094564, 583472270]",False,Adama Mickiewicza,tertiary,,False,176.37500000000003,"LINESTRING (16.4948394 50.9407834, 16.4948736 50.9407947, 16.4949505 50.9408164, 16.4950361 50.9408364, 16.4951134 50.9408518, 16.4951948 50.9408642, 16.495351 50.9408907, 16.495817 50.9409389, 16.4962616 50.9409886, 16.4966726 50.9410312, 16.4967959 50.9410423, 16.4969601 50.9410577, 16.497122 50.9410666, 16.4971817 50.9410697, 16.4973045 50.941076)",,
569299898,True,,tertiary,50,False,10.371000000000002,"LINESTRING (16.4948177 50.9406976, 16.4948384 50.940713, 16.4948498 50.9407295, 16.4948528 50.9407466, 16.4948492 50.9407636, 16.4948394 50.9407834)",,roundabout
