osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
1091621852,ER 102,Rua da Igreja,residential,False,False,37.813,"LINESTRING (-16.8460429 32.6817076, -16.8457599 32.6819503)",,,
315925832,ER 102,Rua da Igreja,residential,False,True,82.883,"LINESTRING (-16.8460429 32.6817076, -16.8461233 32.6816342, -16.846173 32.6815597, -16.8461984 32.6814694, -16.8461964 32.6814141, -16.8461922 32.681371, -16.8461783 32.6812278, -16.8461468 32.6810043)",,,
1091621852,ER 102,Rua da Igreja,residential,False,True,37.813,"LINESTRING (-16.8457599 32.6819503, -16.8460429 32.6817076)",,,
625745152,ER 110,Estrada Regional 110,secondary,False,True,215.133,"LINESTRING (-16.8457599 32.6819503, -16.8455708 32.6818498, -16.8453522 32.6817008, -16.8452074 32.6815721, -16.8451215 32.6814717, -16.8450437 32.6813689, -16.8449552 32.6812053, -16.8449123 32.6810935, -16.8448466 32.6809761, -16.8447956 32.6809276, -16.8447219 32.6808644, -16.8445824 32.6808023, -16.8443316 32.6807187, -16.8442107 32.6806839, -16.8441667 32.6806713)",2,,
625745153,ER 110,Estrada Regional 110,secondary,False,False,179.356,"LINESTRING (-16.8457599 32.6819503, -16.845976 32.6820944, -16.8463916 32.6823714, -16.8464305 32.6823973, -16.8467868 32.6826331, -16.8470393 32.6828002, -16.8471546 32.6828792, -16.8472458 32.6829662)",2,,
78582644,,Rua Maria Ascenção,residential,False,True,118.51200000000003,"LINESTRING (-16.8457295 32.6800233, -16.8457382 32.6801209, -16.8457489 32.6802346, -16.8457858 32.6803831, -16.8458122 32.6804759, -16.8458391 32.6805544, -16.8458816 32.6806727, -16.8459396 32.6807746, -16.8460523 32.6808954, -16.8461468 32.6810043)",,,
142908796,,Rua Maria Ascensão,residential,False,False,16.779,"LINESTRING (-16.8457295 32.6800233, -16.8456473 32.6800039, -16.8455563 32.6799844)",,,
"[142908797, 76587237]",,Largo Conselheiro Aires de Ornelas,unclassified,True,False,98.20899999999999,"LINESTRING (-16.8455563 32.6799844, -16.8455548 32.6798799, -16.8455421 32.6798124, -16.8455358 32.6797895, -16.8455124 32.6796834, -16.8454851 32.6795812, -16.8454534 32.6794975, -16.8454291 32.6794225, -16.8453909 32.6793319, -16.8453696 32.6792802, -16.8453084 32.6791311)",,,
142908796,,Rua Maria Ascensão,residential,False,True,16.779,"LINESTRING (-16.8455563 32.6799844, -16.8456473 32.6800039, -16.8457295 32.6800233)",,,
26476816,,Largo Conselheiro Aires de Ornelas,residential,True,False,165.25600000000003,"LINESTRING (-16.8453084 32.6791311, -16.8451303 32.6790856, -16.8450358 32.6790548, -16.8449968 32.6790439, -16.8448158 32.6790041, -16.8446682 32.6789742, -16.8446428 32.6789691, -16.8445113 32.6789747, -16.8443812 32.679012, -16.8442968 32.6790752, -16.8442572 32.6791623, -16.8442543 32.6793712, -16.8442538 32.6794105, -16.8442491 32.6796498)",,,
76587238,,,unclassified,False,False,106.40300000000002,"LINESTRING (-16.8453084 32.6791311, -16.8453511 32.6790309, -16.8454097 32.678892, -16.8454285 32.6788404, -16.8455339 32.6785757, -16.845552 32.6785187, -16.8455919 32.6783445, -16.8456016 32.678302, -16.8456002 32.6782523, -16.8455991 32.6782118)",,,
315925864,,Rua Maria Ascensão,residential,True,False,9.068,"LINESTRING (-16.8465015 32.6801516, -16.8464056 32.68014)",,,
1155096023,ER 102,Rua da Igreja,residential,True,False,14.207,"LINESTRING (-16.8465015 32.6801516, -16.8464778 32.6800254)",,,
"[28653316, 28653382, 28653383]",,Caminho Municipal dos Salgados,residential,False,False,298.141,"LINESTRING (-16.8442491 32.6796498, -16.8440639 32.6796112, -16.8439898 32.6795958, -16.84394 32.6795854, -16.8437444 32.6795266, -16.8436652 32.6795028, -16.8436061 32.679485, -16.8434304 32.6794229, -16.843403 32.679411, -16.8433312 32.67938, -16.8430978 32.6792965, -16.8430026 32.6792457, -16.8428846 32.679222, -16.8427397 32.679222, -16.8425533 32.6792332, -16.8424098 32.679266, -16.8422744 32.6792987, -16.8420947 32.6793021, -16.8419565 32.6792953, -16.8417808 32.6792727, -16.841408 32.6792276, -16.8411814 32.6792005)",,yes,
1091621850,,Largo Conselheiro Aires de Ornelas,residential,True,False,127.88399999999999,"LINESTRING (-16.8442491 32.6796498, -16.8444082 32.6796897, -16.8446404 32.6797483, -16.8447294 32.6797719, -16.844913 32.6798189, -16.8450807 32.6798618, -16.8450964 32.6798646, -16.8453278 32.6799249, -16.8455563 32.6799844)",,,
