osmid,ref,highway,oneway,reversed,length,name,geometry,maxspeed
1220354263,EN 118,primary,False,False,70.42,,"LINESTRING (-8.8724853 38.9351198, -8.8719186 38.9355745)",
306553961,,residential,False,False,149.412,Rua Popular,"LINESTRING (-8.8724853 38.9351198, -8.8729485 38.9354968, -8.8734509 38.9362202)",
1220354263,EN 118,primary,False,True,135.47899999999998,,"LINESTRING (-8.8724853 38.9351198, -8.873047 38.934688, -8.8735892 38.9342555)",
669468937,,residential,False,True,102.432,,"LINESTRING (-8.8710362 38.9362967, -8.8716996 38.9370598)",
1220354263,EN 118,primary,False,False,61.056000000000004,,"LINESTRING (-8.8710362 38.9362967, -8.870682 38.936578, -8.8705531 38.93667, -8.8705346 38.9366828)",
1220354263,EN 118,primary,False,True,110.809,,"LINESTRING (-8.8710362 38.9362967, -8.871178 38.93617, -8.8719186 38.9355745)",
78384649,,residential,False,False,67.916,,"LINESTRING (-8.869793 38.937028, -8.8693996 38.9375566)",
807180049,EN 118,primary,False,False,38.969,,"LINESTRING (-8.869793 38.937028, -8.869562 38.937055, -8.8693475 38.9370297)",
807180049,EN 118,primary,False,True,39.539,,"LINESTRING (-8.869793 38.937028, -8.870097 38.936932, -8.8702061 38.9368784)",
78384659,,residential,False,False,126.70499999999998,Rua Professora Clara Passos Esteves,"LINESTRING (-8.8681491 38.9369647, -8.8690013 38.937392, -8.8693996 38.9375566)",
78384676,,residential,False,False,19.717,,"LINESTRING (-8.8681491 38.9369647, -8.8679952 38.9369011, -8.8679665 38.9368658)",
78384676,,residential,False,True,164.481,,"LINESTRING (-8.8681491 38.9369647, -8.8680469 38.9371181, -8.8678901 38.9370687, -8.8678596 38.9371274, -8.8675297 38.9376027, -8.8675909 38.9381721)",
78384678,,residential,False,True,15.272,,"LINESTRING (-8.8650738 38.9369768, -8.8651089 38.9371114)",
78384678,,residential,False,False,83.172,,"LINESTRING (-8.8650738 38.9369768, -8.8650372 38.9368365, -8.8649921 38.9365134, -8.8650372 38.9362886, -8.8650796 38.936248)",
78384677,,residential,False,True,20.478,,"LINESTRING (-8.8707411 38.938454, -8.8705677 38.9383286)",
78384756,,residential,False,True,18.17,,"LINESTRING (-8.8707411 38.938454, -8.8708242 38.9384371, -8.8709444 38.9384128)",
