osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry,junction
244266267,False,2,EN 335,Rua Vale,primary,50,False,67.527,,"LINESTRING (-8.5789528 40.4792741, -8.5788254 40.4786746)",
244268283,False,,,Rua São Simão,residential,,False,43.758,yes,"LINESTRING (-8.5789528 40.4792741, -8.5794683 40.4792408)",
244266267,False,2,EN 335,Rua Vale,primary,50,True,171.695,,"LINESTRING (-8.5789528 40.4792741, -8.5790304 40.4794725, -8.579532 40.480754)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,True,12.243,,"LINESTRING (-8.5781419 40.483389, -8.5781406 40.4834991)",
244266266,False,2,EN 335,Rua Professor Jaime Oliveira,primary,,False,124.38799999999999,,"LINESTRING (-8.5781419 40.483389, -8.5781223 40.4829693, -8.5780961 40.4827096, -8.5780832 40.4825813, -8.5781073 40.4822723)",
68447640,False,,EM 333-1,Rua Adasma,secondary,,True,96.166,yes,"LINESTRING (-8.5793337 40.4838128, -8.5782945 40.4834618)",
68447640,False,,EM 333-1,Rua Adasma,secondary,,False,337.64099999999996,yes,"LINESTRING (-8.5793337 40.4838128, -8.5795241 40.4839444, -8.5797253 40.484109, -8.5799101 40.4842975, -8.5802482 40.4846811, -8.5804209 40.4848944, -8.5805732 40.4851147, -8.5807725 40.4854304, -8.5809198 40.4856313, -8.5810846 40.4857888, -8.5816318 40.4862726)",
115917198,False,,,Rua São Romão,residential,,False,202.13700000000003,yes,"LINESTRING (-8.5793337 40.4838128, -8.5794064 40.4837645, -8.5795654 40.4836539, -8.5798074 40.4834784, -8.5799736 40.48336, -8.5800917 40.4831968, -8.5801507 40.4830296, -8.5801292 40.4828174, -8.5801078 40.4826338, -8.5800756 40.4824298, -8.5800219 40.482287, -8.5800093 40.4822456)",
68507154,False,,,Rua Doutor Manuel Augusto dos Santos Pato,residential,50,False,42.622,,"LINESTRING (-8.579532 40.480754, -8.5800345 40.480725)",
244266267,False,2,EN 335,Rua Vale,primary,50,True,26.78,,"LINESTRING (-8.579532 40.480754, -8.5795614 40.4809938)",
68507154,False,,,Rua Doutor Manuel Augusto dos Santos Pato,residential,50,True,331.899,,"LINESTRING (-8.579532 40.480754, -8.5791861 40.480711, -8.5788857 40.4806375, -8.578553 40.4805291, -8.5783711 40.480478, -8.5781655 40.4804539, -8.5777503 40.4804419, -8.57743 40.4804269, -8.577086 40.4804238, -8.5766787 40.4804359, -8.5764849 40.4804509, -8.5756824 40.4805421)",
244266267,False,2,EN 335,Rua Vale,primary,50,False,171.695,,"LINESTRING (-8.579532 40.480754, -8.5790304 40.4794725, -8.5789528 40.4792741)",
244268283,False,,,Rua São Simão,residential,,False,136.872,yes,"LINESTRING (-8.580219 40.4791922, -8.5818216 40.4790214)",
244268283,False,,,Rua São Simão,residential,,True,63.723,yes,"LINESTRING (-8.580219 40.4791922, -8.5794683 40.4792408)",
115801440,False,,,Travessa São Simão,residential,,True,174.27,,"LINESTRING (-8.580219 40.4791922, -8.5802365 40.4794675, -8.5802472 40.4796307, -8.5802741 40.4798102, -8.5803009 40.479949, -8.5802794 40.4800673, -8.5802311 40.4801979, -8.5801453 40.4803325, -8.5800917 40.4804549, -8.5800648 40.4805855, -8.5800345 40.480725)",
244268283,False,,,Rua São Simão,residential,,False,63.723,yes,"LINESTRING (-8.5794683 40.4792408, -8.580219 40.4791922)",
244268283,False,,,Rua São Simão,residential,,True,43.758,yes,"LINESTRING (-8.5794683 40.4792408, -8.5789528 40.4792741)",
115916661,False,,,Rua Canto,residential,,False,88.14100000000002,,"LINESTRING (-8.5794683 40.4792408, -8.5794294 40.4791704, -8.5793621 40.4790472, -8.5792548 40.4788799, -8.5791261 40.4787779, -8.5789437 40.4787044, -8.5789008 40.47868, -8.5788254 40.4786746)",
244266267,False,2,EN 335,Rua Vale,primary,50,True,67.527,,"LINESTRING (-8.5788254 40.4786746, -8.5789528 40.4792741)",
115916661,False,,,Rua Canto,residential,,True,88.141,,"LINESTRING (-8.5788254 40.4786746, -8.5789008 40.47868, -8.5789437 40.4787044, -8.5791261 40.4787779, -8.5792548 40.4788799, -8.5793621 40.4790472, -8.5794294 40.4791704, -8.5794683 40.4792408)",
244266267,False,2,EN 335,Rua Vale,primary,50,False,26.78,,"LINESTRING (-8.5795614 40.4809938, -8.579532 40.480754)",
115917198,False,,,Rua São Romão,residential,,True,148.646,yes,"LINESTRING (-8.5795614 40.4809938, -8.579684 40.481067, -8.5797789 40.4812059, -8.5798878 40.4814138, -8.57992 40.4815648, -8.579937 40.4816961, -8.5799489 40.4818435, -8.5799736 40.4820013, -8.5799897 40.4821809, -8.5800093 40.4822456)",
244264440,False,2,EN 335,Rua Manuel Nunes Ferreira Neves,primary,50,True,173.066,,"LINESTRING (-8.5795614 40.4809938, -8.5794492 40.4811069, -8.5788923 40.4815858, -8.5785914 40.4818446, -8.5782982 40.4820694, -8.5781947 40.4821508)",
122925258,False,,EM 333-1,Rua Banda Filarmónica de Mamarrosa,secondary,,False,231.19500000000002,yes,"LINESTRING (-8.5778818 40.4821655, -8.5775484 40.4821207, -8.5773174 40.4820577, -8.5766866 40.4818148, -8.5761212 40.4816452, -8.5757289 40.4815779, -8.5752991 40.4815403)",
152348638,True,,EM 333-1,,secondary_link,,False,22.467,,"LINESTRING (-8.5778818 40.4821655, -8.5780596 40.4822497, -8.5781073 40.4822723)",
122925258,False,,EM 333-1,Rua Banda Filarmónica de Mamarrosa,secondary,,False,160.215,yes,"LINESTRING (-8.5752991 40.4815403, -8.5742395 40.4814507, -8.573752 40.481408, -8.5734177 40.481373)",
122925258,False,,EM 333-1,Rua Banda Filarmónica de Mamarrosa,secondary,,True,231.195,yes,"LINESTRING (-8.5752991 40.4815403, -8.5757289 40.4815779, -8.5761212 40.4816452, -8.5766866 40.4818148, -8.5773174 40.4820577, -8.5775484 40.4821207, -8.5778818 40.4821655)",
122925533,False,,CM 1583,Rua Professora Dona Cacilda Pato,tertiary,50,False,132.476,,"LINESTRING (-8.5752991 40.4815403, -8.5751207 40.4809682, -8.5756824 40.4805421)",
182397097,False,,,Rua Covalinhos,residential,,True,331.653,,"LINESTRING (-8.5741381 40.4843638, -8.5740403 40.4837719, -8.5738579 40.4829885, -8.5737624 40.4825383, -8.5736068 40.481861, -8.573536 40.4816665, -8.5733966 40.4815033, -8.5733555 40.4814637)",
