osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
48467438,False,2,DN10,Strada Nicolae Bălcescu,primary,50,False,55.724,"LINESTRING (26.3605012 45.31634, 26.3604759 45.3165333, 26.3604523 45.3167142, 26.3604471 45.3168395)",
133402660,False,,,Strada Constantin Brâncoveanu,residential,RO:urban,True,9.064,"LINESTRING (26.3605012 45.31634, 26.3604256 45.316331, 26.3603869 45.3163264)",
710884896,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,False,61.548,"LINESTRING (26.3593452 45.3213279, 26.3592446 45.3215191, 26.3591396 45.3216856, 26.359041 45.3218381)",
710884897,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,171.718,"LINESTRING (26.3593452 45.3213279, 26.359405 45.3211964, 26.3594586 45.3210567, 26.3594909 45.3209576, 26.3595606 45.3207477, 26.3596786 45.3203698, 26.3598424 45.3198244)",
710884898,False,2,,Strada Ion Creangă,tertiary,50,True,67.07,"LINESTRING (26.3593452 45.3213279, 26.3594706 45.3213704, 26.3600033 45.3215621, 26.3601122 45.3215979)",
710884899,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,411.08299999999997,"LINESTRING (26.3565202 45.3250824, 26.3569831 45.3244882, 26.3574779 45.3238654, 26.357667 45.3236221, 26.3577274 45.3235453, 26.3579459 45.3232676, 26.3583362 45.3227622, 26.3586329 45.3223804, 26.359041 45.3218381)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,True,54.202,"LINESTRING (26.355249 45.3217655, 26.355184 45.3222508)",
102577735,False,,,Strada Mihail Sadoveanu,residential,RO:urban,False,296.583,"LINESTRING (26.355249 45.3217655, 26.359041 45.3218381)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,False,129.338,"LINESTRING (26.355249 45.3217655, 26.3553174 45.3213524, 26.3554508 45.3208838, 26.3554864 45.3207881, 26.3555199 45.3207376, 26.3555561 45.3207046, 26.3556366 45.3206584)",
102577716,False,,,Strada Nicolae Iorga,residential,RO:urban,False,54.202,"LINESTRING (26.355184 45.3222508, 26.355249 45.3217655)",
102577735,False,,,Strada Mihail Sadoveanu,residential,RO:urban,True,296.583,"LINESTRING (26.359041 45.3218381, 26.355249 45.3217655)",
710884896,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,61.548,"LINESTRING (26.359041 45.3218381, 26.3591396 45.3216856, 26.3592446 45.3215191, 26.3593452 45.3213279)",
710884899,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,False,411.083,"LINESTRING (26.359041 45.3218381, 26.3586329 45.3223804, 26.3583362 45.3227622, 26.3579459 45.3232676, 26.3577274 45.3235453, 26.357667 45.3236221, 26.3574779 45.3238654, 26.3569831 45.3244882, 26.3565202 45.3250824)",
133402662,False,2,,Strada Industriilor,residential,RO:urban,False,78.58,"LINESTRING (26.3601122 45.3215979, 26.359912 45.3217913, 26.3597377 45.3219776, 26.359567 45.3221906)",
"[133402662, 133402646]",False,2,,"['Strada Industriilor', 'Strada Ioan Slavici']",residential,RO:urban,True,997.8349999999999,"LINESTRING (26.3601122 45.3215979, 26.3603439 45.3213867, 26.3608643 45.3209228, 26.3613312 45.3205038, 26.3618913 45.3199938, 26.3625826 45.3193497, 26.3632665 45.3187324, 26.3633311 45.3186856, 26.3634031 45.3186851, 26.3634911 45.3186982, 26.363967 45.3188144, 26.3648664 45.3190014, 26.3649489 45.3190266, 26.3650111 45.3190575, 26.3650498 45.3190987, 26.3650914 45.3191695, 26.3652113 45.3194156, 26.3652697 45.3195384, 26.3652805 45.3196009, 26.365271 45.3196612, 26.3651122 45.3200498, 26.3648754 45.3205811, 26.364807 45.3207244, 26.3647735 45.3207866, 26.3647212 45.3208347, 26.3646032 45.3208998, 26.3645267 45.3209441, 26.3644744 45.3210007, 26.3644315 45.3210752, 26.3643336 45.3212713, 26.3642371 45.3214722, 26.3641633 45.3216514, 26.3641325 45.32179, 26.3641056 45.3218899, 26.3640667 45.3219852, 26.3640252 45.3220823, 26.3639809 45.3221417, 26.3638468 45.322268, 26.3637663 45.3223388, 26.3637248 45.3223821, 26.3636912 45.3224274, 26.3634957 45.3227723)",
288267114,False,2,,Strada Ion Creangă,tertiary,50,True,295.03499999999997,"LINESTRING (26.3601122 45.3215979, 26.3603227 45.3216625, 26.3620483 45.3222588, 26.3634957 45.3227723)",
710884898,False,2,,Strada Ion Creangă,tertiary,50,False,67.07,"LINESTRING (26.3601122 45.3215979, 26.3600033 45.3215621, 26.3594706 45.3213704, 26.3593452 45.3213279)",
133402648,False,1,,Strada Mică,residential,RO:urban,False,109.118,"LINESTRING (26.359567 45.3221906, 26.3609439 45.322351)",
133402662,False,2,,Strada Industriilor,residential,RO:urban,False,111.556,"LINESTRING (26.359567 45.3221906, 26.3594538 45.3223386, 26.359414 45.3223986, 26.3594024 45.3224636, 26.3594104 45.3225605, 26.3594358 45.3227199, 26.3594331 45.3228006, 26.3594168 45.3228717, 26.3593608 45.3229463, 26.35927 45.3230159, 26.3591405 45.3230853)",
133402662,False,2,,Strada Industriilor,residential,RO:urban,True,78.58,"LINESTRING (26.359567 45.3221906, 26.3597377 45.3219776, 26.359912 45.3217913, 26.3601122 45.3215979)",
133402648,False,1,,Strada Mică,residential,RO:urban,True,109.118,"LINESTRING (26.3609439 45.322351, 26.359567 45.3221906)",
"[133402662, 133402646]",False,2,,"['Strada Industriilor', 'Strada Ioan Slavici']",residential,RO:urban,False,997.8349999999998,"LINESTRING (26.3634957 45.3227723, 26.3636912 45.3224274, 26.3637248 45.3223821, 26.3637663 45.3223388, 26.3638468 45.322268, 26.3639809 45.3221417, 26.3640252 45.3220823, 26.3640667 45.3219852, 26.3641056 45.3218899, 26.3641325 45.32179, 26.3641633 45.3216514, 26.3642371 45.3214722, 26.3643336 45.3212713, 26.3644315 45.3210752, 26.3644744 45.3210007, 26.3645267 45.3209441, 26.3646032 45.3208998, 26.3647212 45.3208347, 26.3647735 45.3207866, 26.364807 45.3207244, 26.3648754 45.3205811, 26.3651122 45.3200498, 26.365271 45.3196612, 26.3652805 45.3196009, 26.3652697 45.3195384, 26.3652113 45.3194156, 26.3650914 45.3191695, 26.3650498 45.3190987, 26.3650111 45.3190575, 26.3649489 45.3190266, 26.3648664 45.3190014, 26.363967 45.3188144, 26.3634911 45.3186982, 26.3634031 45.3186851, 26.3633311 45.3186856, 26.3632665 45.3187324, 26.3625826 45.3193497, 26.3618913 45.3199938, 26.3613312 45.3205038, 26.3608643 45.3209228, 26.3603439 45.3213867, 26.3601122 45.3215979)",
288267114,False,2,,Strada Ion Creangă,tertiary,50,False,295.03499999999997,"LINESTRING (26.3634957 45.3227723, 26.3620483 45.3222588, 26.3603227 45.3216625, 26.3601122 45.3215979)",
220796206,False,,,Strada Iazul Morii,residential,RO:urban,False,16.483,"LINESTRING (26.3634957 45.3227723, 26.3634954 45.3228555, 26.3634693 45.3229179)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,43.32,"LINESTRING (26.3598424 45.3198244, 26.3599574 45.3194433)",
220796211,False,,,Strada Mihai Eminescu,residential,RO:urban,True,190.21699999999998,"LINESTRING (26.3598424 45.3198244, 26.3601875 45.3198915, 26.3607722 45.3199972, 26.3608688 45.3200085, 26.3609178 45.320004, 26.3609761 45.3199745, 26.3610137 45.3199274, 26.3610606 45.3197972, 26.3612765 45.3191221)",
