osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref
121911531,Интернациональная улица,secondary,False,True,205.909,"LINESTRING (51.9309938 56.766538, 51.9316274 56.7666933, 51.932129 56.766855, 51.932569 56.7670351, 51.9337184 56.767608)",,
334478718,Советская улица,secondary,False,True,178.89999999999998,"LINESTRING (51.9309938 56.766538, 51.9309842 56.7673407, 51.9308926 56.7681453)",70,
338255423,Интернациональная улица,secondary,False,False,191.95700000000002,"LINESTRING (51.9309938 56.766538, 51.9302434 56.7664154, 51.9292495 56.7663018, 51.9286228 56.7662302, 51.928199 56.7661818, 51.9279286 56.7661453)",,
334478718,Советская улица,secondary,False,False,36.527,"LINESTRING (51.9319991 56.7720635, 51.9316595 56.7717928)",70,
121911531,Интернациональная улица,secondary,False,True,5.747,"LINESTRING (51.9373146 56.769267, 51.9374048 56.7692821)",,
121911531,Интернациональная улица,secondary,False,False,290.877,"LINESTRING (51.9373146 56.769267, 51.9367198 56.769155, 51.9363373 56.7690466, 51.9360021 56.7689099, 51.9355879 56.7686922, 51.9349137 56.7682901, 51.9337184 56.767608)",,
334478845,,residential,False,False,372.121,"LINESTRING (51.9373146 56.769267, 51.9372755 56.7690445, 51.9370656 56.7686708, 51.9371409 56.7681827, 51.9371426 56.7680248, 51.936914 56.7670467, 51.9366663 56.7666502, 51.9361702 56.7660279)",,
120135891,,tertiary,False,True,4.056,"LINESTRING (51.9263698 56.7691644, 51.9263099 56.7691803)",,94Н-69
334478790,,residential,False,False,137.644,"LINESTRING (51.9263698 56.7691644, 51.9273755 56.7702728)",,
120135891,,tertiary,False,False,297.99399999999997,"LINESTRING (51.9263698 56.7691644, 51.9294671 56.7684665, 51.9307003 56.7681886, 51.9308926 56.7681453)",,94Н-69
120135891,,tertiary,False,True,297.994,"LINESTRING (51.9308926 56.7681453, 51.9307003 56.7681886, 51.9294671 56.7684665, 51.9263698 56.7691644)",,94Н-69
317902178,,unclassified,False,True,71.139,"LINESTRING (51.9308926 56.7681453, 51.9316274 56.7681426, 51.9320558 56.7681097)",,
334478718,Советская улица,secondary,False,False,178.89999999999998,"LINESTRING (51.9308926 56.7681453, 51.9309842 56.7673407, 51.9309938 56.766538)",70,
334478718,Советская улица,secondary,False,True,411.177,"LINESTRING (51.9308926 56.7681453, 51.9309587 56.768479, 51.9312434 56.7695584, 51.9314887 56.7704882, 51.931504 56.7710589, 51.9314476 56.7713639, 51.9314439 56.7714528, 51.9314623 56.7715428, 51.9314995 56.7716248, 51.9315361 56.7716797, 51.9315822 56.7717334, 51.9316595 56.7717928)",70,
317902177,,unclassified,False,False,143.922,"LINESTRING (51.9316595 56.7717928, 51.9334289 56.7709354)",,
334478718,Советская улица,secondary,False,True,36.527,"LINESTRING (51.9316595 56.7717928, 51.9319991 56.7720635)",70,
334478718,Советская улица,secondary,False,False,411.177,"LINESTRING (51.9316595 56.7717928, 51.9315822 56.7717334, 51.9315361 56.7716797, 51.9314995 56.7716248, 51.9314623 56.7715428, 51.9314439 56.7714528, 51.9314476 56.7713639, 51.931504 56.7710589, 51.9314887 56.7704882, 51.9312434 56.7695584, 51.9309587 56.768479, 51.9308926 56.7681453)",70,
317902177,,unclassified,False,False,10.323,"LINESTRING (51.9334289 56.7709354, 51.9335983 56.7709339)",,
317902177,,unclassified,False,True,143.922,"LINESTRING (51.9334289 56.7709354, 51.9316595 56.7717928)",,
334478827,,residential,False,False,284.89099999999996,"LINESTRING (51.9334289 56.7709354, 51.9344062 56.7702387, 51.9347522 56.7700961, 51.9350993 56.7699855, 51.9369402 56.7696729, 51.9372146 56.7695938)",,
121911531,Интернациональная улица,secondary,False,False,205.909,"LINESTRING (51.9337184 56.767608, 51.932569 56.7670351, 51.932129 56.766855, 51.9316274 56.7666933, 51.9309938 56.766538)",,
121911531,Интернациональная улица,secondary,False,True,290.877,"LINESTRING (51.9337184 56.767608, 51.9349137 56.7682901, 51.9355879 56.7686922, 51.9360021 56.7689099, 51.9363373 56.7690466, 51.9367198 56.769155, 51.9373146 56.769267)",,
317902178,,unclassified,False,False,116.149,"LINESTRING (51.9337184 56.767608, 51.9330624 56.7678472, 51.9324446 56.7680335, 51.9320558 56.7681097)",,
357336439,,residential,False,False,72.022,"LINESTRING (51.9337184 56.767608, 51.9340812 56.7674117, 51.9345367 56.7671409)",,
317902178,,unclassified,False,False,71.139,"LINESTRING (51.9320558 56.7681097, 51.9316274 56.7681426, 51.9308926 56.7681453)",,
317902178,,unclassified,False,True,116.149,"LINESTRING (51.9320558 56.7681097, 51.9324446 56.7680335, 51.9330624 56.7678472, 51.9337184 56.767608)",,
913022720,"с.Вавож, переулок Майский",residential,False,True,231.57,"LINESTRING (51.9320558 56.7681097, 51.9324374 56.768419, 51.9328505 56.7686659, 51.9346958 56.7695964)",,
317902180,,residential,False,False,212.137,"LINESTRING (51.9247678 56.7674699, 51.9263099 56.7691803)",,
317902181,,unclassified,False,False,8.408,"LINESTRING (51.9247678 56.7674699, 51.9247274 56.7673976)",,
120135891,,tertiary,False,False,4.056,"LINESTRING (51.9263099 56.7691803, 51.9263698 56.7691644)",,94Н-69
317902180,,residential,False,True,212.137,"LINESTRING (51.9263099 56.7691803, 51.9247678 56.7674699)",,
913024954,,residential,False,False,59.785,"LINESTRING (51.9256455 56.7672081, 51.9247274 56.7673976)",,
913024954,,residential,False,False,243.655,"LINESTRING (51.9256455 56.7672081, 51.9259733 56.7674312, 51.9263649 56.7675253, 51.9268799 56.7675752, 51.9271132 56.7675635, 51.9272286 56.767512, 51.9272849 56.7673665, 51.92725 56.7672857, 51.9271229 56.7672183, 51.9266385 56.7671254, 51.9262642 56.7670969, 51.9256455 56.7672081)",,
913024954,,residential,False,True,243.655,"LINESTRING (51.9256455 56.7672081, 51.9262642 56.7670969, 51.9266385 56.7671254, 51.9271229 56.7672183, 51.92725 56.7672857, 51.9272849 56.7673665, 51.9272286 56.767512, 51.9271132 56.7675635, 51.9268799 56.7675752, 51.9263649 56.7675253, 51.9259733 56.7674312, 51.9256455 56.7672081)",,
317902181,,unclassified,False,True,341.82800000000003,"LINESTRING (51.9270186 56.7659192, 51.9269425 56.7659997, 51.9266605 56.7662981, 51.926538 56.7663429, 51.9252414 56.7661666, 51.9250933 56.7661974, 51.9246688 56.7661307, 51.9244265 56.7661273, 51.9242647 56.7661714, 51.9242074 56.7662423, 51.9241873 56.7663128, 51.9244401 56.766884, 51.9247274 56.7673976)",,
338255423,Интернациональная улица,secondary,False,True,60.986000000000004,"LINESTRING (51.9270186 56.7659192, 51.9275112 56.7660585, 51.9279286 56.7661453)",,
121911531,Интернациональная улица,secondary,False,False,5.747,"LINESTRING (51.9374048 56.7692821, 51.9373146 56.769267)",,
121911531,Интернациональная улица,secondary,False,True,10.816,"LINESTRING (51.9374048 56.7692821, 51.9375726 56.7693138)",,
334478827,,residential,False,True,36.546,"LINESTRING (51.9374048 56.7692821, 51.9372146 56.7695938)",,
334478827,,residential,False,False,36.546,"LINESTRING (51.9372146 56.7695938, 51.9374048 56.7692821)",,
334478782,,residential,False,False,92.27600000000001,"LINESTRING (51.9372146 56.7695938, 51.9371277 56.769962, 51.9372753 56.7704134)",,
334478827,,residential,False,True,284.891,"LINESTRING (51.9372146 56.7695938, 51.9369402 56.7696729, 51.9350993 56.7699855, 51.9347522 56.7700961, 51.9344062 56.7702387, 51.9334289 56.7709354)",,
334478790,,residential,False,True,137.644,"LINESTRING (51.9273755 56.7702728, 51.9263698 56.7691644)",,
334478785,,residential,False,True,123.547,"LINESTRING (51.9273755 56.7702728, 51.9283014 56.7700417, 51.9292939 56.7699388)",,
334478782,,residential,False,True,92.27600000000001,"LINESTRING (51.9372753 56.7704134, 51.9371277 56.769962, 51.9372146 56.7695938)",,
334478832,,residential,False,False,276.706,"LINESTRING (51.9372753 56.7704134, 51.9366001 56.7700747, 51.9364259 56.7700065, 51.9361308 56.7700094, 51.9354603 56.7701005, 51.9348246 56.7702813, 51.9335983 56.7709339)",,
357336435,,residential,False,False,184.36700000000002,"LINESTRING (51.9323342 56.7660122, 51.9340863 56.7668316, 51.9345367 56.7671409)",,
357336435,,residential,False,True,137.863,"LINESTRING (51.9323342 56.7660122, 51.9309778 56.7655082, 51.9308871 56.7653614, 51.9308897 56.7651747)",,
913022751,"с.Вавож, переулок Коммунальный",residential,False,False,153.714,"LINESTRING (51.9323342 56.7660122, 51.932888 56.7656319, 51.9330865 56.7654732, 51.9331133 56.7653761, 51.9322443 56.7650027)",,
