osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,access
4486116,49К-0512,улица Черняховского,tertiary,False,True,198.165,"LINESTRING (32.4656786 57.6444884, 32.4651085 57.6445409, 32.4649935 57.6445515, 32.4647311 57.6445757, 32.4623798 57.6447287)",,,,
"[4486081, 796474932]",А-122,25 Октября улица,primary,False,True,141.803,"LINESTRING (32.4656786 57.6444884, 32.466033 57.6449213, 32.4660479 57.6449395, 32.4661645 57.6450819, 32.4662114 57.6451589, 32.4663875 57.645528, 32.4664663 57.6456879)",40,2,,
1219652379,49К-0321,улица Черняховского,secondary,False,False,265.815,"LINESTRING (32.4656786 57.6444884, 32.466038 57.644443, 32.4661733 57.6444259, 32.4664922 57.6443856, 32.4673087 57.6442816, 32.469363 57.6440034, 32.4700148 57.6439148)",40,2,,
"[28424452, 758897589, 1219653079]",А-122,"['25 Октября улица', 'улица Урицкого']",primary,False,False,173.601,"LINESTRING (32.4656786 57.6444884, 32.465477 57.6442829, 32.4648437 57.6436628, 32.4645601 57.6434024, 32.4645377 57.6433818, 32.4642581 57.643125)","['20', '60']",2,yes,
28424403,,Школьная улица,residential,False,False,67.997,"LINESTRING (32.4700148 57.6439148, 32.4700578 57.6439944, 32.4703318 57.6445023)",,,,
1219652379,49К-0321,улица Черняховского,secondary,False,True,265.815,"LINESTRING (32.4700148 57.6439148, 32.469363 57.6440034, 32.4673087 57.6442816, 32.4664922 57.6443856, 32.4661733 57.6444259, 32.466038 57.644443, 32.4656786 57.6444884)",40,2,,
1075197101,,улица 1 Мая,residential,False,True,187.438,"LINESTRING (32.4632228 57.641917, 32.466281 57.641514)",,,,
26252235,49К-17,улица 1 Мая,primary,False,False,174.993,"LINESTRING (32.4632228 57.641917, 32.463058 57.6419349, 32.4626254 57.641982, 32.4623669 57.6420101, 32.4615165 57.6421026, 32.4603426 57.6422339)",40,,,
28424453,А-122,улица Урицкого,primary,False,True,148.214,"LINESTRING (32.4632228 57.641917, 32.4635184 57.6423631, 32.4635323 57.6423836, 32.4635837 57.6424592, 32.4638039 57.6426767, 32.4638597 57.6427317, 32.4642581 57.643125)",,,,
190864985,А-122,улица Урицкого,primary,False,False,73.74000000000001,"LINESTRING (32.4632228 57.641917, 32.4631834 57.6418325, 32.4630666 57.6415818, 32.4629111 57.6412752)",,,,
