osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
193624785,1,улица Чапаева,tertiary,60,False,True,17.437,"LINESTRING (54.107914 54.5481065, 54.107653 54.5480656)",
193624785,1,улица Чапаева,tertiary,60,False,False,277.569,"LINESTRING (54.107914 54.5481065, 54.1086144 54.5485072, 54.1108972 54.5499054)",
205898310,,Трудовая улица,residential,,False,True,92.324,"LINESTRING (54.100346 54.5478875, 54.0993499 54.5484838)",
193624785,1,улица Чапаева,tertiary,60,False,False,17.437,"LINESTRING (54.107653 54.5480656, 54.107914 54.5481065)",
206273600,,улица Нефтяников,residential,,False,True,123.223,"LINESTRING (54.107653 54.5480656, 54.1061076 54.5487172)",
205898310,,Трудовая улица,residential,,False,False,92.324,"LINESTRING (54.0993499 54.5484838, 54.100346 54.5478875)",
205898294,,Рабочая улица,residential,,False,True,284.741,"LINESTRING (54.0993499 54.5484838, 54.1001245 54.5493035, 54.1017472 54.5502143, 54.1022528 54.5503328)",
206273600,,улица Нефтяников,residential,,False,False,123.223,"LINESTRING (54.1061076 54.5487172, 54.107653 54.5480656)",
206273600,,улица Нефтяников,residential,,False,True,124.596,"LINESTRING (54.1061076 54.5487172, 54.104545 54.5493761)",
1094449164,,улица Пушкина,residential,,False,True,290.716,"LINESTRING (54.1061076 54.5487172, 54.1091439 54.5506496)",
205898321,,Рабочая улица,residential,,False,False,294.071,"LINESTRING (54.0984068 54.5488883, 54.1006498 54.5501935, 54.1007055 54.5502181, 54.1017503 54.5506788)",
206273595,,Центральная улица,residential,60,False,True,175.642,"LINESTRING (54.104545 54.5493761, 54.1062814 54.550593)",
206273600,,улица Нефтяников,residential,,False,False,124.596,"LINESTRING (54.104545 54.5493761, 54.1061076 54.5487172)",
206273600,,улица Нефтяников,residential,,False,True,117.503,"LINESTRING (54.104545 54.5493761, 54.1030661 54.5499933)",
205898312,,,residential,,False,True,128.487,"LINESTRING (54.1108972 54.5499054, 54.1093294 54.5506184)",
193624785,1,улица Чапаева,tertiary,60,False,True,277.569,"LINESTRING (54.1108972 54.5499054, 54.1086144 54.5485072, 54.107914 54.5481065)",
205898287,,Социалистическая улица,residential,,False,True,186.651,"LINESTRING (54.1030661 54.5499933, 54.1049852 54.5512498)",
205898319,,,residential,,False,True,64.624,"LINESTRING (54.1030661 54.5499933, 54.1022528 54.5503328)",
206273600,,улица Нефтяников,residential,,False,False,117.503,"LINESTRING (54.1030661 54.5499933, 54.104545 54.5493761)",
205898319,,,residential,,False,False,64.624,"LINESTRING (54.1022528 54.5503328, 54.1030661 54.5499933)",
205898319,,,residential,,False,True,50.303,"LINESTRING (54.1022528 54.5503328, 54.1017503 54.5506788)",
205898294,,Рабочая улица,residential,,False,False,284.741,"LINESTRING (54.1022528 54.5503328, 54.1017472 54.5502143, 54.1001245 54.5493035, 54.0993499 54.5484838)",
205898312,,,residential,,False,False,12.456,"LINESTRING (54.1091439 54.5506496, 54.1093294 54.5506184)",
