osmid,ref,highway,oneway,reversed,length,name,geometry
130449854,58Н-68,tertiary,False,True,150.456,,"LINESTRING (45.9509488 53.0294638, 45.9528407 53.0301961)"
236476930,,residential,False,False,524.938,Коммунальная улица,"LINESTRING (45.9509488 53.0294638, 45.9512859 53.0291641, 45.9517098 53.0287772, 45.9520814 53.028359, 45.9527767 53.0276813, 45.9543675 53.0263225, 45.9544319 53.0262967, 45.9547698 53.0264193, 45.9548396 53.0264225, 45.9556183 53.0259902)"
236456174,,residential,False,True,88.64399999999999,,"LINESTRING (45.9582487 53.0227877, 45.9583239 53.0229384, 45.9591733 53.0233236)"
236456171,,residential,False,True,128.423,Заречная улица,"LINESTRING (45.9562329 53.0229742, 45.9577859 53.0236534)"
239012852,,residential,False,True,69.954,,"LINESTRING (45.9562329 53.0229742, 45.955737 53.0235281)"
236456174,,residential,False,False,88.64399999999999,,"LINESTRING (45.9591733 53.0233236, 45.9583239 53.0229384, 45.9582487 53.0227877)"
236456174,,residential,False,True,162.761,,"LINESTRING (45.9591733 53.0233236, 45.9599018 53.023654, 45.960816 53.0240212, 45.9609944 53.0239967, 45.9612292 53.0240231)"
239011924,,residential,False,False,75.189,Овражная улица,"LINESTRING (45.955737 53.0235281, 45.9548191 53.0231377)"
239012852,,residential,False,False,69.954,,"LINESTRING (45.955737 53.0235281, 45.9562329 53.0229742)"
239012851,,residential,False,True,73.874,Овражная улица,"LINESTRING (45.955737 53.0235281, 45.9563037 53.0238157, 45.9563391 53.0239862, 45.9563455 53.0240326)"
217452864,,residential,False,False,185.699,Советская улица,"LINESTRING (45.9507734 53.0237033, 45.9510264 53.0237735, 45.951697 53.0239865, 45.9522871 53.0242527, 45.9523664 53.0242877, 45.9528315 53.0244931, 45.9531024 53.0246028)"
217452864,,residential,False,True,52.446,Советская улица,"LINESTRING (45.9507734 53.0237033, 45.9505275 53.0236429, 45.9500411 53.0235348)"
