osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
28114176,2,97К-004,улица Энгельса,secondary,60,False,False,87.914,"LINESTRING (47.0352501 55.3001183, 47.035169 55.3001757, 47.0351061 55.3002202, 47.0343939 55.3007408)"
28114176,2,97К-004,улица Энгельса,secondary,60,False,False,150.916,"LINESTRING (47.0343939 55.3007408, 47.0329326 55.3018132)"
28114176,2,97К-004,улица Энгельса,secondary,60,False,True,87.914,"LINESTRING (47.0343939 55.3007408, 47.0351061 55.3002202, 47.035169 55.3001757, 47.0352501 55.3001183)"
120193050,,,улица Кирова,residential,,False,False,286.11600000000004,"LINESTRING (47.0343939 55.3007408, 47.0345745 55.3008379, 47.0377154 55.302486)"
28114176,2,97К-004,улица Энгельса,secondary,60,False,True,151.745,"LINESTRING (47.0314334 55.3028781, 47.0329326 55.3018132)"
585037576,,,улица Пушкина,residential,,False,False,280.53499999999997,"LINESTRING (47.0314334 55.3028781, 47.031607 55.3029664, 47.0331039 55.3037276, 47.0347538 55.3045492)"
28114176,2,97К-004,улица Энгельса,secondary,60,False,False,151.745,"LINESTRING (47.0329326 55.3018132, 47.0314334 55.3028781)"
28114176,2,97К-004,улица Энгельса,secondary,60,False,True,150.916,"LINESTRING (47.0329326 55.3018132, 47.0343939 55.3007408)"
120193043,,,улица Коминтерна,residential,,False,False,279.289,"LINESTRING (47.0329326 55.3018132, 47.0330777 55.3018856, 47.0346161 55.3026526, 47.036211 55.3034939)"
120193043,,,улица Коминтерна,residential,,False,True,153.405,"LINESTRING (47.0379748 55.3044401, 47.036211 55.3034939)"
120260300,,,улица Чкалова,residential,,False,False,146.361,"LINESTRING (47.0379748 55.3044401, 47.0365208 55.3054636)"
120260300,,,улица Чкалова,residential,,False,True,146.85,"LINESTRING (47.0379748 55.3044401, 47.0394034 55.3033995)"
120193043,,,улица Коминтерна,residential,,False,False,149.861,"LINESTRING (47.0379748 55.3044401, 47.0391424 55.3050182, 47.039706 55.3053574)"
120193050,,,улица Кирова,residential,,False,False,147.423,"LINESTRING (47.0377154 55.302486, 47.0394034 55.3033995)"
120260331,,,улица Дзержинского,residential,,False,False,147.064,"LINESTRING (47.0377154 55.302486, 47.036211 55.3034939)"
120260331,,,улица Дзержинского,residential,,False,True,211.617,"LINESTRING (47.0377154 55.302486, 47.0399436 55.3010672)"
120193050,,,улица Кирова,residential,,False,True,286.11600000000004,"LINESTRING (47.0377154 55.302486, 47.0345745 55.3008379, 47.0343939 55.3007408)"
120260309,,,улица Суворова,residential,,False,True,142.118,"LINESTRING (47.0450036 55.308097, 47.0465178 55.3071532)"
120193043,,,улица Коминтерна,residential,,False,True,294.741,"LINESTRING (47.0450036 55.308097, 47.043556 55.3073122, 47.0429235 55.3069568, 47.042055 55.3065481, 47.0415601 55.3063152)"
120193050,,,улица Кирова,residential,,False,True,149.723,"LINESTRING (47.0411288 55.3043206, 47.0394034 55.3033995)"
120260276,,,улица Кутузова,residential,,False,False,184.181,"LINESTRING (47.0411288 55.3043206, 47.0429941 55.3030493)"
