osmid,name,highway,oneway,reversed,length,geometry
184202543,Красноармейская улица,tertiary,False,True,29.816,"LINESTRING (34.8949815 51.417002, 34.8947813 51.4172393)"
94951062,Больничный проезд,residential,False,False,160.892,"LINESTRING (34.8949815 51.417002, 34.8934064 51.4165377, 34.8929875 51.4162894)"
271723670,Красноармейская улица,tertiary,False,True,226.15,"LINESTRING (34.8949815 51.417002, 34.8955604 51.4161902, 34.8962353 51.415125)"
94951056,улица 70 лет Октября,residential,False,False,292.304,"LINESTRING (34.8929875 51.4162894, 34.8930731 51.4160671, 34.8933142 51.415183, 34.893485 51.4144016, 34.8936451 51.4136939)"
94951062,Больничный проезд,residential,False,True,160.892,"LINESTRING (34.8929875 51.4162894, 34.8934064 51.4165377, 34.8949815 51.417002)"
156344317,Комсомольская улица,residential,False,True,250.183,"LINESTRING (34.8929875 51.4162894, 34.8923562 51.416991, 34.8912869 51.4182734)"
156344407,улица 70 лет Октября,residential,False,False,327.80899999999997,"LINESTRING (34.8989445 51.4111795, 34.8973118 51.4113511, 34.896995 51.41134, 34.8963612 51.4113227, 34.8957289 51.4113395, 34.8956267 51.4113422, 34.8944175 51.4113907, 34.8942456 51.4113976)"
271723670,Красноармейская улица,tertiary,False,False,477.36699999999996,"LINESTRING (34.8989445 51.4111795, 34.8979084 51.4126084, 34.8971132 51.4137394, 34.8962353 51.415125)"
94951056,улица 70 лет Октября,residential,False,True,264.19,"LINESTRING (34.8942456 51.4113976, 34.8943478 51.4122378, 34.8943599 51.4123439, 34.8942407 51.4126635, 34.8940399 51.4130323, 34.8936923 51.4135313, 34.8936451 51.4136939)"
156344407,улица 70 лет Октября,residential,False,True,327.80899999999997,"LINESTRING (34.8942456 51.4113976, 34.8944175 51.4113907, 34.8956267 51.4113422, 34.8957289 51.4113395, 34.8963612 51.4113227, 34.896995 51.41134, 34.8973118 51.4113511, 34.8989445 51.4111795)"
94951056,улица 70 лет Октября,residential,False,False,264.19,"LINESTRING (34.8936451 51.4136939, 34.8936923 51.4135313, 34.8940399 51.4130323, 34.8942407 51.4126635, 34.8943599 51.4123439, 34.8943478 51.4122378, 34.8942456 51.4113976)"
94951056,улица 70 лет Октября,residential,False,True,292.304,"LINESTRING (34.8936451 51.4136939, 34.893485 51.4144016, 34.8933142 51.415183, 34.8930731 51.4160671, 34.8929875 51.4162894)"
391390571,Покровская улица,residential,False,True,105.106,"LINESTRING (34.8936451 51.4136939, 34.893042 51.4136155, 34.8921838 51.4134475)"
184202543,Красноармейская улица,tertiary,False,False,29.816,"LINESTRING (34.8947813 51.4172393, 34.8949815 51.417002)"
156344319,Красноармейская улица,residential,False,True,92.996,"LINESTRING (34.8947813 51.4172393, 34.8953991 51.4174711, 34.8951258 51.4178182)"
156344319,Красноармейская улица,residential,False,False,92.996,"LINESTRING (34.8951258 51.4178182, 34.8953991 51.4174711, 34.8947813 51.4172393)"
156344317,Комсомольская улица,residential,False,False,250.183,"LINESTRING (34.8912869 51.4182734, 34.8923562 51.416991, 34.8929875 51.4162894)"
271723670,Красноармейская улица,tertiary,False,False,226.15,"LINESTRING (34.8962353 51.415125, 34.8955604 51.4161902, 34.8949815 51.417002)"
271723670,Красноармейская улица,tertiary,False,True,477.36699999999996,"LINESTRING (34.8962353 51.415125, 34.8971132 51.4137394, 34.8979084 51.4126084, 34.8989445 51.4111795)"
356054523,,residential,False,False,458.85600000000005,"LINESTRING (34.8962353 51.415125, 34.8970882 51.4151542, 34.8981325 51.4151074, 34.8991884 51.4151974, 34.9002788 51.4153881, 34.9003769 51.4156004, 34.9005788 51.4161473, 34.9004173 51.4162409, 34.8999442 51.4163308, 34.8993961 51.4163344)"
356054523,,residential,False,True,458.85600000000005,"LINESTRING (34.8993961 51.4163344, 34.8999442 51.4163308, 34.9004173 51.4162409, 34.9005788 51.4161473, 34.9003769 51.4156004, 34.9002788 51.4153881, 34.8991884 51.4151974, 34.8981325 51.4151074, 34.8970882 51.4151542, 34.8962353 51.415125)"
391390572,Покровская улица,residential,False,True,115.43599999999999,"LINESTRING (34.8920214 51.4122973, 34.8917899 51.4126076, 34.8912451 51.4132149)"
391390582,Покровский переулок,residential,False,True,110.417,"LINESTRING (34.8927997 51.412532, 34.8925794 51.4128367, 34.8921838 51.4134475)"
391390572,Покровская улица,residential,False,True,55.118,"LINESTRING (34.8912451 51.4132149, 34.8909178 51.4136666)"
391390571,Покровская улица,residential,False,False,70.096,"LINESTRING (34.8912451 51.4132149, 34.8920936 51.4134322, 34.8921838 51.4134475)"
391390572,Покровская улица,residential,False,False,115.43599999999999,"LINESTRING (34.8912451 51.4132149, 34.8917899 51.4126076, 34.8920214 51.4122973)"
391390571,Покровская улица,residential,False,False,105.106,"LINESTRING (34.8921838 51.4134475, 34.893042 51.4136155, 34.8936451 51.4136939)"
391390571,Покровская улица,residential,False,True,70.096,"LINESTRING (34.8921838 51.4134475, 34.8920936 51.4134322, 34.8912451 51.4132149)"
391390582,Покровский переулок,residential,False,False,110.417,"LINESTRING (34.8921838 51.4134475, 34.8925794 51.4128367, 34.8927997 51.412532)"
391390582,Покровский переулок,residential,False,True,120.289,"LINESTRING (34.8921838 51.4134475, 34.8919317 51.4137586, 34.891862 51.4138423, 34.8918056 51.4138707, 34.8917359 51.4138724, 34.8909178 51.4136666)"
391390572,Покровская улица,residential,False,False,55.118,"LINESTRING (34.8909178 51.4136666, 34.8912451 51.4132149)"
391390582,Покровский переулок,residential,False,False,120.28899999999999,"LINESTRING (34.8909178 51.4136666, 34.8917359 51.4138724, 34.8918056 51.4138707, 34.891862 51.4138423, 34.8919317 51.4137586, 34.8921838 51.4134475)"
