osmid,name,highway,oneway,reversed,length,geometry
74398148,улица Максима Горького,tertiary,False,True,100.13,"LINESTRING (54.6628795 59.011367, 54.6646259 59.0113182)"
"[74398168, 74398173]","['улица Лихачёва', 'улица 50 лет Октября']",tertiary,False,False,429.84599999999995,"LINESTRING (54.6628795 59.011367, 54.6629735 59.0115285, 54.6630795 59.0127476, 54.6631416 59.0140862, 54.6631801 59.0149158, 54.6633102 59.0151665, 54.6634042 59.0151638)"
74585266,улица Максима Горького,tertiary,False,False,110.392,"LINESTRING (54.6628795 59.011367, 54.6615056 59.0113767, 54.6609519 59.0113888)"
288297887,улица Лихачёва,residential,False,False,117.67999999999999,"LINESTRING (54.6628795 59.011367, 54.6628165 59.0109898, 54.662806 59.0103101)"
74398188,улица Плеханова,tertiary,False,False,168.41,"LINESTRING (54.6604067 59.0181266, 54.6574724 59.0182375)"
74398186,улица Строителей,secondary,False,False,254.252,"LINESTRING (54.6604067 59.0181266, 54.6589402 59.0173733, 54.6572606 59.0165125)"
74398186,улица Строителей,secondary,False,True,111.242,"LINESTRING (54.6604067 59.0181266, 54.6616213 59.0187506, 54.6617823 59.0188333)"
74398138,улица Калинина,secondary,False,False,167.77,"LINESTRING (54.656774 59.0114759, 54.656856 59.0129841)"
74585266,улица Максима Горького,tertiary,False,True,129.42,"LINESTRING (54.656774 59.0114759, 54.6590329 59.0114309)"
121659060,улица Калинина,tertiary,False,False,108.99,"LINESTRING (54.656774 59.0114759, 54.6566259 59.0104987)"
74398135,улица Плеханова,tertiary,False,True,122.202,"LINESTRING (54.6617823 59.0188333, 54.662562 59.0184634, 54.6626128 59.018445, 54.6628247 59.0183683, 54.663209 59.0182929, 54.6635441 59.0182572)"
74398186,улица Строителей,secondary,False,False,111.242,"LINESTRING (54.6617823 59.0188333, 54.6616213 59.0187506, 54.6604067 59.0181266)"
288482103,улица Калинина,residential,False,False,55.645,"LINESTRING (54.6572606 59.0165125, 54.6573364 59.0170114)"
74398138,улица Калинина,secondary,False,True,49.656,"LINESTRING (54.6572606 59.0165125, 54.6571254 59.0162817, 54.6571126 59.0160763)"
74398186,улица Строителей,secondary,False,True,254.252,"LINESTRING (54.6572606 59.0165125, 54.6589402 59.0173733, 54.6604067 59.0181266)"
74398142,улица Герцена,tertiary,False,True,19.921,"LINESTRING (54.6714709 59.0181103, 54.6714566 59.0179313)"
74398135,улица Плеханова,tertiary,False,False,203.906,"LINESTRING (54.6714709 59.0181103, 54.670836 59.0181236, 54.6704538 59.0181316, 54.6691832 59.0181581, 54.6680977 59.0181808, 54.6679115 59.0181847)"
74398142,улица Герцена,tertiary,False,False,206.93,"LINESTRING (54.6712015 59.0150086, 54.671264 59.015737, 54.6713718 59.0168675)"
74398168,улица 50 лет Октября,tertiary,False,True,203.14,"LINESTRING (54.6712015 59.0150086, 54.6696121 59.0150359, 54.6688365 59.0150474, 54.6676548 59.0150688)"
74487000,улица Герцена,residential,False,True,117.639,"LINESTRING (54.6712015 59.0150086, 54.6711294 59.0143452, 54.6711265 59.0142592, 54.671122 59.0141201, 54.6710832 59.0139529)"
74484216,Социалистическая улица,residential,False,False,86.895,"LINESTRING (54.6708902 59.0127949, 54.6693744 59.0128356)"
74484216,Социалистическая улица,residential,False,True,112.037,"LINESTRING (54.6708902 59.0127949, 54.6728452 59.012749)"
74484220,улица Герцена,residential,False,False,129.237,"LINESTRING (54.6708902 59.0127949, 54.6710832 59.0139529)"
74398148,улица Максима Горького,tertiary,False,False,81.51,"LINESTRING (54.6684936 59.0113064, 54.6670699 59.0113011)"
74398148,улица Максима Горького,tertiary,False,True,50.798,"LINESTRING (54.6684936 59.0113064, 54.6693808 59.0113127)"
74581933,улица Шмидта,residential,False,True,103.166,"LINESTRING (54.6684936 59.0113064, 54.6684241 59.0103793)"
