osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
258363622,2,52Н-164,Октябрьская улица,secondary,60,False,True,108.034,"LINESTRING (72.6945117 55.1532699, 72.6930352 55.1537518)"
63060286,2,,,secondary,60,False,True,78.872,"LINESTRING (72.6978489 55.1565732, 72.6976685 55.1565992, 72.6974924 55.1566533, 72.6967965 55.1569376)"
276670525,2,,,secondary,60,False,False,138.052,"LINESTRING (72.6978489 55.1565732, 72.6980579 55.1565895, 72.6983051 55.1566514, 72.6992596 55.1569883, 72.6997427 55.1571614)"
"[367192504, 100103738]",,,Ремесленная улица,"['unclassified', 'residential']",,False,"[False, True]",477.88599999999997,"LINESTRING (72.6978489 55.1565732, 72.6974324 55.1563752, 72.6971402 55.1562284, 72.697313 55.1561065, 72.6975444 55.1560007, 72.6986111 55.1556496, 72.6996781 55.1552482, 72.7003342 55.1549935, 72.7007905 55.1547936, 72.7016704 55.1543629, 72.7021341 55.1541949, 72.702502 55.1540616)"
276670525,2,,,secondary,60,False,True,16.22,"LINESTRING (72.7068231 55.1599314, 72.7066041 55.1598564)"
258363622,2,52Н-164,Октябрьская улица,secondary,60,False,False,108.034,"LINESTRING (72.6930352 55.1537518, 72.6945117 55.1532699)"
107387266,2,,Почтовая улица,secondary,60,False,False,198.178,"LINESTRING (72.6930352 55.1537518, 72.6931418 55.1538657, 72.6944163 55.1552277, 72.694506 55.1553235)"
62753536,,,,residential,,False,False,225.438,"LINESTRING (72.6966097 55.1594373, 72.6966638 55.1595629, 72.6967214 55.1596409, 72.6972931 55.160321, 72.6973979 55.1605248, 72.6973873 55.1606195, 72.6973388 55.160701, 72.6972045 55.1607877, 72.696908 55.1608884, 72.6963571 55.1610477)"
330609464,,,,residential,,False,False,257.08399999999995,"LINESTRING (72.6966097 55.1594373, 72.6960904 55.1596619, 72.6956988 55.1598134, 72.6953047 55.1599496, 72.6941591 55.1602861, 72.693134 55.160613)"
330609464,,,,residential,,False,True,122.38399999999999,"LINESTRING (72.6966097 55.1594373, 72.696857 55.1592913, 72.697142 55.1591774, 72.6981855 55.1588129)"
330609464,,,,residential,,False,True,257.084,"LINESTRING (72.693134 55.160613, 72.6941591 55.1602861, 72.6953047 55.1599496, 72.6956988 55.1598134, 72.6960904 55.1596619, 72.6966097 55.1594373)"
78389067,,,,residential,,False,False,6.517,"LINESTRING (72.691422 55.1562847, 72.69147 55.1563365)"
78389071,,,,residential,,False,False,252.995,"LINESTRING (72.6939088 55.1592397, 72.6973935 55.1581382)"
62753457,,,,residential,,False,True,138.79500000000002,"LINESTRING (72.7013502 55.1578265, 72.7015771 55.1577691, 72.7017855 55.1576821, 72.7031027 55.1570877)"
276670525,2,,,secondary,60,False,False,183.344,"LINESTRING (72.7013502 55.1578265, 72.7019799 55.1581196, 72.70302 55.1585716, 72.7036506 55.1588211)"
276670525,2,,,secondary,60,False,True,117.31699999999998,"LINESTRING (72.7013502 55.1578265, 72.7009031 55.1576171, 72.7003822 55.1573982, 72.6998615 55.1572039)"
330609464,,,,residential,,False,False,229.175,"LINESTRING (72.7013502 55.1578265, 72.7010507 55.1579013, 72.7005142 55.1580862, 72.6996202 55.1583779, 72.6986441 55.1586839, 72.6981855 55.1588129)"
78389071,,,,residential,,False,True,252.995,"LINESTRING (72.6973935 55.1581382, 72.6939088 55.1592397)"
230589027,,,Почтовая улица,residential,,False,True,119.818,"LINESTRING (72.6973935 55.1581382, 72.6963826 55.1572285)"
78389071,,,,residential,,False,False,185.789,"LINESTRING (72.6973935 55.1581382, 72.6987365 55.1576577, 72.6991387 55.157514, 72.6992489 55.1574634, 72.6994572 55.1573499, 72.6997427 55.1571614)"
230589027,,,Почтовая улица,residential,,False,False,90.37,"LINESTRING (72.6973935 55.1581382, 72.6977879 55.158453, 72.6981855 55.1588129)"
78389008,,,,residential,,False,True,223.362,"LINESTRING (72.694506 55.1553235, 72.69147 55.1563365)"
107387266,2,,Почтовая улица,secondary,60,False,False,44.67,"LINESTRING (72.694506 55.1553235, 72.6947419 55.1555657, 72.694848 55.1556745)"
107387266,2,,Почтовая улица,secondary,60,False,True,198.178,"LINESTRING (72.694506 55.1553235, 72.6944163 55.1552277, 72.6931418 55.1538657, 72.6930352 55.1537518)"
276670525,2,,,secondary,60,False,True,8.905,"LINESTRING (72.6998615 55.1572039, 72.6997427 55.1571614)"
276670525,2,,,secondary,60,False,False,117.31700000000001,"LINESTRING (72.6998615 55.1572039, 72.7003822 55.1573982, 72.7009031 55.1576171, 72.7013502 55.1578265)"
330609508,,,,residential,,False,False,351.05,"LINESTRING (72.6998615 55.1572039, 72.701665 55.1562705, 72.7034044 55.155347, 72.7039112 55.1550566)"
78389008,,,,residential,,False,False,223.362,"LINESTRING (72.69147 55.1563365, 72.694506 55.1553235)"
