osmid,name,highway,oneway,reversed,length,geometry
85780844,улица Будённого,tertiary,False,False,7.117,"LINESTRING (40.7852871 44.4099377, 40.7852958 44.409874)"
212410229,улица Энгельса,residential,False,True,232.438,"LINESTRING (40.7852871 44.4099377, 40.7880901 44.410538)"
85780844,улица Будённого,tertiary,False,True,185.255,"LINESTRING (40.7852871 44.4099377, 40.7852444 44.4104015, 40.7851818 44.4105695, 40.7849905 44.4108724, 40.7848843 44.411018, 40.7844949 44.4114702)"
46913079,улица Р. Люксембург,tertiary,False,True,195.047,"LINESTRING (40.7960238 44.4172328, 40.7936683 44.4167366)"
46913526,улица Гоголя,residential,False,False,190.945,"LINESTRING (40.7951016 44.411999, 40.7945193 44.4127255, 40.7942401 44.4130653, 40.7938428 44.4134599)"
212379404,улица Энгельса,residential,False,False,195.75900000000001,"LINESTRING (40.7951016 44.411999, 40.7936444 44.4117126, 40.7927491 44.4114789)"
309116910,улица Горького,tertiary,False,False,9.481,"LINESTRING (40.7927491 44.4114789, 40.7926913 44.4115535)"
212379404,улица Энгельса,residential,False,True,195.75900000000001,"LINESTRING (40.7927491 44.4114789, 40.7936444 44.4117126, 40.7951016 44.411999)"
309116910,улица Горького,tertiary,False,True,181.13799999999998,"LINESTRING (40.7927491 44.4114789, 40.7934507 44.410563, 40.7938457 44.4100506)"
46913530,улица Урицкого,residential,False,False,191.779,"LINESTRING (40.7904018 44.4110631, 40.7893023 44.4124172, 40.7891699 44.4125454)"
46913530,улица Урицкого,residential,False,True,186.17,"LINESTRING (40.7904018 44.4110631, 40.7905151 44.4109092, 40.7909807 44.4102915, 40.7915068 44.4095866)"
212410229,улица Энгельса,residential,False,False,192.684,"LINESTRING (40.7904018 44.4110631, 40.7902324 44.4110221, 40.7880901 44.410538)"
212410229,улица Энгельса,residential,False,True,189.892,"LINESTRING (40.7904018 44.4110631, 40.7905927 44.4110954, 40.7915794 44.4113032, 40.7926913 44.4115535)"
212410229,улица Энгельса,residential,False,False,232.438,"LINESTRING (40.7880901 44.410538, 40.7852871 44.4099377)"
46913531,Красноармейская улица,residential,False,False,182.15,"LINESTRING (40.7880901 44.410538, 40.7879617 44.410712, 40.7868969 44.4119364)"
212410229,улица Энгельса,residential,False,True,192.684,"LINESTRING (40.7880901 44.410538, 40.7902324 44.4110221, 40.7904018 44.4110631)"
46913053,улица Калинина,residential,False,False,197.708,"LINESTRING (40.7844949 44.4114702, 40.7868969 44.4119364)"
85780844,улица Будённого,tertiary,False,False,185.255,"LINESTRING (40.7844949 44.4114702, 40.7848843 44.411018, 40.7849905 44.4108724, 40.7851818 44.4105695, 40.7852444 44.4104015, 40.7852871 44.4099377)"
46913053,улица Калинина,residential,False,False,94.816,"LINESTRING (40.7868969 44.4119364, 40.7880054 44.4122528)"
46913053,улица Калинина,residential,False,True,197.708,"LINESTRING (40.7868969 44.4119364, 40.7844949 44.4114702)"
46913531,Красноармейская улица,residential,False,False,188.846,"LINESTRING (40.7868969 44.4119364, 40.785611 44.4133649)"
46913531,Красноармейская улица,residential,False,True,182.15,"LINESTRING (40.7868969 44.4119364, 40.7879617 44.410712, 40.7880901 44.410538)"
46913053,улица Калинина,residential,False,False,192.388,"LINESTRING (40.7891699 44.4125454, 40.7893258 44.4125838, 40.7899 44.4127126, 40.7906075 44.4127938, 40.7908348 44.4128791, 40.7909622 44.4129029, 40.7914974 44.4129946)"
46913053,улица Калинина,residential,False,True,98.243,"LINESTRING (40.7891699 44.4125454, 40.7890592 44.4125334, 40.7885242 44.4124004, 40.7880054 44.4122528)"
46913530,улица Урицкого,residential,False,False,181.512,"LINESTRING (40.7891699 44.4125454, 40.789071 44.412644, 40.7887672 44.4130009, 40.787883 44.4138934)"
46913530,улица Урицкого,residential,False,True,191.779,"LINESTRING (40.7891699 44.4125454, 40.7893023 44.4124172, 40.7904018 44.4110631)"
46913053,улица Калинина,residential,False,False,193.342,"LINESTRING (40.7914974 44.4129946, 40.7938428 44.4134599)"
