osmid,oneway,name,highway,reversed,length,geometry,maxspeed
147013546,False,улица Ленина,residential,False,184.909,"LINESTRING (38.9525239 46.319816, 38.9526859 46.31985, 38.9527587 46.3198898, 38.95282 46.3199433, 38.9528652 46.3200192, 38.9529784 46.3205629, 38.9530148 46.3206948, 38.9532067 46.3213291)",
147033397,False,Черноморская улица,tertiary,True,156.114,"LINESTRING (38.9525239 46.319816, 38.9524666 46.3198616, 38.9523697 46.3199022, 38.9522275 46.3199421, 38.9505821 46.3201716)",
147052748,False,улица Ленина,tertiary,True,284.917,"LINESTRING (38.9525239 46.319816, 38.9525318 46.3197424, 38.9525139 46.319656, 38.9520081 46.3174186, 38.9519994 46.317282)",
147052748,False,улица Ленина,tertiary,False,7.628,"LINESTRING (38.9519941 46.3172135, 38.9519994 46.317282)",
147052745,False,улица Ленина,tertiary,True,192.824,"LINESTRING (38.9519941 46.3172135, 38.9520262 46.3171492, 38.9521285 46.3170208, 38.9531812 46.3156865)",40
314071892,False,Советская улица,tertiary,True,170.893,"LINESTRING (38.9519941 46.3172135, 38.9518766 46.3171862, 38.9517017 46.3171793, 38.9516765 46.3171783, 38.950407 46.3172109, 38.9497785 46.3172449)",
71715118,False,Запорожская улица,residential,False,348.775,"LINESTRING (38.9497785 46.3172449, 38.9491905 46.3141347)",
147033399,False,Запорожская улица,residential,True,331.243,"LINESTRING (38.9497785 46.3172449, 38.9501696 46.3187268, 38.9505821 46.3201716)",
314071892,False,Советская улица,tertiary,False,170.89299999999997,"LINESTRING (38.9497785 46.3172449, 38.950407 46.3172109, 38.9516765 46.3171783, 38.9517017 46.3171793, 38.9518766 46.3171862, 38.9519941 46.3172135)",
149707593,False,переулок Ленина,residential,False,180.153,"LINESTRING (38.9543724 46.3179377, 38.9549841 46.3163736)",
150289208,False,Советская улица,tertiary,False,137.357,"LINESTRING (38.9543724 46.3179377, 38.9544814 46.317976, 38.9547053 46.3180727, 38.9550018 46.3181959, 38.9553885 46.318371, 38.9558653 46.3186154)",
150289208,False,Советская улица,tertiary,True,196.289,"LINESTRING (38.9543724 46.3179377, 38.9534399 46.3176809, 38.9521299 46.3173155, 38.9519994 46.317282)",
147033397,False,Черноморская улица,tertiary,False,156.114,"LINESTRING (38.9505821 46.3201716, 38.9522275 46.3199421, 38.9523697 46.3199022, 38.9524666 46.3198616, 38.9525239 46.319816)",
147033399,False,Запорожская улица,residential,False,331.243,"LINESTRING (38.9505821 46.3201716, 38.9501696 46.3187268, 38.9497785 46.3172449)",
147013546,False,улица Ленина,residential,True,184.909,"LINESTRING (38.9532067 46.3213291, 38.9530148 46.3206948, 38.9529784 46.3205629, 38.9528652 46.3200192, 38.95282 46.3199433, 38.9527587 46.3198898, 38.9526859 46.31985, 38.9525239 46.319816)",
150289208,False,Советская улица,tertiary,True,407.23599999999993,"LINESTRING (38.9616949 46.3213041, 38.9616381 46.3212875, 38.9609728 46.321062, 38.9604131 46.3208714, 38.9598622 46.3206647, 38.9590855 46.3203243, 38.958314 46.3199572, 38.9577391 46.3196867, 38.9571949 46.3193862)",
71545000,False,улица Толстого,residential,False,153.12,"LINESTRING (38.9587806 46.3131418, 38.9579902 46.314406)",
147021855,False,улица Котовского,tertiary,True,241.856,"LINESTRING (38.9587806 46.3131418, 38.9614974 46.3142416)",60
71545000,False,улица Толстого,residential,False,158.065,"LINESTRING (38.9572887 46.3156246, 38.9566341 46.3169723)",
147033395,False,улица Космонавтов,tertiary,True,266.333,"LINESTRING (38.9572887 46.3156246, 38.9542597 46.3144584)",
71545000,False,улица Толстого,residential,True,145.898,"LINESTRING (38.9572887 46.3156246, 38.9575367 46.3152475, 38.9579902 46.314406)",
147033413,False,улица Космонавтов,residential,False,198.916,"LINESTRING (38.9572887 46.3156246, 38.9583611 46.3160475, 38.9594522 46.3166026)",
147033395,False,улица Космонавтов,tertiary,False,266.333,"LINESTRING (38.9542597 46.3144584, 38.9572887 46.3156246)",
