osmid,oneway,name,highway,reversed,length,geometry,bridge,maxspeed
78738310,True,улица Калинина,residential,False,31.754,"LINESTRING (42.8435765 45.3379881, 42.8437191 45.3382555)",,
78738316,False,Ярморочная улица,residential,False,35.927,"LINESTRING (42.8502766 45.3434262, 42.8500548 45.3431432)",,
231702013,False,улица Чапаева,residential,False,150.333,"LINESTRING (42.8502766 45.3434262, 42.8485687 45.3440482)",,
230928883,False,Бассейная улица,tertiary,False,169.661,"LINESTRING (42.8490475 45.3413601, 42.8470598 45.3419734)",,
231683899,False,Ярморочная улица,residential,False,82.54299999999999,"LINESTRING (42.8490475 45.3413601, 42.8490062 45.3412907, 42.8486305 45.3406781)",,
231683899,False,Ярморочная улица,residential,True,134.43200000000002,"LINESTRING (42.8490475 45.3413601, 42.8493833 45.3419108, 42.8497563 45.3424614)",,
306370973,False,,residential,False,26.532,"LINESTRING (42.8459564 45.3381333, 42.8459321 45.3378953)",,
230537806,False,,residential,True,119.786,"LINESTRING (42.8459564 45.3381333, 42.8460873 45.338662, 42.8461392 45.3390827, 42.8461538 45.3392006)",,
306370972,False,Кузнечная улица,residential,False,381.782,"LINESTRING (42.8459564 45.3381333, 42.8464534 45.3380991, 42.8470505 45.3380392, 42.8482179 45.3377315, 42.8488607 45.337503, 42.8497086 45.3373181, 42.8504688 45.3372838, 42.8506253 45.3372463)",,
1192644617,False,улица Тургенева,residential,True,102.141,"LINESTRING (42.8434715 45.3415065, 42.8426339 45.3408014)",,
78747615,False,Красная улица,residential,False,168.568,"LINESTRING (42.8434715 45.3415065, 42.8436169 45.3414367, 42.8452526 45.3406516)",,
230535685,True,улица Тургенева,secondary,False,192.594,"LINESTRING (42.8434715 45.3415065, 42.8447027 45.3427996, 42.8448552 45.3429393)",,
231683899,False,Ярморочная улица,residential,False,134.43200000000002,"LINESTRING (42.8497563 45.3424614, 42.8493833 45.3419108, 42.8490475 45.3413601)",,
231683899,False,Ярморочная улица,residential,True,59.495000000000005,"LINESTRING (42.8497563 45.3424614, 42.849831 45.3428023, 42.8499429 45.3429754)",,
78738429,False,Упорная улица,residential,False,126.154,"LINESTRING (42.8443057 45.3379935, 42.8449799 45.3378726, 42.8458409 45.3376483)",,
78747417,False,Маяковского улица,residential,True,15.662,"LINESTRING (42.8458409 45.3376483, 42.8458946 45.337784)",,
78738429,False,Упорная улица,residential,False,312.964,"LINESTRING (42.8458409 45.3376483, 42.84683 45.3373971, 42.8476257 45.3371978, 42.8483244 45.336941, 42.8494619 45.3364714)",,
78738429,False,Упорная улица,residential,True,126.154,"LINESTRING (42.8458409 45.3376483, 42.8449799 45.3378726, 42.8443057 45.3379935)",,
230928883,False,Бассейная улица,tertiary,True,169.661,"LINESTRING (42.8470598 45.3419734, 42.8490475 45.3413601)",,
230928883,False,Бассейная улица,tertiary,False,70.384,"LINESTRING (42.8470598 45.3419734, 42.8469834 45.3420033, 42.8463456 45.3423578)",,
237767030,False,Московская улица,residential,False,203.844,"LINESTRING (42.8470598 45.3419734, 42.8464646 45.341538, 42.8461956 45.3413413, 42.8461181 45.3412846, 42.8452526 45.3406516)",,
78738200,True,Кузнечная улица,residential,False,176.666,"LINESTRING (42.8437191 45.3382555, 42.8456903 45.3380862, 42.8459564 45.3381333)",,
78738310,True,улица Калинина,residential,False,125.382,"LINESTRING (42.8437191 45.3382555, 42.843822 45.3384484, 42.8443064 45.3391849, 42.8443722 45.3392849)",,
78738429,False,Упорная улица,residential,True,312.964,"LINESTRING (42.8494619 45.3364714, 42.8483244 45.336941, 42.8476257 45.3371978, 42.84683 45.3373971, 42.8458409 45.3376483)",,
"[230537824, 78738461, 230537823]",False,"['улица Шевченко', 'улица Крупской']",tertiary,False,127.533,"LINESTRING (42.8494619 45.3364714, 42.8496434 45.3365218, 42.8502798 45.3369428, 42.8504296 45.3371323, 42.8506253 45.3372463)",yes,
78738238,True,Красная улица,residential,False,111.446,"LINESTRING (42.8409927 45.3427515, 42.8421215 45.3421391)",,
78747411,False,Красная улица,residential,True,57.667,"LINESTRING (42.8409927 45.3427515, 42.8404115 45.343071)",,
