osmid,lanes,name,highway,oneway,reversed,length,geometry
35148398,2,Спортивная улица,tertiary,False,False,312.643,"LINESTRING (36.9830511 55.5181143, 36.9828666 55.5179498, 36.9827413 55.5177606, 36.9826387 55.5176127, 36.9825839 55.5174632, 36.982153 55.5154645, 36.98217 55.5153754)"
37754964,,Промышленная улица,tertiary,False,False,309.62899999999996,"LINESTRING (36.9830511 55.5181143, 36.9818528 55.5182086, 36.9808087 55.5183015, 36.9805351 55.5183251, 36.9793092 55.5184306, 36.9790014 55.518457, 36.9786169 55.5184876, 36.978195 55.5185485)"
55384713,,Клубная улица,tertiary,False,True,332.723,"LINESTRING (36.9774891 55.5139988, 36.9780424 55.5141164, 36.978378 55.5141878, 36.9786384 55.5142628, 36.9791533 55.5144111, 36.9801358 55.5147461, 36.9802888 55.5147983, 36.9805002 55.5148674, 36.9808561 55.5149839, 36.9812521 55.5151019, 36.98217 55.5153754)"
37754964,,Промышленная улица,tertiary,False,True,309.629,"LINESTRING (36.978195 55.5185485, 36.9786169 55.5184876, 36.9790014 55.518457, 36.9793092 55.5184306, 36.9805351 55.5183251, 36.9808087 55.5183015, 36.9818528 55.5182086, 36.9830511 55.5181143)"
307388979,,,unclassified,False,False,202.245,"LINESTRING (36.978195 55.5185485, 36.9786494 55.5188513, 36.9794482 55.5192514, 36.9804975 55.5198133)"
160906492,2,Клубная улица,tertiary,False,False,478.48500000000007,"LINESTRING (36.9889075 55.5135977, 36.9867962 55.5143696, 36.9848401 55.5150865, 36.9843183 55.5152406, 36.9830302 55.5153527, 36.982445 55.5153897, 36.98217 55.5153754)"
511119887,2,Клубная улица,tertiary,False,True,57.851,"LINESTRING (36.9889075 55.5135977, 36.9895983 55.5133519, 36.9896855 55.5133209)"
35148399,1,,tertiary,True,False,46.94,"LINESTRING (36.9896855 55.5133209, 36.9897611 55.5132771, 36.9898215 55.5132126, 36.9898456 55.5131571, 36.9898497 55.5131015, 36.9898269 55.513022, 36.9897672 55.5129337)"
511119887,2,Клубная улица,tertiary,False,False,57.851,"LINESTRING (36.9896855 55.5133209, 36.9895983 55.5133519, 36.9889075 55.5135977)"
307388979,,,unclassified,False,True,202.245,"LINESTRING (36.9804975 55.5198133, 36.9794482 55.5192514, 36.9786494 55.5188513, 36.978195 55.5185485)"
35148398,2,Спортивная улица,tertiary,False,True,312.64300000000003,"LINESTRING (36.98217 55.5153754, 36.982153 55.5154645, 36.9825839 55.5174632, 36.9826387 55.5176127, 36.9827413 55.5177606, 36.9828666 55.5179498, 36.9830511 55.5181143)"
55384713,,Клубная улица,tertiary,False,False,332.72300000000007,"LINESTRING (36.98217 55.5153754, 36.9812521 55.5151019, 36.9808561 55.5149839, 36.9805002 55.5148674, 36.9802888 55.5147983, 36.9801358 55.5147461, 36.9791533 55.5144111, 36.9786384 55.5142628, 36.978378 55.5141878, 36.9780424 55.5141164, 36.9774891 55.5139988)"
160906492,2,Клубная улица,tertiary,False,True,478.485,"LINESTRING (36.98217 55.5153754, 36.982445 55.5153897, 36.9830302 55.5153527, 36.9843183 55.5152406, 36.9848401 55.5150865, 36.9867962 55.5143696, 36.9889075 55.5135977)"
