osmid,oneway,highway,reversed,length,geometry,junction
226445895,True,primary,False,359.856,"LINESTRING (49.9932167 26.5647609, 49.9896168 26.5644355)",
229419924,False,residential,False,95.667,"LINESTRING (49.9932167 26.5647609, 49.9931559 26.564898, 49.9930918 26.5650484, 49.9930837 26.5650709, 49.9928934 26.565571)",
229419932,False,residential,True,55.041,"LINESTRING (49.9896168 26.5644355, 49.9895254 26.5649237)",
226445895,True,primary,False,67.968,"LINESTRING (49.9938921 26.5648541, 49.9936716 26.5648223, 49.9932167 26.5647609)",
229419929,False,residential,False,44.876000000000005,"LINESTRING (49.9938921 26.5648541, 49.9938656 26.5649175, 49.9937343 26.5652322)",
793833675,False,residential,True,107.731,"LINESTRING (49.9905821 26.5651367, 49.9895254 26.5649237)",
229419900,False,residential,False,189.66000000000003,"LINESTRING (49.9905821 26.5651367, 49.9904501 26.5659854, 49.9909138 26.566063, 49.9913905 26.566083)",
793833675,False,residential,False,105.99199999999999,"LINESTRING (49.9905821 26.5651367, 49.9909092 26.5651989, 49.9910276 26.5652393, 49.9913137 26.5651989, 49.9914041 26.5651873, 49.9916129 26.5652589)",
229419929,False,residential,False,69.306,"LINESTRING (49.9937343 26.5652322, 49.9936794 26.5653292, 49.9934628 26.5657123, 49.993368 26.5657213)",
229419929,False,residential,True,44.876000000000005,"LINESTRING (49.9937343 26.5652322, 49.9938656 26.5649175, 49.9938921 26.5648541)",
229419938,False,residential,True,44.476,"LINESTRING (49.9901176 26.565531, 49.9900909 26.5657147, 49.9901231 26.5659275)",
229419924,False,residential,False,93.759,"LINESTRING (49.9928934 26.565571, 49.9925597 26.5663596)",
229419880,False,residential,False,50.078,"LINESTRING (49.9928934 26.565571, 49.9930901 26.5656366, 49.993368 26.5657213)",
229419880,False,residential,True,76.74,"LINESTRING (49.9928934 26.565571, 49.9923449 26.565388, 49.99217 26.5653309)",
229419924,False,residential,True,95.667,"LINESTRING (49.9928934 26.565571, 49.9930837 26.5650709, 49.9930918 26.5650484, 49.9931559 26.564898, 49.9932167 26.5647609)",
229419880,False,residential,True,50.078,"LINESTRING (49.993368 26.5657213, 49.9930901 26.5656366, 49.9928934 26.565571)",
229419929,False,residential,True,69.306,"LINESTRING (49.993368 26.5657213, 49.9934628 26.5657123, 49.9936794 26.5653292, 49.9937343 26.5652322)",
793833062,False,residential,False,90.381,"LINESTRING (49.993368 26.5657213, 49.9930233 26.5664483, 49.9930277 26.5664711)",
229419898,False,residential,True,77.305,"LINESTRING (49.9893642 26.5657772, 49.9901231 26.5659275)",
229419932,False,residential,True,39.135,"LINESTRING (49.9893642 26.5657772, 49.9893047 26.5661251)",
229419932,False,residential,False,96.343,"LINESTRING (49.9893642 26.5657772, 49.9894634 26.5651505, 49.9895254 26.5649237)",
229419898,False,residential,False,77.305,"LINESTRING (49.9901231 26.5659275, 49.9893642 26.5657772)",
229419938,False,residential,False,44.476,"LINESTRING (49.9901231 26.5659275, 49.9900909 26.5657147, 49.9901176 26.565531)",
229419938,False,residential,True,38.678,"LINESTRING (49.9901231 26.5659275, 49.9900775 26.5660661, 49.9900867 26.5662693)",
229419880,False,residential,False,31.894,"LINESTRING (49.9913905 26.566083, 49.9914133 26.5657969)",
229419922,False,residential,False,53.479,"LINESTRING (49.9913905 26.566083, 49.9919152 26.5661882)",
229419880,False,residential,True,167.054,"LINESTRING (49.9913905 26.566083, 49.9913156 26.5664499, 49.9912272 26.5668566, 49.9911216 26.5675654)",
229419900,False,residential,True,189.66,"LINESTRING (49.9913905 26.566083, 49.9909138 26.566063, 49.9904501 26.5659854, 49.9905821 26.5651367)",
229419896,False,residential,True,79.409,"LINESTRING (49.9893047 26.5661251, 49.9900867 26.5662693)",
229419932,False,residential,False,39.135,"LINESTRING (49.9893047 26.5661251, 49.9893642 26.5657772)",
229419932,False,residential,True,120.619,"LINESTRING (49.9893047 26.5661251, 49.9890415 26.5670606, 49.9890282 26.5671801)",
229419896,False,residential,False,79.409,"LINESTRING (49.9900867 26.5662693, 49.9893047 26.5661251)",
229419938,False,residential,False,38.678,"LINESTRING (49.9900867 26.5662693, 49.9900775 26.5660661, 49.9901231 26.5659275)",
229419938,False,residential,True,122.501,"LINESTRING (49.9900867 26.5662693, 49.9900909 26.5663617, 49.9901221 26.5667731, 49.990025 26.5673636)",
229419890,False,residential,True,138.421,"LINESTRING (49.9922028 26.566264, 49.9918412 26.5674661)",
229419922,False,residential,False,37.053,"LINESTRING (49.9922028 26.566264, 49.9925597 26.5663596)",
229419922,False,residential,True,29.819,"LINESTRING (49.9922028 26.566264, 49.9919152 26.5661882)",
229419922,False,residential,False,48.168,"LINESTRING (49.9925597 26.5663596, 49.9930277 26.5664711)",
229419922,False,residential,True,37.053,"LINESTRING (49.9925597 26.5663596, 49.9922028 26.566264)",
229419924,False,residential,True,93.759,"LINESTRING (49.9925597 26.5663596, 49.9928934 26.565571)",
229419922,False,residential,True,48.168,"LINESTRING (49.9930277 26.5664711, 49.9925597 26.5663596)",
