osmid,oneway,name,highway,reversed,length,junction,geometry
377935235,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,38.452,,"LINESTRING (41.0820162 19.1261407, 41.0818298 19.1258431)"
704160350,True,دوار المربعة,tertiary,False,15.689,roundabout,"LINESTRING (41.0820162 19.1261407, 41.0820262 19.1261175, 41.0820651 19.1260746, 41.0821195 19.1260445)"
377991838,False,,residential,False,66.447,,"LINESTRING (41.0801556 19.1231701, 41.0795382 19.1232998)"
377935243,True,,residential,False,13.119000000000002,,"LINESTRING (41.0819286 19.1231888, 41.0819622 19.1231656, 41.0820019 19.1231537, 41.0820435 19.1231545)"
377957062,True,,residential,False,29.85,,"LINESTRING (41.0820435 19.1231545, 41.0823245 19.1231148)"
377935243,True,,residential,False,21.886,,"LINESTRING (41.0820435 19.1231545, 41.0820827 19.123168, 41.0821152 19.1231926, 41.0821376 19.1232257, 41.0821475 19.123264, 41.0821439 19.1233032)"
377935243,True,,residential,False,27.039999999999996,,"LINESTRING (41.0821439 19.1233032, 41.0821265 19.1233402, 41.0820971 19.1233697, 41.082059 19.1233884, 41.0820165 19.1233941, 41.0819745 19.1233862, 41.0819375 19.1233656)"
377935247,True,,residential,False,136.818,,"LINESTRING (41.0821439 19.1233032, 41.0821291 19.1235642, 41.0826521 19.1243978)"
377935243,True,,residential,False,21.985,,"LINESTRING (41.0819375 19.1233656, 41.0819104 19.1233355, 41.081895 19.1232986, 41.081893 19.1232591, 41.0819047 19.1232211, 41.0819286 19.1231888)"
377935247,True,,residential,False,6.688,,"LINESTRING (41.0833989 19.1255881, 41.083429 19.1256411)"
377935238,True,شارع حلي,tertiary,False,6.792,,"LINESTRING (41.083429 19.1256411, 41.0833707 19.1256675)"
377935248,True,,residential,False,6.791,,"LINESTRING (41.0833707 19.1256675, 41.0833403 19.1256136)"
377935238,True,شارع حلي,tertiary,False,123.066,,"LINESTRING (41.0833707 19.1256675, 41.0825857 19.1260452, 41.0825172 19.1260909, 41.0824505 19.1261568, 41.0823704 19.1262282)"
377935240,True,شارع حلي,tertiary,False,6.778,,"LINESTRING (41.0833403 19.1256136, 41.0833989 19.1255881)"
377935248,True,,residential,False,109.746,,"LINESTRING (41.0833403 19.1256136, 41.0828094 19.1247636)"
377935255,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,119.856,,"LINESTRING (41.0826495 19.1273598, 41.0825837 19.1271542, 41.0823652 19.1267051, 41.0821756 19.1263827)"
1063324577,False,,residential,True,76.631,,"LINESTRING (41.0826495 19.1273598, 41.0821971 19.1273601, 41.0819209 19.1273804)"
704160350,True,دوار المربعة,tertiary,False,17.794999999999998,roundabout,"LINESTRING (41.0821756 19.1263827, 41.082151 19.1263822, 41.0820948 19.126363, 41.0820478 19.126328, 41.082034 19.1263081)"
377935253,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,30.92,,"LINESTRING (41.0828231 19.1283536, 41.0828127 19.1286315)"
377935257,True,,tertiary,False,31.532,,"LINESTRING (41.0828231 19.1283536, 41.0830552 19.1285334)"
704160349,True,,tertiary,False,27.713,,"LINESTRING (41.0830552 19.1285334, 41.0828127 19.1286315)"
377935253,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,65.806,,"LINESTRING (41.0828127 19.1286315, 41.0828078 19.1287609, 41.0826861 19.1292087)"
377991837,False,,residential,True,177.992,,"LINESTRING (41.0745638 19.1261899, 41.0762579 19.1262105)"
377957051,True,طريق الملك فهد بن عبدالعزيز,tertiary,False,166.441,,"LINESTRING (41.0745638 19.1261899, 41.0745936 19.1269413, 41.074728 19.1276753)"
377957052,True,طريق الملك فهد بن عبدالعزيز,tertiary,False,233.26500000000001,,"LINESTRING (41.0746512 19.1279556, 41.0745247 19.1274863, 41.0744371 19.1269968, 41.0744278 19.1265638, 41.0744184 19.1261308, 41.0744613 19.1258832)"
377957061,False,,residential,True,135.051,,"LINESTRING (41.0823245 19.1231148, 41.0835631 19.1227898)"
700504008,True,,residential,False,28.264,,"LINESTRING (41.0823245 19.1231148, 41.0821439 19.1233032)"
377957061,False,,residential,False,135.051,,"LINESTRING (41.0835631 19.1227898, 41.0823245 19.1231148)"
377935253,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,98.134,,"LINESTRING (41.0826861 19.1292087, 41.0824902 19.1299297, 41.0824495 19.1300624)"
377957051,True,طريق الملك فهد بن عبدالعزيز,tertiary,False,341.884,,"LINESTRING (41.0752891 19.1232346, 41.0752134 19.1233119, 41.0750076 19.1236123, 41.0747215 19.1252737, 41.074673 19.1255483, 41.0745638 19.1261899)"
377991836,False,,residential,False,138.075,,"LINESTRING (41.0752891 19.1232346, 41.0758403 19.1235708, 41.0759471 19.1237003, 41.0760463 19.1239046, 41.0761254 19.1241252)"
377991837,False,,residential,False,67.421,,"LINESTRING (41.0768996 19.1262184, 41.0762579 19.1262105)"
377991846,False,,residential,False,39.358,,"LINESTRING (41.0768996 19.1262184, 41.077274 19.126231)"
377991836,False,,residential,True,246.563,,"LINESTRING (41.0768996 19.1262184, 41.0764815 19.1251142, 41.0761254 19.1241252)"
377991838,False,,residential,True,105.768,,"LINESTRING (41.0761254 19.1241252, 41.0770967 19.123875)"
377991836,False,,residential,False,246.563,,"LINESTRING (41.0761254 19.1241252, 41.0764815 19.1251142, 41.0768996 19.1262184)"
377991836,False,,residential,True,138.075,,"LINESTRING (41.0761254 19.1241252, 41.0760463 19.1239046, 41.0759471 19.1237003, 41.0758403 19.1235708, 41.0752891 19.1232346)"
377991838,False,,residential,False,105.768,,"LINESTRING (41.0770967 19.123875, 41.0761254 19.1241252)"
377991838,False,,residential,True,123.052,,"LINESTRING (41.0770967 19.123875, 41.0782303 19.1235966)"
377991839,False,,residential,True,178.337,,"LINESTRING (41.0770967 19.123875, 41.0769666 19.1222759)"
377991847,False,,residential,True,63.664,,"LINESTRING (41.0770967 19.123875, 41.0771397 19.1244461)"
377991838,False,,residential,False,123.052,,"LINESTRING (41.0782303 19.1235966, 41.0770967 19.123875)"
377991838,False,,residential,True,67.573,,"LINESTRING (41.0782303 19.1235966, 41.0788528 19.1234437)"
377991840,False,,residential,False,74.349,,"LINESTRING (41.0782303 19.1235966, 41.0782115 19.1229282)"
377991838,False,,residential,False,67.573,,"LINESTRING (41.0788528 19.1234437, 41.0782303 19.1235966)"
377991838,False,,residential,True,73.764,,"LINESTRING (41.0788528 19.1234437, 41.0795382 19.1232998)"
377991841,False,,residential,False,60.728,,"LINESTRING (41.0788528 19.1234437, 41.0789296 19.123985)"
377991841,False,,residential,False,126.795,,"LINESTRING (41.081523 19.128069, 41.0827069 19.1282907)"
1063328591,False,,residential,True,38.032,,"LINESTRING (41.081523 19.128069, 41.0814836 19.128409)"
377991841,False,,residential,True,114.80199999999999,,"LINESTRING (41.081523 19.128069, 41.0809196 19.1278343, 41.0805287 19.127643)"
1063324578,False,,residential,False,96.12200000000001,,"LINESTRING (41.081523 19.128069, 41.081591 19.1275806, 41.0817519 19.127502, 41.0819209 19.1273804)"
377991841,False,,residential,True,126.795,,"LINESTRING (41.0827069 19.1282907, 41.081523 19.128069)"
377935255,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,103.75399999999999,,"LINESTRING (41.0827069 19.1282907, 41.082703 19.1279491, 41.0826495 19.1273598)"
377991842,False,,residential,False,12.353,,"LINESTRING (41.0805287 19.127643, 41.0804211 19.1276878)"
377991841,False,,residential,False,114.80199999999999,,"LINESTRING (41.0805287 19.127643, 41.0809196 19.1278343, 41.081523 19.128069)"
377991841,False,,residential,True,143.324,,"LINESTRING (41.0805287 19.127643, 41.0804227 19.1275912, 41.0798815 19.1268199, 41.0797675 19.1265934)"
1063324576,False,,residential,False,74.81899999999999,,"LINESTRING (41.0805287 19.127643, 41.0807836 19.1274818, 41.0808694 19.1273373, 41.0809177 19.1271422, 41.0809129 19.1271258)"
377991842,False,,residential,False,75.916,,"LINESTRING (41.0764953 19.1292225, 41.0757761 19.1291561)"
377991842,False,,residential,True,49.432,,"LINESTRING (41.0764953 19.1292225, 41.0769607 19.129157)"
377991845,False,,residential,True,62.198,,"LINESTRING (41.0764953 19.1292225, 41.0764865 19.1297818)"
378091081,False,,residential,True,181.381,,"LINESTRING (41.0764953 19.1292225, 41.0763644 19.127596)"
377957051,True,طريق الملك فهد بن عبدالعزيز,tertiary,False,69.013,,"LINESTRING (41.0751196 19.1291741, 41.0751382 19.1297945)"
377991842,False,,residential,True,68.998,,"LINESTRING (41.0751196 19.1291741, 41.0757761 19.1291561)"
377991843,False,,residential,False,75.19,,"LINESTRING (41.074728 19.1276753, 41.0754417 19.1276246)"
377957051,True,طريق الملك فهد بن عبدالعزيز,tertiary,False,171.881,,"LINESTRING (41.074728 19.1276753, 41.0748486 19.1280307, 41.0751041 19.1290455, 41.0751196 19.1291741)"
377991843,False,,residential,False,96.987,,"LINESTRING (41.0754417 19.1276246, 41.0763644 19.127596)"
377991843,False,,residential,True,75.19,,"LINESTRING (41.0754417 19.1276246, 41.074728 19.1276753)"
378091080,False,,residential,True,173.881,,"LINESTRING (41.0754417 19.1276246, 41.0757761 19.1291561)"
377991843,False,,residential,False,58.886,,"LINESTRING (41.0763644 19.127596, 41.0768931 19.1274201)"
377991843,False,,residential,True,96.987,,"LINESTRING (41.0763644 19.127596, 41.0754417 19.1276246)"
378091081,False,,residential,False,181.381,,"LINESTRING (41.0763644 19.127596, 41.0764953 19.1292225)"
378091081,False,,residential,True,154.467,,"LINESTRING (41.0763644 19.127596, 41.0762579 19.1262105)"
377991841,False,,residential,True,50.165,,"LINESTRING (41.0797675 19.1265934, 41.0795626 19.1261859)"
377991843,False,,residential,True,20.915,,"LINESTRING (41.0797675 19.1265934, 41.0795759 19.1266445)"
377991841,False,,residential,False,143.324,,"LINESTRING (41.0797675 19.1265934, 41.0798815 19.1268199, 41.0804227 19.1275912, 41.0805287 19.127643)"
377935255,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,38.65,,"LINESTRING (41.0822311 19.1303061, 41.082339 19.1299738)"
377991846,False,,residential,False,95.15,,"LINESTRING (41.0775834 19.1263337, 41.0775863 19.1271894)"
377991846,False,,residential,True,35.604,,"LINESTRING (41.0775834 19.1263337, 41.0774592 19.1262499, 41.077274 19.126231)"
1063324569,False,,residential,False,92.557,,"LINESTRING (41.0775834 19.1263337, 41.0780156 19.1263135, 41.0780531 19.1261133, 41.0781942 19.125938)"
377991843,False,,residential,True,9.912,,"LINESTRING (41.0775863 19.1271894, 41.0774973 19.127219)"
377991846,False,,residential,True,95.15,,"LINESTRING (41.0775863 19.1271894, 41.0775834 19.1263337)"
377991843,False,,residential,False,104.08500000000001,,"LINESTRING (41.0775863 19.1271894, 41.0781956 19.1270127, 41.0785357 19.126922)"
377991846,False,,residential,True,39.358,,"LINESTRING (41.077274 19.126231, 41.0768996 19.1262184)"
377991847,False,,residential,False,65.325,,"LINESTRING (41.077274 19.126231, 41.0772299 19.125645)"
377991846,False,,residential,False,35.604,,"LINESTRING (41.077274 19.126231, 41.0774592 19.1262499, 41.0775834 19.1263337)"
377991847,False,,residential,False,133.648,,"LINESTRING (41.0772299 19.125645, 41.0771397 19.1244461)"
377991847,False,,residential,True,65.325,,"LINESTRING (41.0772299 19.125645, 41.077274 19.126231)"
377991848,False,,residential,False,92.174,,"LINESTRING (41.0772299 19.125645, 41.0781069 19.1256211)"
377991848,False,,residential,False,63.057,,"LINESTRING (41.0781069 19.1256211, 41.078705 19.1255735)"
377991848,False,,residential,True,92.174,,"LINESTRING (41.0781069 19.1256211, 41.0772299 19.125645)"
377991849,False,,residential,False,36.412,,"LINESTRING (41.0781069 19.1256211, 41.0781942 19.125938)"
1063328624,False,,residential,False,50.588,,"LINESTRING (41.0781069 19.1256211, 41.0780759 19.1251671)"
377991841,False,,residential,True,102.505,,"LINESTRING (41.0793083 19.1255423, 41.0790396 19.1246561)"
377991848,False,,residential,True,35.31,,"LINESTRING (41.0793083 19.1255423, 41.0789724 19.1255533)"
377991841,False,,residential,False,76.538,,"LINESTRING (41.0793083 19.1255423, 41.0794556 19.1259732, 41.0795626 19.1261859)"
1063324564,False,,residential,False,109.439,,"LINESTRING (41.0793083 19.1255423, 41.0799541 19.1254658, 41.0803339 19.1253786)"
377991843,False,,residential,False,113.553,,"LINESTRING (41.0785357 19.126922, 41.0795759 19.1266445)"
377991849,False,,residential,False,60.933,,"LINESTRING (41.0785357 19.126922, 41.0787174 19.1274424)"
377991843,False,,residential,True,104.08500000000001,,"LINESTRING (41.0785357 19.126922, 41.0781956 19.1270127, 41.0775863 19.1271894)"
