osmid,oneway,highway,reversed,length,geometry
112691870,True,tertiary,False,298.705,"LINESTRING (41.7651722 22.4334793, 41.762283 22.4331888)"
112691883,True,tertiary,False,21.62,"LINESTRING (41.7651722 22.4334793, 41.7652566 22.4333012)"
112691870,True,tertiary,False,10.441,"LINESTRING (41.7652732 22.4334894, 41.7651722 22.4334793)"
366251102,True,tertiary,False,129.778,"LINESTRING (41.7652732 22.4334894, 41.7652257 22.433782, 41.7649815 22.4346235)"
112691876,True,tertiary,False,193.249,"LINESTRING (41.7649815 22.4346235, 41.7667994 22.4350673)"
366251102,True,tertiary,False,10.543,"LINESTRING (41.7649815 22.4346235, 41.764955 22.4347151)"
112691877,False,residential,False,107.543,"LINESTRING (41.7647322 22.4354827, 41.7657432 22.435732)"
366251102,True,tertiary,False,158.816,"LINESTRING (41.7647322 22.4354827, 41.7643446 22.4368653)"
922961708,False,residential,False,11.542,"LINESTRING (41.7647322 22.4354827, 41.7646261 22.4354487)"
366251102,True,tertiary,False,88.372,"LINESTRING (41.764955 22.4347151, 41.7647322 22.4354827)"
366251102,True,tertiary,False,20.996,"LINESTRING (41.7652566 22.4333012, 41.7652732 22.4334894)"
366251094,True,tertiary,False,213.492,"LINESTRING (41.7631928 22.4330837, 41.7652566 22.4333012)"
112691870,True,tertiary,False,93.411,"LINESTRING (41.7588401 22.4328252, 41.7579371 22.4327301)"
758720282,False,residential,False,19.211,"LINESTRING (41.7588401 22.4328252, 41.7588106 22.4329958)"
758720282,False,residential,False,29.401,"LINESTRING (41.7586227 22.4347437, 41.7586253 22.4350081)"
758720282,False,residential,True,82.458,"LINESTRING (41.7586227 22.4347437, 41.7586479 22.4340025)"
758720304,False,residential,False,99.364,"LINESTRING (41.7586227 22.4347437, 41.7595889 22.4347745)"
758720304,False,residential,True,43.478,"LINESTRING (41.7586227 22.4347437, 41.7581998 22.4347341)"
758720282,False,residential,True,29.401,"LINESTRING (41.7586253 22.4350081, 41.7586227 22.4347437)"
758720781,False,residential,False,99.118,"LINESTRING (41.7586253 22.4350081, 41.7595889 22.4350439)"
758720282,False,residential,False,127.848,"LINESTRING (41.7586253 22.4350081, 41.7586297 22.4354681, 41.7586533 22.4361575)"
758720297,False,residential,True,61.392,"LINESTRING (41.7602975 22.4350842, 41.7603097 22.4345322)"
758720781,False,residential,True,72.967,"LINESTRING (41.7602975 22.4350842, 41.7595889 22.4350439)"
758720297,False,residential,False,120.054,"LINESTRING (41.7602975 22.4350842, 41.7602932 22.4352773, 41.7602089 22.4361604)"
758720297,False,residential,False,160.53199999999998,"LINESTRING (41.7600012 22.4381145, 41.7598852 22.4393401, 41.7598825 22.4395535)"
758720297,False,residential,True,113.301,"LINESTRING (41.7600012 22.4381145, 41.7600309 22.4378003, 41.7601071 22.4371003)"
