osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction
34145398,False,2,Николе Пашића,tertiary,40,False,97.074,"LINESTRING (22.1010778 44.0740887, 22.1010813 44.0741701, 22.1011148 44.0749613)",
454856825,False,,Трећи октобар,residential,,False,50.93,"LINESTRING (22.0967263 44.0747443, 22.0966258 44.074292)",
454856825,False,,Трећи октобар,residential,,True,24.759,"LINESTRING (22.0967263 44.0747443, 22.0967993 44.0749607)",
36830032,False,,,residential,,True,24.674999999999997,"LINESTRING (22.0967263 44.0747443, 22.0966609 44.074793, 22.0965889 44.0748234, 22.0964586 44.0748126)",
448149634,False,,Бошка Бухе,residential,,False,26.525,"LINESTRING (22.0967993 44.0749607, 22.0965125 44.0748405)",
454856825,False,,Трећи октобар,residential,,False,24.759,"LINESTRING (22.0967993 44.0749607, 22.0967263 44.0747443)",
34386148,False,,Бошка Бухе,residential,,True,85.803,"LINESTRING (22.0967993 44.0749607, 22.097048 44.0750943, 22.0970932 44.0751099, 22.0971932 44.0751446, 22.0977779 44.0752485)",
35558170,False,,Ђуре Ђаковића,residential,,True,580.8560000000002,"LINESTRING (22.0967993 44.0749607, 22.0968405 44.075184, 22.0968694 44.0754308, 22.0968652 44.0755074, 22.0968395 44.0756295, 22.0967446 44.0758867, 22.0966355 44.0761395, 22.0965754 44.0762861, 22.0965248 44.0764004, 22.0963898 44.0766225, 22.0962088 44.0768443, 22.0959571 44.077067, 22.0955665 44.0773508, 22.0952171 44.077617, 22.0950124 44.0777799, 22.0948813 44.0779426, 22.0948401 44.0780247, 22.0948204 44.0781675, 22.0948312 44.0782855, 22.0948753 44.0783841, 22.0949556 44.0784533, 22.0950399 44.0784981, 22.0951609 44.0785256, 22.0953086 44.0785208, 22.0954131 44.0785088, 22.0956319 44.0784806, 22.0958146 44.0784591, 22.0960442 44.0784467, 22.0961343 44.0784559, 22.0962715 44.0784751, 22.0963018 44.0784821, 22.0964189 44.0785058, 22.0965191 44.0785269, 22.0965764 44.0785444, 22.0966215 44.0785728)",
447689734,False,,,residential,,True,45.392,"LINESTRING (22.0977779 44.0752485, 22.0979131 44.074852)",
34386148,False,,Бошка Бухе,residential,,False,85.803,"LINESTRING (22.0977779 44.0752485, 22.0971932 44.0751446, 22.0970932 44.0751099, 22.097048 44.0750943, 22.0967993 44.0749607)",
34386148,False,,Бошка Бухе,residential,,True,54.510999999999996,"LINESTRING (22.0977779 44.0752485, 22.097967 44.0752842, 22.0981744 44.0753246, 22.0983531 44.0753582, 22.0984375 44.0753741)",
448149634,False,,Бошка Бухе,residential,,False,5.307,"LINESTRING (22.0965125 44.0748405, 22.0964586 44.0748126)",
448149634,False,,Бошка Бухе,residential,,True,26.525,"LINESTRING (22.0965125 44.0748405, 22.0967993 44.0749607)",
36863661,False,,Албанске споменице,residential,,False,249.392,"LINESTRING (22.0965125 44.0748405, 22.0964308 44.074866, 22.0963606 44.0749998, 22.0959143 44.0762467, 22.0958582 44.0763569, 22.0957354 44.0764282, 22.0956924 44.0764697, 22.0956489 44.0765344, 22.0956092 44.0766267, 22.0955966 44.0767292, 22.0955664 44.0769225)",
448149634,False,,Бошка Бухе,residential,,True,5.307,"LINESTRING (22.0964586 44.0748126, 22.0965125 44.0748405)",
36830032,False,,,residential,,False,24.674999999999997,"LINESTRING (22.0964586 44.0748126, 22.0965889 44.0748234, 22.0966609 44.074793, 22.0967263 44.0747443)",
448149634,False,,Бошка Бухе,residential,,False,54.607,"LINESTRING (22.0964586 44.0748126, 22.0963524 44.0747447, 22.0962007 44.0745652, 22.096084 44.0744071)",
34386148,False,,Бошка Бухе,residential,,False,54.510999999999996,"LINESTRING (22.0984375 44.0753741, 22.0983531 44.0753582, 22.0981744 44.0753246, 22.097967 44.0752842, 22.0977779 44.0752485)",
"[448149633, 454867610, 449752607]",False,4,Моше Пијаде,tertiary,,False,263.647,"LINESTRING (22.0984375 44.0753741, 22.0983781 44.0755467, 22.0983069 44.0757432, 22.0983016 44.0757561, 22.0981711 44.0761195, 22.0981198 44.0762729, 22.098097 44.0763476, 22.0980838 44.0764256, 22.0980817 44.07654, 22.0980946 44.0766528, 22.0981115 44.0767366, 22.0981923 44.0768958, 22.0982463 44.076983, 22.0982996 44.0770429, 22.0983786 44.0771307, 22.0985169 44.0772659, 22.0986451 44.0773842, 22.0987635 44.0774907, 22.098835 44.0775544)",
449752606,False,4,Моше Пијаде,tertiary,,True,180.494,"LINESTRING (22.0984375 44.0753741, 22.0988732 44.074202, 22.0989019 44.0741281, 22.0990269 44.0738071)",
34562852,False,,Војске Југославије,residential,,True,105.112,"LINESTRING (22.095028 44.0796481, 22.0950462 44.0798666, 22.0950785 44.0802533, 22.0951199 44.080591)",
"[454867608, 140681445]",False,,Шистекова,unclassified,,False,137.029,"LINESTRING (22.095028 44.0796481, 22.0935611 44.0797088, 22.0933157 44.0797222)",
140681445,False,,Шистекова,unclassified,,True,86.21799999999999,"LINESTRING (22.095028 44.0796481, 22.0956102 44.0796226, 22.0961055 44.0796027)",
140681445,False,,Шистекова,unclassified,,True,38.369,"LINESTRING (22.0961055 44.0796027, 22.096585 44.0795823)",
34562853,True,,Иве Лоле Рибара,residential,,False,70.795,"LINESTRING (22.0961055 44.0796027, 22.0961223 44.0799542, 22.0961311 44.0802391)",
140681445,False,,Шистекова,unclassified,,False,86.21799999999999,"LINESTRING (22.0961055 44.0796027, 22.0956102 44.0796226, 22.095028 44.0796481)",
35558164,False,,Иве Лоле Рибара,residential,,True,38.957,"LINESTRING (22.0961649 44.0809065, 22.0961433 44.0805565)",
