osmid,highway,oneway,reversed,length,name,geometry,lanes,junction,bridge,maxspeed
1096367276,tertiary,False,False,32.976,,"LINESTRING (21.1008129 44.1810672, 21.1012045 44.1809719)",,,,
1096367275,tertiary,False,True,120.108,Станоја Главаша,"LINESTRING (21.1008129 44.1810672, 21.1007219 44.1810864, 21.1005941 44.1811002, 21.1005005 44.1811048, 21.0996526 44.1811471, 21.0994853 44.1811672, 21.0993193 44.1811888)",,,,
1096367277,residential,False,False,30.29,Станоја Главаша,"LINESTRING (21.1008129 44.1810672, 21.1009476 44.1810822, 21.1010579 44.1811058, 21.1011722 44.1811478)",,,,
234980895,motorway_link,False,False,11.857,,"LINESTRING (21.1100043 44.1842009, 21.1099658 44.1840979)",2,,,
"[724350688, 234980879, 694701461, 724350687]",motorway_link,True,False,194.375,,"LINESTRING (21.1100043 44.1842009, 21.1100906 44.1843743, 21.1101388 44.1845083, 21.110165 44.1845828, 21.1101857 44.1846384, 21.1102015 44.1846793, 21.1102314 44.1847459, 21.1102494 44.1847777, 21.1102652 44.1848055, 21.1102809 44.1848305, 21.110297 44.1848538, 21.1103291 44.1848959, 21.1103573 44.1849225, 21.1103896 44.1849448, 21.1104194 44.184961, 21.110453 44.1849739, 21.110485 44.184984, 21.1105193 44.1849905, 21.1105582 44.1849942, 21.110597 44.1849937, 21.1106382 44.1849898, 21.1106801 44.1849826, 21.1107174 44.1849715, 21.1107516 44.1849566, 21.1107822 44.18494, 21.1108098 44.1849167, 21.1108313 44.1848957, 21.1108498 44.184873, 21.1108665 44.1848452, 21.1108756 44.1848081, 21.1108788 44.1847742, 21.1108783 44.1847188, 21.1108736 44.184672, 21.1108583 44.1845757, 21.1108266 44.1843198)",1,,,
234980890,tertiary,True,False,180.97299999999998,Његошева,"LINESTRING (21.1066264 44.1841935, 21.1080224 44.1838766, 21.108704 44.1837375, 21.1087974 44.1837197)",2,,,
835792942,residential,False,True,21.958,,"LINESTRING (21.1066264 44.1841935, 21.1065994 44.1841512, 21.1065508 44.1841079, 21.106457 44.1840403)",,,,
234980880,tertiary,True,False,23.436999999999998,,"LINESTRING (21.1061941 44.1842925, 21.1062412 44.1843023, 21.1062814 44.1843223, 21.1063105 44.1843505, 21.1063255 44.184384, 21.1063247 44.1844191, 21.1063082 44.1844522)",,roundabout,,
234980890,tertiary,True,False,36.186,Његошева,"LINESTRING (21.1061941 44.1842925, 21.1064913 44.1842246, 21.1066264 44.1841935)",2,,,
234980878,tertiary,False,False,92.973,Иве Андрића,"LINESTRING (21.1060756 44.1843195, 21.1052927 44.1836999)",,,,
234980880,tertiary,True,False,10.182,,"LINESTRING (21.1060756 44.1843195, 21.106111 44.1843025, 21.1061516 44.1842933, 21.1061941 44.1842925)",,roundabout,,
234980880,tertiary,True,False,7.977,,"LINESTRING (21.1063082 44.1844522, 21.106277 44.1844802, 21.1062347 44.1844994)",,roundabout,,
234980880,tertiary,True,False,19.023999999999997,,"LINESTRING (21.1061334 44.1845033, 21.1060971 44.1844916, 21.1060663 44.1844735, 21.1060433 44.1844503, 21.1060295 44.1844235, 21.1060259 44.1843951, 21.1060329 44.1843671)",,roundabout,,
234984595,tertiary,False,True,284.402,Његошева,"LINESTRING (21.1061334 44.1845033, 21.1061197 44.1845316, 21.1060994 44.1845538, 21.106067 44.1845754, 21.1060199 44.1846003, 21.1057608 44.1847375, 21.1053732 44.1849531, 21.1048225 44.1852401, 21.1046279 44.1853575, 21.1044138 44.1854867, 21.1042726 44.1855991, 21.1041661 44.1856952, 21.1040736 44.1858089, 21.1037645 44.1862348, 21.103715 44.1863151)",,,,
234984615,unclassified,False,False,25.292,,"LINESTRING (21.103841 44.1815853, 21.1038639 44.1816453, 21.1038754 44.1817257, 21.1038689 44.18181)",,,,
234984623,residential,False,False,106.076,Ратника Солунског фронта,"LINESTRING (21.1082592 44.1816767, 21.1073068 44.1823427)",,,,
234984636,residential,False,False,234.87599999999998,Радничка,"LINESTRING (21.1082592 44.1816767, 21.1087884 44.1828305, 21.1088277 44.183017, 21.1087582 44.1833293, 21.1087521 44.1834963, 21.1087974 44.1837197)",,,,
"[1096367276, 234980884, 234980878]",tertiary,False,"[False, True]",289.725,Иве Андрића,"LINESTRING (21.1038689 44.18181, 21.1036997 44.1816086, 21.1031965 44.1808738, 21.1031348 44.180795, 21.1030832 44.1807557, 21.10303 44.1807272, 21.1029633 44.1807005, 21.1028923 44.1806848, 21.1027909 44.1806799, 21.1026175 44.1806958, 21.1020699 44.180774, 21.1015178 44.1808768, 21.101343 44.1809273, 21.1012045 44.1809719)",,,yes,
234980878,tertiary,False,True,205.086,Иве Андрића,"LINESTRING (21.1038689 44.18181, 21.1040006 44.1819742, 21.1041013 44.1821552, 21.1041537 44.1823333, 21.1042241 44.1826621, 21.1042618 44.1827671, 21.10431 44.1828497, 21.104453 44.1830191, 21.1044881 44.1830479, 21.1049572 44.1834328)",,,,
234984615,unclassified,False,True,25.292,,"LINESTRING (21.1038689 44.18181, 21.1038754 44.1817257, 21.1038639 44.1816453, 21.103841 44.1815853)",,,,
"[234984616, 234995338]",residential,False,False,213.73800000000003,"['Краља Петра првог', 'Кнеза Милоша']","LINESTRING (21.1018116 44.1822179, 21.1018671 44.1822591, 21.1020984 44.1824218, 21.1025173 44.1827304, 21.1026908 44.1828676, 21.1027308 44.1829194, 21.1027646 44.182978, 21.1029393 44.1836719, 21.1029489 44.1838607)",,,,
234995338,residential,False,True,60.653,Краља Петра првог,"LINESTRING (21.1018116 44.1822179, 21.1017582 44.1822338, 21.1017025 44.182241, 21.1016425 44.182242, 21.1010566 44.182229)",,,,
1096367277,residential,False,True,131.156,Станоја Главаша,"LINESTRING (21.1018116 44.1822179, 21.1017558 44.1821386, 21.1017071 44.1820058, 21.1015853 44.1816426, 21.1014587 44.181447, 21.1013417 44.1813122, 21.1012528 44.1812098, 21.1011722 44.1811478)",,,,
234984623,residential,False,True,106.076,Ратника Солунског фронта,"LINESTRING (21.1073068 44.1823427, 21.1082592 44.1816767)",,,,
234984623,residential,False,False,180.21800000000002,Ратника Солунског фронта,"LINESTRING (21.1073068 44.1823427, 21.1064356 44.1829519, 21.105665 44.1834562)",,,,
234980878,tertiary,False,True,92.973,Иве Андрића,"LINESTRING (21.1052927 44.1836999, 21.1060756 44.1843195)",,,,
234984623,residential,False,True,40.195,Ратника Солунског фронта,"LINESTRING (21.1052927 44.1836999, 21.105665 44.1834562)",,,,
234980878,tertiary,False,False,39.974000000000004,Иве Андрића,"LINESTRING (21.1052927 44.1836999, 21.1050286 44.1834914, 21.1049572 44.1834328)",,,,
234984612,residential,False,False,39.601,,"LINESTRING (21.1052927 44.1836999, 21.1051782 44.1836965, 21.1050587 44.1836978, 21.1047963 44.1837035)",,,,
835792942,residential,False,True,90.591,,"LINESTRING (21.106457 44.1840403, 21.105665 44.1834562)",,,,
234984614,residential,False,True,164.028,Кнеза Михајла,"LINESTRING (21.106457 44.1840403, 21.1073838 44.1833909, 21.1074482 44.1833603, 21.107504 44.1833449, 21.1075426 44.1833188, 21.1076477 44.1831541, 21.1076499 44.1831034, 21.1075812 44.1829326)",,,,
835792942,residential,False,False,21.958,,"LINESTRING (21.106457 44.1840403, 21.1065508 44.1841079, 21.1065994 44.1841512, 21.1066264 44.1841935)",,,,
234984603,residential,False,False,121.60300000000001,Цара Лазара,"LINESTRING (21.106346 44.1848467, 21.1063485 44.1848849, 21.1063434 44.1849182, 21.1063308 44.1849479, 21.1063164 44.1849763, 21.1060901 44.1852098, 21.105735 44.1856669, 21.1056417 44.1858045)",,,,
234984603,residential,False,True,39.696,Цара Лазара,"LINESTRING (21.106346 44.1848467, 21.1063291 44.1847528, 21.1062868 44.1846321, 21.1062347 44.1844994)",,,,
1137938106,unclassified,False,False,142.55900000000003,,"LINESTRING (21.106346 44.1848467, 21.1064185 44.184849, 21.1064963 44.1848646, 21.1065804 44.1848882, 21.1066616 44.1849232, 21.1067122 44.1849592, 21.1067439 44.184993, 21.1068086 44.1851239, 21.1071213 44.1857305, 21.1071614 44.1858211, 21.1071737 44.1858874)",2,,,
234984619,residential,False,False,22.947,Кнеза Михајла,"LINESTRING (21.1033326 44.1850155, 21.1031931 44.185196)",,,,
234984619,residential,False,True,239.24300000000005,Кнеза Михајла,"LINESTRING (21.1033326 44.1850155, 21.1037037 44.1847246, 21.1038141 44.1846497, 21.1039451 44.1846035, 21.1041391 44.1845591, 21.1043241 44.1845162, 21.1043855 44.1845112, 21.1044438 44.1845491, 21.1045487 44.1845394, 21.1047237 44.1845101, 21.1057044 44.1843945, 21.1057938 44.1843792, 21.1059005 44.1843627, 21.1059458 44.1843587, 21.105991 44.1843615, 21.1060329 44.1843671)",,,,
650009726,residential,False,False,115.18799999999999,,"LINESTRING (21.1033326 44.1850155, 21.1032336 44.1849821, 21.1032235 44.1849669, 21.1032176 44.1849494, 21.1032936 44.184243, 21.1032842 44.184029)",,,,
234984603,residential,False,False,191.05900000000003,Цара Лазара,"LINESTRING (21.1056417 44.1858045, 21.1054445 44.1861432, 21.1053925 44.1862317, 21.1053503 44.1862704, 21.1052633 44.1863298, 21.105123 44.1863886, 21.1050901 44.1863964, 21.1050445 44.1863976, 21.1047669 44.1863371, 21.1046082 44.1863094, 21.1045572 44.1863091, 21.1044524 44.1863115, 21.1043401 44.1863188, 21.1041745 44.1863516, 21.1040982 44.1863575, 21.1039842 44.186378, 21.1038767 44.1863816, 21.1037543 44.1863716)",,,,
234984603,residential,False,True,121.603,Цара Лазара,"LINESTRING (21.1056417 44.1858045, 21.105735 44.1856669, 21.1060901 44.1852098, 21.1063164 44.1849763, 21.1063308 44.1849479, 21.1063434 44.1849182, 21.1063485 44.1848849, 21.106346 44.1848467)",,,,
234984609,residential,False,False,364.149,Николе Пашића,"LINESTRING (21.1056417 44.1858045, 21.1058668 44.1859361, 21.1059994 44.1859965, 21.1061202 44.1860414, 21.106252 44.1860777, 21.106394 44.1861104, 21.1064455 44.1861232, 21.1064852 44.1861383, 21.1065218 44.1861804, 21.1065479 44.1862452, 21.1065539 44.186301, 21.1065523 44.1863653, 21.1064236 44.1869026, 21.1064002 44.1869804, 21.1063586 44.1870705, 21.1062884 44.1871728, 21.1062628 44.1872063, 21.1062256 44.1872376, 21.106183 44.1872575, 21.1061169 44.1872696, 21.1058254 44.1872773, 21.1057115 44.1872865, 21.1056199 44.1872972, 21.1055646 44.1873124, 21.105505 44.1873346, 21.1054443 44.1873758, 21.1053868 44.1874277, 21.1053315 44.1874895, 21.1051824 44.1877532, 21.1051501 44.187803, 21.1050937 44.187864, 21.1050312 44.1879071, 21.1049715 44.1879324, 21.104887 44.1879603, 21.1047518 44.1879912)",,,,
234984595,tertiary,False,False,284.402,Његошева,"LINESTRING (21.103715 44.1863151, 21.1037645 44.1862348, 21.1040736 44.1858089, 21.1041661 44.1856952, 21.1042726 44.1855991, 21.1044138 44.1854867, 21.1046279 44.1853575, 21.1048225 44.1852401, 21.1053732 44.1849531, 21.1057608 44.1847375, 21.1060199 44.1846003, 21.106067 44.1845754, 21.1060994 44.1845538, 21.1061197 44.1845316, 21.1061334 44.1845033)",,,,
234984610,tertiary,False,False,7.048,,"LINESTRING (21.103715 44.1863151, 21.1037309 44.1863442, 21.1037543 44.1863716)",,,,
"[1075602760, 234984602]",residential,False,True,233.509,Његошева,"LINESTRING (21.103715 44.1863151, 21.1036393 44.1863565, 21.1027634 44.1867605, 21.1027313 44.1867899, 21.1027082 44.1868257, 21.1026591 44.1869837, 21.1025457 44.1873774, 21.1023249 44.1880019)",,,,
"[234984616, 835792941]",residential,False,False,192.42699999999996,"['Кнеза Милоша', 'Солунска']","LINESTRING (21.1022346 44.1864382, 21.1022124 44.1865169, 21.1022186 44.1865969, 21.1022481 44.1866801, 21.1022852 44.1867691, 21.1023095 44.1868274, 21.1023226 44.1868776, 21.1023236 44.1869255, 21.1023101 44.1869932, 21.1022773 44.1870444, 21.1022524 44.1870903, 21.1022025 44.1871376, 21.101955 44.1873028, 21.1017341 44.1875248, 21.101369 44.1879308)",,,,
234984616,residential,False,True,144.342,Кнеза Милоша,"LINESTRING (21.1022346 44.1864382, 21.1022626 44.1863911, 21.1023053 44.1863282, 21.1024669 44.1862005, 21.1025545 44.1860748, 21.1026325 44.1858792, 21.1028078 44.1853728, 21.1028369 44.1852356)",,,,
234995321,residential,False,True,53.391999999999996,Патријарха Димитрија,"LINESTRING (21.1022346 44.1864382, 21.1021118 44.1864152, 21.1020501 44.1864095, 21.1019589 44.1864104, 21.1018356 44.186421, 21.1015709 44.1864313)",,,,
234984610,tertiary,False,False,9.954,,"LINESTRING (21.1047011 44.1879094, 21.1047518 44.1879912)",,,,
234984610,tertiary,False,True,186.925,,"LINESTRING (21.1047011 44.1879094, 21.104381 44.1874055, 21.1037543 44.1863716)",,,,
234984634,residential,False,True,199.762,Николе Пашића,"LINESTRING (21.1047011 44.1879094, 21.1042997 44.1879174, 21.1039973 44.1879304, 21.1038068 44.1879846, 21.1035588 44.1881299, 21.1033834 44.1881624, 21.1028844 44.1881472, 21.1023249 44.1880019)",,,,
234984610,tertiary,False,True,9.954,,"LINESTRING (21.1047518 44.1879912, 21.1047011 44.1879094)",,,,
234984609,residential,False,True,364.14900000000006,Николе Пашића,"LINESTRING (21.1047518 44.1879912, 21.104887 44.1879603, 21.1049715 44.1879324, 21.1050312 44.1879071, 21.1050937 44.187864, 21.1051501 44.187803, 21.1051824 44.1877532, 21.1053315 44.1874895, 21.1053868 44.1874277, 21.1054443 44.1873758, 21.105505 44.1873346, 21.1055646 44.1873124, 21.1056199 44.1872972, 21.1057115 44.1872865, 21.1058254 44.1872773, 21.1061169 44.1872696, 21.106183 44.1872575, 21.1062256 44.1872376, 21.1062628 44.1872063, 21.1062884 44.1871728, 21.1063586 44.1870705, 21.1064002 44.1869804, 21.1064236 44.1869026, 21.1065523 44.1863653, 21.1065539 44.186301, 21.1065479 44.1862452, 21.1065218 44.1861804, 21.1064852 44.1861383, 21.1064455 44.1861232, 21.106394 44.1861104, 21.106252 44.1860777, 21.1061202 44.1860414, 21.1059994 44.1859965, 21.1058668 44.1859361, 21.1056417 44.1858045)",,,,
234984602,residential,False,True,95.814,,"LINESTRING (21.1023249 44.1880019, 21.1019721 44.1888256)",,,,
"[1075602760, 234984602]",residential,False,False,233.50900000000001,Његошева,"LINESTRING (21.1023249 44.1880019, 21.1025457 44.1873774, 21.1026591 44.1869837, 21.1027082 44.1868257, 21.1027313 44.1867899, 21.1027634 44.1867605, 21.1036393 44.1863565, 21.103715 44.1863151)",,,,
234984634,residential,False,False,199.762,Николе Пашића,"LINESTRING (21.1023249 44.1880019, 21.1028844 44.1881472, 21.1033834 44.1881624, 21.1035588 44.1881299, 21.1038068 44.1879846, 21.1039973 44.1879304, 21.1042997 44.1879174, 21.1047011 44.1879094)",,,,
234984602,residential,False,False,95.814,,"LINESTRING (21.1019721 44.1888256, 21.1023249 44.1880019)",,,,
234984596,residential,False,False,241.32899999999998,Змај Јовина,"LINESTRING (21.1019721 44.1888256, 21.1022615 44.1889392, 21.1023308 44.1889764, 21.1023739 44.1890006, 21.102406 44.1890164, 21.1024525 44.1890273, 21.102515 44.1890334, 21.1026316 44.1890358, 21.1027271 44.1890212, 21.103047 44.1889403, 21.1030952 44.1889324, 21.1031349 44.1889354, 21.1031991 44.1889469, 21.1037205 44.1890636, 21.1038405 44.1890982, 21.1039241 44.1891333, 21.1039799 44.1891678, 21.1040095 44.1892012, 21.1040275 44.1892327, 21.1040314 44.1892793, 21.1040212 44.1893322, 21.1040135 44.1894065, 21.1040169 44.1894356, 21.1040262 44.1894634, 21.1040482 44.1894889, 21.1043005 44.1896935)",,,,
234984602,residential,False,True,128.217,,"LINESTRING (21.1019721 44.1888256, 21.1018047 44.1891534, 21.1014559 44.1899175)",,,,
