osmid,name,highway,oneway,reversed,length,geometry,access,bridge
284776386,Lunsar-Makeni Highway,primary,False,False,43.38,"LINESTRING (-12.5461962 8.6858661, -12.5458467 8.6860473)",,
284776386,Lunsar-Makeni Highway,primary,False,True,63.396,"LINESTRING (-12.5461962 8.6858661, -12.546726 8.6856408)",,
797125304,,residential,False,False,47.169,"LINESTRING (-12.5461962 8.6858661, -12.5461346 8.685821, -12.5460823 8.6858131, -12.5459938 8.6858343, -12.5458106 8.6859327)",,
284776385,Lunsar-Makeni Highway,primary,False,True,26.059,"LINESTRING (-12.5427815 8.6877813, -12.542994 8.6876774)",,
284776385,Lunsar-Makeni Highway,primary,False,False,131.339,"LINESTRING (-12.5427815 8.6877813, -12.5420335 8.6882206, -12.5417582 8.688391)",,
1097976789,,tertiary,False,True,48.121,"LINESTRING (-12.5427815 8.6877813, -12.542724 8.6876946, -12.5425659 8.6874565, -12.5425413 8.6874195)",,
186516006,,residential,False,False,85.387,"LINESTRING (-12.5393053 8.686799, -12.5391984 8.6860384)",,
186516013,,tertiary,False,False,45.439,"LINESTRING (-12.5393053 8.686799, -12.5397113 8.6868759)",,
186547004,,residential,False,False,143.08900000000003,"LINESTRING (-12.5425413 8.6874195, -12.54279 8.6874336, -12.5428201 8.6874298, -12.5428475 8.6874145, -12.5428717 8.687388, -12.5428811 8.6873509, -12.5428811 8.6872959, -12.5428779 8.6871413, -12.5428845 8.6870571, -12.5428912 8.6869736, -12.5428946 8.6868676, -12.5428785 8.6867562, -12.5428544 8.6866687, -12.5427469 8.6864779)",,
1097976788,,tertiary,False,True,221.852,"LINESTRING (-12.5425413 8.6874195, -12.5421873 8.6873771, -12.5417903 8.6873174, -12.5409306 8.6871345, -12.5405585 8.6870546)",,
1097976789,,tertiary,False,False,48.121,"LINESTRING (-12.5425413 8.6874195, -12.5425659 8.6874565, -12.542724 8.6876946, -12.5427815 8.6877813)",,
186516551,,residential,False,False,53.0,"LINESTRING (-12.5395158 8.6840548, -12.5394951 8.6835786)",,
186516006,,residential,False,True,67.542,"LINESTRING (-12.5395158 8.6840548, -12.5395645 8.6841466, -12.5396016 8.6842457, -12.5396517 8.6843879, -12.53967 8.6845069, -12.5396506 8.6846326)",,
186516551,,residential,False,True,90.318,"LINESTRING (-12.5395265 8.6827688, -12.5395216 8.6829283, -12.5395001 8.6830356, -12.5394889 8.6833097, -12.5394951 8.6835786)",,
186544558,,residential,False,False,102.76599999999999,"LINESTRING (-12.5392815 8.6898087, -12.5394559 8.6905923, -12.5394838 8.690711)",,
284776385,Lunsar-Makeni Highway,primary,False,True,77.44200000000001,"LINESTRING (-12.5392815 8.6898087, -12.5394616 8.6897064, -12.5398293 8.6894974, -12.5398923 8.6894616)",,
186544558,,residential,False,False,28.67,"LINESTRING (-12.5394838 8.690711, -12.5395105 8.6907993, -12.5395382 8.6908606, -12.5395757 8.6909519)",,
186544558,,residential,False,True,102.76599999999999,"LINESTRING (-12.5394838 8.690711, -12.5394559 8.6905923, -12.5392815 8.6898087)",,
800826529,,residential,False,True,118.52900000000001,"LINESTRING (-12.5394838 8.690711, -12.5396799 8.6906612, -12.5396986 8.6906307, -12.5397067 8.6905909, -12.5397013 8.690457, -12.539712 8.6904292, -12.5397348 8.6904093, -12.5397992 8.6903854, -12.5398663 8.6903457, -12.5399843 8.6902622, -12.5401063 8.6901534, -12.5401394 8.6901275, -12.5402209 8.6900636)",,
284776386,Lunsar-Makeni Highway,primary,False,False,18.011,"LINESTRING (-12.5468803 8.6855863, -12.546726 8.6856408)",,
797125340,,residential,False,True,37.129999999999995,"LINESTRING (-12.5468803 8.6855863, -12.546881 8.685456, -12.5468941 8.6852528)",,
284776386,Lunsar-Makeni Highway,primary,False,False,53.75,"LINESTRING (-12.5451314 8.6864454, -12.5447107 8.6866918)",,
284776386,Lunsar-Makeni Highway,primary,False,True,90.255,"LINESTRING (-12.5451314 8.6864454, -12.5455914 8.686179, -12.5458467 8.6860473)",,
797125303,,residential,False,False,31.241,"LINESTRING (-12.5451314 8.6864454, -12.5451274 8.6863844, -12.5451569 8.6863128, -12.5452342 8.6861925)",,
186545062,,residential,False,True,148.492,"LINESTRING (-12.545436 8.6842448, -12.5455245 8.684209, -12.545786 8.6840969, -12.5459321 8.6839743, -12.5460543 8.6838158, -12.5461977 8.6836447, -12.5462984 8.6835361, -12.5464551 8.6834082)",,
797125322,,residential,False,False,63.194,"LINESTRING (-12.545436 8.6842448, -12.5453393 8.684262, -12.5452226 8.6842924, -12.5451274 8.6843375, -12.545004 8.6844025, -12.5449062 8.6844535)",,
