osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,width
661978289,2,Námestie Svätej Trojice,residential,50,False,False,22.804,,"LINESTRING (17.5767561 47.8910294, 17.5765238 47.8911628)",,,
1093578325,,Hlavná,secondary,50,False,False,20.633000000000003,506,"LINESTRING (17.5767561 47.8910294, 17.576718 47.8911179, 17.5766945 47.89121)",,,
4869487,2,Továrenská,secondary,,False,False,209.46099999999998,507,"LINESTRING (17.5839243 47.8965907, 17.5839107 47.8967025, 17.5838629 47.8969463, 17.5836462 47.8979985, 17.5836215 47.8981699, 17.5836356 47.8983219, 17.5836745 47.8984584)",,,
30879504,,Pastuchovská cesta,tertiary,50,False,False,62.949000000000005,1427,"LINESTRING (17.5839243 47.8965907, 17.5840697 47.8966181, 17.5842478 47.8967007, 17.5845468 47.8967944, 17.5846929 47.8968034)",,,
95635938,2,Športová,secondary,50,False,True,71.583,507,"LINESTRING (17.5839243 47.8965907, 17.5838958 47.8964768, 17.5838399 47.8963732, 17.5837984 47.8963261, 17.5837427 47.8962731, 17.5836957 47.8962356, 17.5836259 47.8961797, 17.5834356 47.8960575)",,,
"[32854266, 1193400575]",2,Námestie Svätej Trojice,residential,50,False,True,112.724,,"LINESTRING (17.5751857 47.8915355, 17.575474 47.8915111, 17.5761822 47.8913999, 17.5763439 47.8913102, 17.5765238 47.8911628)",,,
32854271,,Námestie Svätej Trojice,tertiary,50,False,False,39.525999999999996,1421,"LINESTRING (17.5751857 47.8915355, 17.5753482 47.8917311, 17.5754451 47.8918455)",,,
632369824,1,,secondary,50,True,False,6.241,506,"LINESTRING (17.5764526 47.8923185, 17.5764797 47.8923021, 17.5765258 47.8922953)",roundabout,,
172945528,,Poľná,residential,,False,True,66.881,,"LINESTRING (17.5798016 47.8947548, 17.5795384 47.8953298)",,,
172945556,,Mlynársky Rad,residential,,False,True,28.288,,"LINESTRING (17.5798016 47.8947548, 17.5801151 47.8946115)",,,
172945556,,Mlynársky Rad,residential,,False,False,61.119,,"LINESTRING (17.5798016 47.8947548, 17.579344 47.8948563, 17.5790115 47.8948962)",,,
37674455,,Novomestská,residential,,False,False,11.411,,"LINESTRING (17.5760819 47.8973367, 17.5761977 47.8974038)",,,
37674455,,Novomestská,residential,,False,True,207.131,,"LINESTRING (17.5760819 47.8973367, 17.5740398 47.8962307, 17.5739206 47.8961662)",,,
172945547,,Pasienky,residential,,False,False,228.338,,"LINESTRING (17.5760819 47.8973367, 17.5750417 47.8976736, 17.5740351 47.8980512, 17.5733843 47.8983067)",,,
95635938,2,Športová,secondary,50,False,False,64.705,507,"LINESTRING (17.5827994 47.8956617, 17.5834356 47.8960575)",,,
