osmid,name,highway,oneway,reversed,length,geometry,ref
254298195,Calle de San Miguel,residential,False,True,55.967000000000006,"LINESTRING (-2.8689192 40.7586568, -2.8689822 40.7586708, -2.869097 40.7587168, -2.8692424 40.758763, -2.8693596 40.7587788, -2.8694706 40.7587623, -2.8695457 40.7587434)",
338282059,Avenida de la Constitución,secondary,False,False,120.524,"LINESTRING (-2.8689192 40.7586568, -2.868993 40.7587177, -2.8690365 40.7587578, -2.8690742 40.7588209, -2.8690995 40.7588773, -2.8691112 40.7589245, -2.8691253 40.7590127, -2.8691983 40.7596941)",CM-2011
338282059,Avenida de la Constitución,secondary,False,True,82.10300000000001,"LINESTRING (-2.8689192 40.7586568, -2.8688643 40.7586116, -2.8687476 40.758504, -2.8686816 40.7584637, -2.8686321 40.758441, -2.8685777 40.7584208, -2.8684847 40.7583948, -2.8683744 40.7583808, -2.8680806 40.7583558)",CM-2011
338282059,Avenida de la Constitución,secondary,False,False,12.304,"LINESTRING (-2.8691468 40.7611881, -2.869077 40.7612853)",CM-2011
254298182,Calle del Rubio,residential,False,False,39.738,"LINESTRING (-2.8691468 40.7611881, -2.8689075 40.7610765, -2.8687346 40.7610154)",
254298206,Calle Reja Dorada,residential,False,True,35.062,"LINESTRING (-2.8691468 40.7611881, -2.8693937 40.7612778, -2.8695181 40.7613304)",
338282059,Avenida de la Constitución,secondary,False,True,42.038,"LINESTRING (-2.8691468 40.7611881, -2.8693113 40.7608941, -2.8693278 40.7608367)",CM-2011
338282059,Avenida de la Constitución,secondary,False,True,5.894,"LINESTRING (-2.8687539 40.7617268, -2.868787 40.7616801)",CM-2011
254298209,Calle Cantarranas,residential,False,True,42.135999999999996,"LINESTRING (-2.8687539 40.7617268, -2.8688938 40.7617885, -2.8689404 40.761813, -2.8691774 40.7619283)",
338282059,Avenida de la Constitución,secondary,False,False,41.562,"LINESTRING (-2.8687539 40.7617268, -2.8686954 40.76181, -2.8685835 40.7619947, -2.8685731 40.762036, -2.8685795 40.7620699)",CM-2011
482036534,Travesía de Madrid,residential,False,True,24.031,"LINESTRING (-2.8709063 40.7634843, -2.8711862 40.7635263)",
950756688,Paseo de María Cristina,secondary,False,False,150.341,"LINESTRING (-2.8709063 40.7634843, -2.8704722 40.7631146, -2.870191 40.7628775, -2.8700609 40.7627963, -2.8697466 40.7626295, -2.86961 40.7625683)",CM-2011
494280268,,residential,False,False,33.443,"LINESTRING (-2.8694651 40.7624981, -2.8693443 40.7627846)",
950756688,Paseo de María Cristina,secondary,False,False,16.455,"LINESTRING (-2.8694651 40.7624981, -2.8693094 40.7624087)",CM-2011
950756688,Paseo de María Cristina,secondary,False,True,14.487,"LINESTRING (-2.8694651 40.7624981, -2.86961 40.7625683)",CM-2011
32748834,,secondary,False,True,7.379,"LINESTRING (-2.8685 40.7620978, -2.8685795 40.7620699)",CM-2005
