osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,tunnel
43734964,Calle Santiago Apóstol,residential,False,False,62.41,"LINESTRING (-1.2420161 38.0335526, -1.2426785 38.0333457)",,,,
530835908,Calle Cruz,primary,False,False,35.407,"LINESTRING (-1.2420161 38.0335526, -1.2418687 38.0332561)",,,,
152310501,Calle Antón Tobalo,primary,False,True,218.50799999999998,"LINESTRING (-1.2420161 38.0335526, -1.2420707 38.0336634, -1.2420934 38.0337216, -1.2421223 38.0337959, -1.2422099 38.0340961, -1.2425129 38.0351541, -1.2425748 38.0353366, -1.2426467 38.0354493)",,,,
141229900,Paseo de Fernández Jara,primary,False,False,42.77,"LINESTRING (-1.2406871 38.0287221, -1.2408232 38.0290915)",,,,
339184714,Calle Acequia,residential,False,False,46.08,"LINESTRING (-1.2406871 38.0287221, -1.2401676 38.0287875)",,,,
141229900,Paseo de Fernández Jara,primary,False,True,43.511,"LINESTRING (-1.2406871 38.0287221, -1.2405707 38.0284021, -1.2405464 38.0283469)",,,,
43734960,Calle Salceda,residential,False,False,80.488,"LINESTRING (-1.240981 38.0295192, -1.2411185 38.0294754, -1.2413553 38.029397, -1.2418317 38.0292455)",,,,
530835913,Calle Mayor,primary,False,False,78.561,"LINESTRING (-1.240981 38.0295192, -1.2410355 38.0296774, -1.2410462 38.0297086, -1.241103 38.0298738, -1.2411943 38.030139, -1.2412157 38.0302011)",,,,
530835913,Calle Mayor,primary,False,True,38.214,"LINESTRING (-1.240981 38.0295192, -1.2409198 38.0293532, -1.2408592 38.0291892)",,,,
"[530370697, 530370698]","['Calle Párroco Don Rafael Hernández Herrera', 'Calle Ramón y Cajal']",residential,False,True,210.09199999999998,"LINESTRING (-1.2412157 38.0302011, -1.2403327 38.0304804, -1.2403197 38.0304576, -1.2401988 38.0302452, -1.2400796 38.0300357, -1.2400547 38.029992, -1.2400306 38.0299497, -1.2399973 38.0298912, -1.23988 38.0296851, -1.239783 38.0294279)",,,,
530835913,Calle Mayor,primary,False,False,106.244,"LINESTRING (-1.2412157 38.0302011, -1.2413209 38.0305165, -1.2413735 38.0307255, -1.2413866 38.0307826, -1.2414673 38.0311352)",,,,
530835913,Calle Mayor,primary,False,True,78.56099999999999,"LINESTRING (-1.2412157 38.0302011, -1.2411943 38.030139, -1.241103 38.0298738, -1.2410462 38.0297086, -1.2410355 38.0296774, -1.240981 38.0295192)",,,,
530835913,Calle Mayor,primary,False,False,21.202,"LINESTRING (-1.2414673 38.0311352, -1.2415054 38.0313235)",,,,
