osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,width,maxspeed
1148302964,False,2,CV-8402,Avenida de los Reyes Católicos,tertiary,True,31.65,,"LINESTRING (-0.7705523 38.3814169, -0.7705784 38.381133)",,
776210206,True,,CV-8402,Replaceta Matilde Salvador,tertiary,False,6.673,roundabout,"LINESTRING (-0.7705523 38.3814169, -0.770527 38.3814196, -0.7705043 38.3814288, -0.7704868 38.3814433)",,
27811981,False,,CV-8420,calle de la Romana,tertiary,False,23.231,,"LINESTRING (-0.7726629 38.3840316, -0.7729294 38.3840344)",,
30334923,True,,,calle Jacinto Benavente,residential,False,45.577,,"LINESTRING (-0.7727605 38.3844242, -0.7727232 38.3844014, -0.7726629 38.3840316)",,
30335233,True,,CV-8420,calle cardenal Cisneros,tertiary,False,22.565,,"LINESTRING (-0.7724046 38.384018, -0.7726629 38.3840316)",,
43106644,True,,,calle Juan Sebastián Elcano,residential,False,192.035,,"LINESTRING (-0.7724046 38.384018, -0.7711992 38.3825724)",,
43106645,True,,,calle Felipe II,residential,False,50.028,,"LINESTRING (-0.7724046 38.384018, -0.7724792 38.3844641)",,
30335115,True,,,calle maestro Bretón,residential,False,24.917,,"LINESTRING (-0.7724792 38.3844641, -0.7727605 38.3844242)",,
43106645,True,,,calle Felipe II,residential,False,30.86,,"LINESTRING (-0.7724792 38.3844641, -0.7725175 38.38474)",,
43106645,True,,,calle Felipe II,residential,False,4.48,,"LINESTRING (-0.7725175 38.38474, -0.7725246 38.3847799)",,
41506390,True,,,plaza San Lázaro,residential,False,40.24,,"LINESTRING (-0.7725902 38.3851492, -0.7730185 38.3850141)",,
43106645,True,,,calle Felipe II,residential,False,70.912,,"LINESTRING (-0.7725902 38.3851492, -0.7727054 38.3857805)",,
"[41506392, 30335148]",True,,,calle Murillo,residential,False,110.18799999999999,,"LINESTRING (-0.7725902 38.3851492, -0.7719383 38.3853454, -0.7713986 38.3854788)",,
43106645,True,,,calle Felipe II,residential,False,52.711,,"LINESTRING (-0.772711 38.3858109, -0.7727878 38.3862811)",,
43106645,True,,,calle Felipe II,residential,False,67.498,,"LINESTRING (-0.7727878 38.3862811, -0.7729077 38.3868808)",,
1120168599,False,,,avenida de la Libertad,residential,True,99.293,,"LINESTRING (-0.7727878 38.3862811, -0.7716988 38.3865433)",,
30334923,True,,,calle Jacinto Benavente,residential,False,31.401,,"LINESTRING (-0.7730308 38.3846109, -0.7727605 38.3844242)",,
30335149,True,,,plaza San Lázaro,residential,False,46.987,,"LINESTRING (-0.7730308 38.3846109, -0.7725175 38.38474)",,
30335233,True,,CV-8420,calle cardenal Cisneros,tertiary,False,26.993,,"LINESTRING (-0.7706546 38.3838955, -0.7709626 38.3839208)",,
41506391,True,,,calle Comuneros de Castilla,residential,False,78.263,,"LINESTRING (-0.7713986 38.3854788, -0.7705484 38.3857052)",,
41679263,True,,,calle Ruperto Chapí,residential,False,64.962,,"LINESTRING (-0.7713986 38.3854788, -0.771562 38.3860488)",2.5,
