osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,junction
"[66918168, 15239956, 15239957]",2,N-634,"['Calle El Puente', 'Calle Valentín Andrés']",trunk,False,True,196.37500000000003,yes,"LINESTRING (-6.0670102 43.3930133, -6.0669771 43.3930669, -6.0669321 43.3931335, -6.0668832 43.3931858, -6.0668163 43.3932348, -6.0667447 43.3932666, -6.0666711 43.3932933, -6.066568 43.3933251, -6.0665117 43.3933368, -6.0664304 43.3933528, -6.0663569 43.3933583, -6.0654265 43.393323, -6.0654064 43.3933223, -6.0648685 43.3933034, -6.0647884 43.3932999)",
163642068,,N-634,Calle Valentín Andrés,trunk,True,False,17.84,,"LINESTRING (-6.0670102 43.3930133, -6.0670983 43.3929459, -6.0671219 43.3929172, -6.0671543 43.3928926)",
300586457,,AS-237,Paseo de Vistalegre,secondary,False,True,35.605,,"LINESTRING (-6.0673322 43.3930277, -6.0673341 43.3933479)",
163642056,,AS-237,Carretera Grado - Avilés,secondary,True,False,19.189,,"LINESTRING (-6.0673322 43.3930277, -6.0673309 43.3929619, -6.0673308 43.3929117, -6.0673269 43.3928552)",
89942753,,,,residential,False,True,97.485,,"LINESTRING (-6.0714267 43.3888584, -6.0715188 43.3889461, -6.0716465 43.3890905, -6.0721366 43.3895668)",
160939539,2,N-634,Calle Eulogio Diaz Miranda,trunk,False,False,181.38400000000001,,"LINESTRING (-6.0714267 43.3888584, -6.0717347 43.3887532, -6.0718682 43.3887296, -6.072546 43.3886101, -6.072565 43.3886036, -6.0727951 43.3885248, -6.0729202 43.3884577, -6.0730702 43.38835, -6.0733356 43.3881062)",
329481773,2,N-634,Calle Eulogio Diaz Miranda,trunk,False,True,70.381,,"LINESTRING (-6.0714267 43.3888584, -6.0712212 43.3889503, -6.0710721 43.3890442, -6.0707661 43.3892662)",
"[300352587, 160939539]",2,N-634,"['Avenida Flórez Estrada', 'Calle Eulogio Diaz Miranda']",trunk,False,False,121.179,,"LINESTRING (-6.0733356 43.3881062, -6.0734115 43.3880379, -6.0734647 43.3879887, -6.073763 43.3877129, -6.0742649 43.3872509)",
160939539,2,N-634,Calle Eulogio Diaz Miranda,trunk,False,True,181.384,,"LINESTRING (-6.0733356 43.3881062, -6.0730702 43.38835, -6.0729202 43.3884577, -6.0727951 43.3885248, -6.072565 43.3886036, -6.072546 43.3886101, -6.0718682 43.3887296, -6.0717347 43.3887532, -6.0714267 43.3888584)",
296109479,,,Calle Cimadevilla,residential,True,False,79.77600000000001,,"LINESTRING (-6.0733356 43.3881062, -6.0730442 43.3881295, -6.0723795 43.3882747)",
296109465,,,Calle Pintor Favila,residential,True,False,33.162,,"LINESTRING (-6.0726969 43.3858638, -6.0730426 43.3858804, -6.0730823 43.3859168)",
296109467,,,Calle Pintor Favila,residential,False,False,134.225,,"LINESTRING (-6.0726969 43.3858638, -6.0724978 43.385866, -6.0723272 43.3858784, -6.0712355 43.3862316, -6.0711512 43.3862641)",
296109461,,,Calle Los Archiduques,residential,False,False,73.471,,"LINESTRING (-6.0704325 43.3868716, -6.0707489 43.3869285, -6.0713102 43.3870437)",
66918241,,N-634,Avenida Flórez Estrada,trunk,True,False,7.0,,"LINESTRING (-6.0744978 43.3870588, -6.0745454 43.3870062)",
80340316,,N-634,,trunk,True,False,6.9,,"LINESTRING (-6.0744978 43.3870588, -6.074496 43.3870292, -6.0744778 43.3869996)",roundabout
23261858,,,Calle Camino del Vallin,residential,False,False,79.32400000000001,,"LINESTRING (-6.0730019 43.3850781, -6.0728937 43.3851155, -6.0723054 43.3853186, -6.072146 43.3853487, -6.0721017 43.3853571)",
89942725,,AS-311,Avenida Fernando Díaz Villabella,tertiary,False,True,72.26,,"LINESTRING (-6.0730019 43.3850781, -6.0732437 43.3854201, -6.0734106 43.3856561)",
23261860,,,,residential,False,True,41.276,,"LINESTRING (-6.0721017 43.3853571, -6.0722377 43.3857149)",
"[23261858, 89942708]",,,"['Calle Camino del Vallin', 'Calle Río Martín']",residential,False,"[False, True]",134.435,,"LINESTRING (-6.0721017 43.3853571, -6.0711923 43.3852777, -6.0711809 43.3853218, -6.0710542 43.3858117)",
23261858,,,Calle Camino del Vallin,residential,False,True,79.324,,"LINESTRING (-6.0721017 43.3853571, -6.072146 43.3853487, -6.0723054 43.3853186, -6.0728937 43.3851155, -6.0730019 43.3850781)",
23261857,,AS-311,Avenida Fernando Díaz Villabella,tertiary,True,False,6.886,,"LINESTRING (-6.0742498 43.3869658, -6.0742607 43.3869976, -6.0742748 43.3870249)",
299893388,,,Plaza Longoria Carbajal,residential,False,True,11.84,,"LINESTRING (-6.0700875 43.3876883, -6.0702312 43.3876675)",
"[23261874, 89942751]",,,"['Plaza Longoria', 'Travesía El Cabo']",residential,False,"[False, True]",125.50200000000001,,"LINESTRING (-6.0700875 43.3876883, -6.070075 43.3876624, -6.0700393 43.3875808, -6.0698933 43.3873079, -6.069932 43.3870473, -6.0699408 43.3869883, -6.0693892 43.3869689)",
299893388,,,Plaza Longoria Carbajal,residential,False,False,48.65,,"LINESTRING (-6.0700875 43.3876883, -6.069696 43.3877633, -6.0695054 43.3878)",
23261862,,,Calle Ramonina del Río,residential,True,False,134.409,,"LINESTRING (-6.0730823 43.3859168, -6.0738035 43.3869574, -6.0738304 43.3869964)",
23261861,,,Calle El Bolado,residential,True,False,34.897,,"LINESTRING (-6.0738304 43.3869964, -6.0741122 43.3869497, -6.0741922 43.3869477, -6.0742498 43.3869658)",
296109461,,,Calle Los Archiduques,residential,False,True,73.471,,"LINESTRING (-6.0713102 43.3870437, -6.0707489 43.3869285, -6.0704325 43.3868716)",
442295441,,,Calle El Bolado,residential,True,False,11.903,,"LINESTRING (-6.0713102 43.3870437, -6.0712922 43.3870671, -6.0712834 43.387093, -6.0712846 43.3871198, -6.0712957 43.3871453)",
296109483,,,Calle Asturias,residential,True,False,31.604000000000003,,"LINESTRING (-6.0723577 43.3876455, -6.0725278 43.3876474, -6.0726941 43.3876496, -6.0727291 43.3876191)",
23261867,,,Calle Asturias,residential,False,True,31.566,,"LINESTRING (-6.0722665 43.388003, -6.0723615 43.3882245, -6.0723795 43.3882747)",
296109478,,,Calle Asturias,residential,False,False,30.509,,"LINESTRING (-6.0722665 43.388003, -6.0722427 43.387932, -6.072251 43.3877308)",
23261867,,,Calle Asturias,residential,False,False,31.566,,"LINESTRING (-6.0723795 43.3882747, -6.0723615 43.3882245, -6.0722665 43.388003)",
296109479,,,Calle Cimadevilla,residential,True,False,129.555,,"LINESTRING (-6.0723795 43.3882747, -6.0722777 43.3882993, -6.0715692 43.3884739, -6.0709282 43.3886077, -6.0708504 43.3886239)",
"[89942706, 91611453]",,,"['Calle La Magdalena', 'Travesía Barón de Grado']",residential,True,False,111.612,,"LINESTRING (-6.0694675 43.3889325, -6.0695646 43.389185, -6.0697776 43.3891379, -6.0701872 43.3890473, -6.0705472 43.3889863)",
"[80340328, 296104591]",,,"['Calle Tras los Hórreos', 'Travesía del Ayuntamiento']",residential,True,False,105.266,,"LINESTRING (-6.0683395 43.3893744, -6.0679625 43.3893642, -6.0679692 43.3886917)",
"[300585944, 299923097, 298875912]",,AS-313,Calle Alonso de Grado,tertiary,True,False,86.14,,"LINESTRING (-6.0683395 43.3893744, -6.0683547 43.3893305, -6.0683686 43.389271, -6.0684184 43.389044, -6.0684622 43.3889077, -6.0685432 43.3888847, -6.068844 43.3887957)",
296109469,,AS-313,Calle Cerro de la Muralla,tertiary,False,True,80.02799999999999,,"LINESTRING (-6.0679789 43.3902248, -6.0679549 43.3905139, -6.0679193 43.3909432)",
"[299923098, 365198011, 296109470]",,AS-313,Calle Cerro de la Muralla,tertiary,True,False,116.19800000000001,,"LINESTRING (-6.0679789 43.3902248, -6.0679975 43.3898497, -6.0680175 43.389676, -6.068293 43.3896674, -6.0683027 43.3896113, -6.0683188 43.3895174, -6.0683395 43.3893744)",
160939644,,,Plaza Indalecio Corugedo,residential,True,False,21.944,,"LINESTRING (-6.0704693 43.3887287, -6.0705247 43.3889219)",
296109481,,,,residential,False,True,33.049,,"LINESTRING (-6.0704693 43.3887287, -6.0707 43.3886752, -6.0707517 43.3886632, -6.0707685 43.3886565, -6.0708504 43.3886239)",
"[299469109, 160939615]",,,"['Plaza Indalecio Corugedo', 'Plaza La Blanca']",residential,False,False,56.244,,"LINESTRING (-6.0711953 43.3887864, -6.0708373 43.3888587, -6.0705247 43.3889219)",
23261871,,,Travesía Francisca Fernandez Miranda,residential,True,False,36.434,,"LINESTRING (-6.0705472 43.3889863, -6.0707051 43.3892336, -6.0707661 43.3892662)",
"[23261874, 89942751]",,,"['Plaza Longoria', 'Travesía El Cabo']",residential,False,"[False, True]",125.50200000000001,,"LINESTRING (-6.0693892 43.3869689, -6.0699408 43.3869883, -6.069932 43.3870473, -6.0698933 43.3873079, -6.0700393 43.3875808, -6.070075 43.3876624, -6.0700875 43.3876883)",
"[299893385, 23261881, 1006670468]",,AS-313,"['Calle las Calles Nuevas', 'Calle de las Calles Nuevas']",tertiary,False,"[False, True]",124.215,yes,"LINESTRING (-6.0693892 43.3869689, -6.0695545 43.3863713, -6.0696424 43.3861557, -6.0696481 43.3860473, -6.0695919 43.3859531, -6.0695379 43.3858933)",
300397145,,AS-313,Calle Suárez Valdés,tertiary,False,True,111.97099999999999,,"LINESTRING (-6.0693892 43.3869689, -6.069347 43.3870198, -6.069192 43.3873597, -6.069139 43.3877028, -6.0691409 43.3877801, -6.069141 43.3878473, -6.0691412 43.387947)",
"[80340322, 296104590]",,,Calle Tras los Hórreos,residential,False,False,69.468,,"LINESTRING (-6.0683253 43.3881371, -6.0682711 43.3881894, -6.068252 43.3882078, -6.0680748 43.3883789, -6.0680591 43.3884254, -6.0679692 43.3886917)",
"[80340305, 296028277]",,,,residential,False,True,74.43900000000001,,"LINESTRING (-6.0679692 43.3886917, -6.0677099 43.3886815, -6.0674002 43.3886694, -6.0673947 43.38872, -6.067385 43.3888571, -6.0674149 43.3889208)",
"[80340322, 296104590]",,,Calle Tras los Hórreos,residential,False,True,69.468,,"LINESTRING (-6.0679692 43.3886917, -6.0680591 43.3884254, -6.0680748 43.3883789, -6.068252 43.3882078, -6.0682711 43.3881894, -6.0683253 43.3881371)",
"[329481769, 89942711]",,AS-313,Calle Alonso de Grado,tertiary,True,False,48.695,,"LINESTRING (-6.068844 43.3887957, -6.0688988 43.3887803, -6.0692006 43.3886956, -6.0694086 43.3886428)",
