osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
274573443,Calle Manuel de Falla,residential,False,True,83.761,,"LINESTRING (-3.3516777 39.3698839, -3.3511495 39.3692509)",,
980810702,Avenida de Alcázar de San Juan,tertiary,False,False,90.378,CM-3165,"LINESTRING (-3.3516777 39.3698839, -3.3525383 39.369417)",,
980810702,Avenida de Alcázar de San Juan,tertiary,False,True,194.53,CM-3165,"LINESTRING (-3.3516777 39.3698839, -3.3516418 39.3699027, -3.3499055 39.3707942, -3.3497864 39.3708438)",,
85652502,Calle La Paz,residential,False,True,64.448,,"LINESTRING (-3.3566961 39.368159, -3.3567193 39.3682417, -3.3565765 39.3687242)",,
274799113,Calle Cervantes,residential,False,False,124.835,,"LINESTRING (-3.3566961 39.368159, -3.3567959 39.3681991, -3.3581296 39.3682971)",,
274799120,Calle Juan Coto,tertiary,True,False,53.429,CM-420,"LINESTRING (-3.3566961 39.368159, -3.356862 39.3679893, -3.357052 39.3677654)",,
274799120,Calle Juan Coto,tertiary,True,False,112.921,CM-420,"LINESTRING (-3.357052 39.3677654, -3.3578037 39.3674117, -3.3581509 39.3672109)",,
274799136,Calle Cristo de Urda,residential,False,False,73.49,,"LINESTRING (-3.357052 39.3677654, -3.3571272 39.3675401, -3.3570636 39.3671147)",,
274799120,Calle Juan Coto,tertiary,True,False,19.629,CM-420,"LINESTRING (-3.3587255 39.3668548, -3.3588794 39.3667244)",,
85652591,Calle de Matallana,residential,False,False,98.59100000000001,,"LINESTRING (-3.3587255 39.3668548, -3.3589772 39.3670524, -3.3592785 39.3671393, -3.3597331 39.3672205)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,24.72,CM-3165,"LINESTRING (-3.3595254 39.3663087, -3.3592494 39.3663711)",,
274799108,Avenida Labradora,tertiary,False,False,18.637,CM-3165,"LINESTRING (-3.3595254 39.3663087, -3.3596994 39.3662673, -3.3597317 39.3662574)",,
85652557,Calle Caldereros,residential,False,False,97.424,,"LINESTRING (-3.3586385 39.3638337, -3.3575181 39.3639653)",,
85652557,Calle Caldereros,residential,False,True,72.7,,"LINESTRING (-3.3586385 39.3638337, -3.3594829 39.3638693)",,
276175020,Calle Carreteros,residential,False,False,42.519,,"LINESTRING (-3.3586385 39.3638337, -3.3587415 39.3642077)",,
85652371,Calle Tahona,residential,False,False,54.198,,"LINESTRING (-3.3581482 39.3687843, -3.3581296 39.3682971)",,
85652371,Calle Tahona,residential,False,True,59.697,,"LINESTRING (-3.3581482 39.3687843, -3.3581225 39.3693208)",,
274799118,Calle Gaitán,residential,False,False,91.334,,"LINESTRING (-3.3581482 39.3687843, -3.3583912 39.3687996, -3.3592085 39.3688363)",,
274799118,Calle Gaitán,residential,False,True,135.623,,"LINESTRING (-3.3581482 39.3687843, -3.3576866 39.3687479, -3.3571462 39.3687073, -3.3569161 39.3687039, -3.3565765 39.3687242)",,
276445409,Callejón Cristo de la Misericordia,residential,False,False,49.182,,"LINESTRING (-3.3508129 39.3664995, -3.3506805 39.3669298)",,
83015021,Calle Cristo de la Misericordia,residential,False,True,145.914,,"LINESTRING (-3.3508129 39.3664995, -3.3512681 39.3666173, -3.3517859 39.3667811, -3.3521444 39.3669242, -3.3523294 39.3670592)",,
276445411,,residential,False,False,48.923,,"LINESTRING (-3.3508129 39.3664995, -3.3507411 39.3664575, -3.3502952 39.3663221)",,
276445414,,residential,False,True,17.041,,"LINESTRING (-3.3508129 39.3664995, -3.3508112 39.3664187, -3.350831 39.3663479)",,
276175026,Calle La Labradora,residential,False,True,39.937,,"LINESTRING (-3.3580943 39.3662757, -3.3576303 39.3662934)",,
85652453,Calle César,residential,False,True,58.468999999999994,,"LINESTRING (-3.3580943 39.3662757, -3.3580159 39.3658619, -3.3579712 39.36576)",,
276175026,Calle La Labradora,residential,False,False,96.269,,"LINESTRING (-3.3580943 39.3662757, -3.3587467 39.3662782, -3.3592117 39.3662413)",,
85652507,Calle de Ronda,residential,False,False,44.389,,"LINESTRING (-3.3520659 39.3646188, -3.3516093 39.3648052)",,
85652584,Calle Nueva de la Sierra,residential,False,True,155.062,,"LINESTRING (-3.3520659 39.3646188, -3.3509581 39.3635183)",,
85652507,Calle de Ronda,residential,False,True,88.208,,"LINESTRING (-3.3520659 39.3646188, -3.3523858 39.3645142, -3.352672 39.3643918, -3.3527851 39.3643041, -3.3529362 39.3642132)",,
276445411,,residential,False,False,23.873,,"LINESTRING (-3.3502952 39.3663221, -3.3500176 39.3663162)",,
276445413,,residential,False,True,46.15,,"LINESTRING (-3.3502952 39.3663221, -3.350831 39.3663479)",,
276445411,,residential,False,True,48.923,,"LINESTRING (-3.3502952 39.3663221, -3.3507411 39.3664575, -3.3508129 39.3664995)",,
85652441,Calle Fiscal,residential,False,False,67.572,,"LINESTRING (-3.3580035 39.3698223, -3.358742 39.3700305)",,
