osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,maxspeed,junction,lanes
23418702,N-634a,Carretera Irún - Santiago,primary,False,False,168.54899999999998,"LINESTRING (-6.2590055 43.4043146, -6.2598884 43.4046516, -6.2602168 43.4047464, -6.2608749 43.4049853)",,,,,
23418702,N-634a,Carretera Irún - Santiago,primary,False,True,71.292,"LINESTRING (-6.2590055 43.4043146, -6.2588659 43.4042511, -6.2587709 43.4042061, -6.2582926 43.4039377)",,,,,
23418707,,Enlace de Salas,secondary,True,False,148.91500000000002,"LINESTRING (-6.2590055 43.4043146, -6.259463 43.4045328, -6.2598776 43.4046909, -6.2601358 43.40479, -6.2602493 43.4048822, -6.2603061 43.4049905, -6.2603583 43.4051353)",,,,,
66943040,N-634a,Avenida de Galicia,living_street,False,True,18.466,"LINESTRING (-6.2590775 43.4085498, -6.2588573 43.4085052)",,,,,
"[23418712, 23421090, 261044430]",SL-15,Calle del Puente,living_street,False,False,95.095,"LINESTRING (-6.2590775 43.4085498, -6.2590072 43.4086814, -6.2588427 43.4090338, -6.258722 43.409229, -6.258652 43.4093464)",yes,,,,
549233820,N-634a,Avenida de Galicia,living_street,True,False,42.925000000000004,"LINESTRING (-6.2590775 43.4085498, -6.2592068 43.4085761, -6.2595901 43.4086515)",,,,,
66943032,,,living_street,False,False,33.114,"LINESTRING (-6.2609021 43.4089613, -6.2611462 43.4090567, -6.2612639 43.4091013)",,,,,
66966915,N-634a,Avenida del Pontón,living_street,False,False,24.25,"LINESTRING (-6.2609021 43.4089613, -6.2610046 43.4089336, -6.2611507 43.4088444)",,,,,
23418705,,Enlace de Salas,secondary,False,False,25.455,"LINESTRING (-6.2610063 43.4054665, -6.2610016 43.4052376)",,,,,
23418708,,Enlace de Salas,secondary,False,True,17.323,"LINESTRING (-6.2610063 43.4054665, -6.2608129 43.4053992)",,,,,
261118426,N-634a,,secondary,False,True,21.402,"LINESTRING (-6.2610063 43.4054665, -6.2612131 43.4055868)",,,,,
23418705,,Enlace de Salas,secondary,False,True,7.234,"LINESTRING (-6.2606513 43.404516, -6.2607185 43.404473)",,,,,
23418706,,Enlace de Salas,secondary,True,False,214.995,"LINESTRING (-6.2606513 43.404516, -6.2604144 43.4046391, -6.2602024 43.4046515, -6.2601032 43.4046408, -6.259998 43.4046153, -6.2596967 43.4045201, -6.2591604 43.4043179, -6.2588565 43.4041824, -6.2585809 43.4040627, -6.2582926 43.4039377)",,,,,
23418708,,Enlace de Salas,secondary,False,False,49.215999999999994,"LINESTRING (-6.2603583 43.4051353, -6.2604069 43.4052218, -6.2604786 43.4052775, -6.2606075 43.4053384, -6.260692 43.4053661, -6.2608129 43.4053992)",,,,,
23418710,,Enlace de Salas,secondary,True,False,52.089,"LINESTRING (-6.2603583 43.4051353, -6.2604088 43.4050399, -6.260473 43.4049941, -6.2605387 43.4049664, -6.26064 43.4049636, -6.2608749 43.4049853)",,,,,
23418708,,Enlace de Salas,secondary,False,False,17.323,"LINESTRING (-6.2608129 43.4053992, -6.2610063 43.4054665)",,,,,
23418708,,Enlace de Salas,secondary,False,True,49.215999999999994,"LINESTRING (-6.2608129 43.4053992, -6.260692 43.4053661, -6.2606075 43.4053384, -6.2604786 43.4052775, -6.2604069 43.4052218, -6.2603583 43.4051353)",,,,,
23418702,N-634a,Carretera Irún - Santiago,primary,False,True,168.54899999999998,"LINESTRING (-6.2608749 43.4049853, -6.2602168 43.4047464, -6.2598884 43.4046516, -6.2590055 43.4043146)",,,,,
23418709,,Enlace de Salas,secondary,True,False,63.792,"LINESTRING (-6.2608749 43.4049853, -6.2606079 43.404825, -6.2605696 43.4047597, -6.2605932 43.4046662, -6.2606513 43.404516)",,,,,
23250244,SL-15,Carretera de Salas a Pravia,tertiary,False,True,34.503,"LINESTRING (-6.2582264 43.4093202, -6.258652 43.4093464)",,,,,
70288640,,Pasaje de San Martín,residential,False,False,84.697,"LINESTRING (-6.2582264 43.4093202, -6.2582247 43.4100819)",,,,,
70289991,SL-15,Paseo de la Veiga del Rey,tertiary,False,False,13.670000000000002,"LINESTRING (-6.2582264 43.4093202, -6.2581363 43.4093053, -6.258067 43.4092812)",,,,,
23250244,SL-15,Carretera de Salas a Pravia,tertiary,False,False,34.503,"LINESTRING (-6.258652 43.4093464, -6.2582264 43.4093202)",,,,,
70288645,,Calle de la Pola,residential,False,False,77.173,"LINESTRING (-6.258652 43.4093464, -6.2596006 43.4094288)",,,,,
"[23418712, 23421090, 261044430]",SL-15,Calle del Puente,living_street,False,True,95.095,"LINESTRING (-6.258652 43.4093464, -6.258722 43.409229, -6.2588427 43.4090338, -6.2590072 43.4086814, -6.2590775 43.4085498)",yes,,,,
