osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction
643126959,True,B343,Bandaranayake Mawatha,secondary,50,False,33.993,"LINESTRING (80.7729316 8.8311296, 80.7729554 8.8308248)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,False,295.383,"LINESTRING (80.7729316 8.8311296, 80.7729059 8.8316446, 80.7728762 8.8322339, 80.7727884 8.8327409, 80.7727045 8.8336998, 80.7726973 8.8337734)",,
643126956,True,B211,Kebitigollewa-Padaviya Road,secondary,50,False,31.522,"LINESTRING (80.7731529 8.8305863, 80.7729108 8.8307384)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,True,389.737,"LINESTRING (80.7723129 8.8380496, 80.7725723 8.834554)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,False,49.923,"LINESTRING (80.7726973 8.8337734, 80.7725984 8.8342116)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,True,295.383,"LINESTRING (80.7726973 8.8337734, 80.7727045 8.8336998, 80.7727884 8.8327409, 80.7728762 8.8322339, 80.7729059 8.8316446, 80.7729316 8.8311296)",,
643126957,True,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,43.971,"LINESTRING (80.7724972 8.831001, 80.7728657 8.8308468)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,246.98499999999999,"LINESTRING (80.7724972 8.831001, 80.7723759 8.8310803, 80.770595 8.8321844)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,False,389.737,"LINESTRING (80.7725723 8.834554, 80.7723129 8.8380496)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,True,38.181,"LINESTRING (80.7725723 8.834554, 80.7725984 8.8342116)",,
386894897,False,,,unclassified,,True,454.82900000000006,"LINESTRING (80.7725723 8.834554, 80.7727936 8.8346242, 80.7729945 8.8347736, 80.7744541 8.8367283, 80.7751879 8.8376631)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,160.225,"LINESTRING (80.7692398 8.8330272, 80.7680309 8.833833)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,True,156.652,"LINESTRING (80.7692398 8.8330272, 80.7704463 8.8322766)",,
399531050,False,,,residential,30,False,79.331,"LINESTRING (80.7692398 8.8330272, 80.7694043 8.8331256, 80.769717 8.8335481)",,
643126946,False,,,residential,30,True,184.025,"LINESTRING (80.769717 8.8335481, 80.7684392 8.834618)",,
399531050,False,,,residential,30,False,275.95,"LINESTRING (80.769717 8.8335481, 80.7698472 8.8336919, 80.7700274 8.8339494, 80.7700687 8.834076, 80.7700622 8.8341596, 80.7700187 8.834254, 80.7693978 8.834859, 80.7691156 8.8350028, 80.768664 8.8351787)",,
399531050,False,,,residential,30,True,79.331,"LINESTRING (80.769717 8.8335481, 80.7694043 8.8331256, 80.7692398 8.8330272)",,
399531059,False,,Residential Road,residential,30,False,98.142,"LINESTRING (80.7680309 8.833833, 80.7684392 8.834618)",1,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,True,160.225,"LINESTRING (80.7680309 8.833833, 80.7692398 8.8330272)",,
399531059,False,,Residential Road,residential,30,False,25.021,"LINESTRING (80.768664 8.8351787, 80.7687409 8.8353905)",1,
399531050,False,,,residential,30,True,275.95,"LINESTRING (80.768664 8.8351787, 80.7691156 8.8350028, 80.7693978 8.834859, 80.7700187 8.834254, 80.7700622 8.8341596, 80.7700687 8.834076, 80.7700274 8.8339494, 80.7698472 8.8336919, 80.769717 8.8335481)",,
399531059,False,,Residential Road,residential,30,True,67.06200000000001,"LINESTRING (80.768664 8.8351787, 80.7685413 8.8348717, 80.7684392 8.834618)",1,
399531059,False,,Residential Road,residential,30,True,25.021,"LINESTRING (80.7687409 8.8353905, 80.768664 8.8351787)",1,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,156.652,"LINESTRING (80.7704463 8.8322766, 80.7692398 8.8330272)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,True,19.289,"LINESTRING (80.7704463 8.8322766, 80.770595 8.8321844)",,
399533289,False,,,residential,30,True,411.145,"LINESTRING (80.7704463 8.8322766, 80.7705917 8.8323822, 80.7708184 8.8328053, 80.7708494 8.8329757, 80.770832 8.8330753, 80.7705549 8.833797, 80.7703399 8.8342526, 80.7703185 8.8344441, 80.7703379 8.8345245, 80.7704871 8.8347868, 80.7705898 8.8348863, 80.7712291 8.8351888, 80.7713026 8.8351953)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,False,38.181,"LINESTRING (80.7725984 8.8342116, 80.7725723 8.834554)",,
178275903,False,B343,Bandaranayake Mawatha,secondary,50,True,49.923,"LINESTRING (80.7725984 8.8342116, 80.7726973 8.8337734)",,
399533286,False,,,residential,30,False,180.883,"LINESTRING (80.7725984 8.8342116, 80.7724263 8.834284, 80.7716784 8.8348124, 80.7713026 8.8351953)",,
399533286,False,,,residential,30,False,201.79399999999998,"LINESTRING (80.7713026 8.8351953, 80.7710314 8.8354939, 80.7707485 8.8357351, 80.7706051 8.8357926, 80.76971 8.8359036)",,
399533286,False,,,residential,30,True,180.88299999999998,"LINESTRING (80.7713026 8.8351953, 80.7716784 8.8348124, 80.7724263 8.834284, 80.7725984 8.8342116)",,
399533289,False,,,residential,30,False,411.1449999999999,"LINESTRING (80.7713026 8.8351953, 80.7712291 8.8351888, 80.7705898 8.8348863, 80.7704871 8.8347868, 80.7703379 8.8345245, 80.7703185 8.8344441, 80.7703399 8.8342526, 80.7705549 8.833797, 80.770832 8.8330753, 80.7708494 8.8329757, 80.7708184 8.8328053, 80.7705917 8.8323822, 80.7704463 8.8322766)",,
399533286,False,,,residential,30,True,201.794,"LINESTRING (80.76971 8.8359036, 80.7706051 8.8357926, 80.7707485 8.8357351, 80.7710314 8.8354939, 80.7713026 8.8351953)",,
386894897,False,,,unclassified,,False,454.829,"LINESTRING (80.7751879 8.8376631, 80.7744541 8.8367283, 80.7729945 8.8347736, 80.7727936 8.8346242, 80.7725723 8.834554)",,
399531059,False,,Residential Road,residential,30,True,98.142,"LINESTRING (80.7684392 8.834618, 80.7680309 8.833833)",1,
643126946,False,,,residential,30,False,184.025,"LINESTRING (80.7684392 8.834618, 80.769717 8.8335481)",,
399531059,False,,Residential Road,residential,30,False,67.06200000000001,"LINESTRING (80.7684392 8.834618, 80.7685413 8.8348717, 80.768664 8.8351787)",1,
643126958,True,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,44.685,"LINESTRING (80.7728411 8.8307865, 80.7724972 8.831001)",,
643126960,True,,,secondary,40,False,7.229,"LINESTRING (80.7728411 8.8307865, 80.7728657 8.8308468)",,roundabout
643126960,True,,,secondary,40,False,10.056000000000001,"LINESTRING (80.7729108 8.8307384, 80.7728588 8.8307543, 80.7728411 8.8307865)",,roundabout
643126955,True,B211,Kebitigollewa-Padaviya Road,secondary,50,False,30.768,"LINESTRING (80.7729611 8.8307879, 80.7731529 8.8305863)",,
643126960,True,,,secondary,40,False,7.8,"LINESTRING (80.7729611 8.8307879, 80.7729108 8.8307384)",,roundabout
643126960,True,,,secondary,40,False,4.151,"LINESTRING (80.7729554 8.8308248, 80.7729611 8.8307879)",,roundabout
643126954,True,B343,Bandaranayake Mawatha,secondary,50,False,30.893,"LINESTRING (80.7728845 8.8308557, 80.7729316 8.8311296)",,
643126960,True,,,secondary,40,False,8.906,"LINESTRING (80.7728845 8.8308557, 80.7729053 8.8308577, 80.7729554 8.8308248)",,roundabout
643126960,True,,,secondary,40,False,2.291,"LINESTRING (80.7728657 8.8308468, 80.7728845 8.8308557)",,roundabout
736967044,False,,,residential,,True,205.243,"LINESTRING (80.7691079 8.8311344, 80.7696658 8.8313253, 80.7698683 8.8314618, 80.7704705 8.8320303, 80.770595 8.8321844)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,False,19.289,"LINESTRING (80.770595 8.8321844, 80.7704463 8.8322766)",,
643126963,False,B211,Kebitigollewa-Padaviya Road,tertiary,50,True,246.98499999999999,"LINESTRING (80.770595 8.8321844, 80.7723759 8.8310803, 80.7724972 8.831001)",,
736967044,False,,,residential,,False,205.243,"LINESTRING (80.770595 8.8321844, 80.7704705 8.8320303, 80.7698683 8.8314618, 80.7696658 8.8313253, 80.7691079 8.8311344)",,
