osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access
313392146,B075,Chavakachcheri-Puloly,secondary,50,False,False,53.607,"LINESTRING (80.160805 9.6596299, 80.1609098 9.6601008)",,
99282984,,Chavakachcheri-Puloly Road B75,residential,30,False,True,134.45499999999998,"LINESTRING (80.160805 9.6596299, 80.160654 9.6593289, 80.1604824 9.6587789, 80.1603678 9.6585032)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,95.08699999999999,"LINESTRING (80.160805 9.6596299, 80.1609056 9.659565, 80.1610892 9.6594957, 80.1616289 9.6593882)",2,permissive
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,84.945,"LINESTRING (80.160805 9.6596299, 80.1607011 9.659715, 80.1603987 9.6600766, 80.1602766 9.6601852)",2,permissive
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,84.94500000000001,"LINESTRING (80.1602766 9.6601852, 80.1603987 9.6600766, 80.1607011 9.659715, 80.160805 9.6596299)",2,permissive
71228138,B074,Chavakachcheri - Kachchai,secondary,50,False,False,26.747,"LINESTRING (80.1634038 9.6590731, 80.1635876 9.6589149)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,29.268,"LINESTRING (80.1634038 9.6590731, 80.1636582 9.659153)",2,permissive
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,33.269,"LINESTRING (80.1634038 9.6590731, 80.1631003 9.6590727)",2,permissive
71368991,,Dutch Road,tertiary,40,False,False,19.35,"LINESTRING (80.1646157 9.6614666, 80.1644995 9.6613356)",,
71368991,,Dutch Road,tertiary,40,False,True,30.619,"LINESTRING (80.1646157 9.6614666, 80.1647546 9.6617055)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,33.269,"LINESTRING (80.1631003 9.6590727, 80.1634038 9.6590731)",2,permissive
71368991,,Dutch Road,tertiary,40,False,True,213.57800000000003,"LINESTRING (80.1631003 9.6590727, 80.163205 9.6594744, 80.1636395 9.6602862, 80.1639298 9.6606428, 80.1639954 9.6607566)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,165.09699999999998,"LINESTRING (80.1631003 9.6590727, 80.1625904 9.6591963, 80.1624119 9.6592325, 80.1622307 9.6592692, 80.1616289 9.6593882)",2,permissive
71228138,B074,Chavakachcheri - Kachchai,secondary,50,False,False,6.333,"LINESTRING (80.1635876 9.6589149, 80.1636129 9.6589661)",,
71228138,B074,Chavakachcheri - Kachchai,secondary,50,False,True,26.747,"LINESTRING (80.1635876 9.6589149, 80.1634038 9.6590731)",,
108536130,B076,Chavakachcheri - Tanankilappu,secondary,50,False,True,82.566,"LINESTRING (80.1635876 9.6589149, 80.1633844 9.6581999)",,
99282984,,Chavakachcheri-Puloly Road B75,residential,30,False,False,134.45499999999998,"LINESTRING (80.1603678 9.6585032, 80.1604824 9.6587789, 80.160654 9.6593289, 80.160805 9.6596299)",,
313392153,,,residential,30,False,True,338.151,"LINESTRING (80.1603678 9.6585032, 80.1607291 9.6583717, 80.1611743 9.6583149, 80.1620998 9.6580935, 80.1623124 9.6580606, 80.1625035 9.6580611, 80.1633844 9.6581999)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,165.097,"LINESTRING (80.1616289 9.6593882, 80.1622307 9.6592692, 80.1624119 9.6592325, 80.1625904 9.6591963, 80.1631003 9.6590727)",2,permissive
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,95.087,"LINESTRING (80.1616289 9.6593882, 80.1610892 9.6594957, 80.1609056 9.659565, 80.160805 9.6596299)",2,permissive
672375083,,,residential,,False,False,49.642,"LINESTRING (80.1616289 9.6593882, 80.1616822 9.6596686, 80.1617385 9.6598199)",,
108536130,B076,Chavakachcheri - Tanankilappu,secondary,50,False,False,82.566,"LINESTRING (80.1633844 9.6581999, 80.1635876 9.6589149)",,
