osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access
807985954,2,B413,Munwattha Road,primary,50,False,False,277.485,"LINESTRING (80.7997765 7.0942641, 80.7996047 7.0943476, 80.7994638 7.094369, 80.799299 7.0943489, 80.7991757 7.0942788, 80.7990605 7.0941255, 80.7989924 7.0938093, 80.7986248 7.0932677, 80.7985724 7.0929516, 80.7985635 7.0925812)",,
1186011073,1,,Mathurata Road,tertiary,30,False,True,962.5809999999998,"LINESTRING (80.7997765 7.0942641, 80.7995869 7.0942501, 80.7994451 7.0942246, 80.7993242 7.094124, 80.7992719 7.0939883, 80.7992845 7.0935294, 80.7991822 7.0931126, 80.7991862 7.0924446, 80.799382 7.092024, 80.7994462 7.0919282, 80.7996677 7.0916926, 80.7997294 7.0915502, 80.799614 7.0911323, 80.7996704 7.0906705, 80.7995215 7.0901568, 80.7994189 7.0899768, 80.7991312 7.0893424, 80.7990427 7.0889125, 80.7989683 7.0886858, 80.7989609 7.0885505, 80.7990219 7.0883226, 80.79903 7.0881895, 80.7989086 7.0876562, 80.7989471 7.0876139, 80.7990012 7.0876295, 80.7992721 7.0879995, 80.799572 7.088258, 80.7996194 7.0882624, 80.799675 7.0881953, 80.79965 7.0879477)",,
"[807985952, 807985953, 565515306]",,,,unclassified,,False,False,643.075,"LINESTRING (80.79965 7.0879477, 80.799791 7.087967, 80.7998722 7.0879217, 80.8001445 7.0877011, 80.8004126 7.0874293, 80.8006607 7.0873228, 80.8008115 7.0872143, 80.8010975 7.0870647, 80.8014239 7.0869748, 80.8020846 7.0869974, 80.8021071 7.0870033, 80.8021796 7.0870396, 80.8021901 7.0870513, 80.8021965 7.0871468, 80.8021237 7.0874016, 80.8021447 7.0874525, 80.8023177 7.0875702, 80.8023571 7.0876262, 80.8023647 7.0877052, 80.8023118 7.0880504, 80.802287 7.0881303, 80.8021 7.088221, 80.8020694 7.088255, 80.8020763 7.0884999, 80.8019348 7.0890003, 80.8018316 7.0891651, 80.8017892 7.0893075, 80.8017778 7.0893944, 80.8018691 7.0894832, 80.8019387 7.0895133, 80.8020208 7.0895081)",yes,
1186011073,1,,Mathurata Road,tertiary,30,False,False,962.581,"LINESTRING (80.79965 7.0879477, 80.799675 7.0881953, 80.7996194 7.0882624, 80.799572 7.088258, 80.7992721 7.0879995, 80.7990012 7.0876295, 80.7989471 7.0876139, 80.7989086 7.0876562, 80.79903 7.0881895, 80.7990219 7.0883226, 80.7989609 7.0885505, 80.7989683 7.0886858, 80.7990427 7.0889125, 80.7991312 7.0893424, 80.7994189 7.0899768, 80.7995215 7.0901568, 80.7996704 7.0906705, 80.799614 7.0911323, 80.7997294 7.0915502, 80.7996677 7.0916926, 80.7994462 7.0919282, 80.799382 7.092024, 80.7991862 7.0924446, 80.7991822 7.0931126, 80.7992845 7.0935294, 80.7992719 7.0939883, 80.7993242 7.094124, 80.7994451 7.0942246, 80.7995869 7.0942501, 80.7997765 7.0942641)",,
"[807985954, 197940747, 1186011070]",2,"['B413', 'B 413']","['Munwattha Road', 'Rikillagaskada Road']",primary,50,False,False,378.70799999999997,"LINESTRING (80.7985635 7.0925812, 80.7986314 7.092343, 80.7986518 7.0921453, 80.7986366 7.0916786, 80.7986112 7.09149, 80.7985982 7.091453, 80.7985738 7.0914235, 80.7985281 7.091404, 80.7982614 7.091389, 80.7979015 7.0913669, 80.7978743 7.0913712, 80.7978609 7.0913776, 80.7978475 7.0913915, 80.7978364 7.0914118, 80.7978196 7.0914734, 80.7977526 7.0917385, 80.7977177 7.0918384, 80.7976835 7.0919209, 80.7973571 7.0926501, 80.7973159 7.0927822)",yes,yes
"[1245421537, 1245421538, 1245421539]",,,,residential,,False,True,156.065,"LINESTRING (80.7985635 7.0925812, 80.7984298 7.0925018, 80.7983521 7.0924552, 80.7982327 7.0924153, 80.7981053 7.092406, 80.7979913 7.092402, 80.7978263 7.0924339, 80.7976453 7.0924991, 80.7975018 7.092587, 80.7973159 7.0927822)",yes,
807985954,2,B413,Munwattha Road,primary,50,False,True,277.485,"LINESTRING (80.7985635 7.0925812, 80.7985724 7.0929516, 80.7986248 7.0932677, 80.7989924 7.0938093, 80.7990605 7.0941255, 80.7991757 7.0942788, 80.799299 7.0943489, 80.7994638 7.094369, 80.7996047 7.0943476, 80.7997765 7.0942641)",,
"[807985954, 197940747, 1186011070]",2,"['B413', 'B 413']","['Munwattha Road', 'Rikillagaskada Road']",primary,50,False,True,378.7080000000001,"LINESTRING (80.7973159 7.0927822, 80.7973571 7.0926501, 80.7976835 7.0919209, 80.7977177 7.0918384, 80.7977526 7.0917385, 80.7978196 7.0914734, 80.7978364 7.0914118, 80.7978475 7.0913915, 80.7978609 7.0913776, 80.7978743 7.0913712, 80.7979015 7.0913669, 80.7982614 7.091389, 80.7985281 7.091404, 80.7985738 7.0914235, 80.7985982 7.091453, 80.7986112 7.09149, 80.7986366 7.0916786, 80.7986518 7.0921453, 80.7986314 7.092343, 80.7985635 7.0925812)",yes,yes
"[1245421537, 1245421538, 1245421539]",,,,residential,,False,False,156.06500000000003,"LINESTRING (80.7973159 7.0927822, 80.7975018 7.092587, 80.7976453 7.0924991, 80.7978263 7.0924339, 80.7979913 7.092402, 80.7981053 7.092406, 80.7982327 7.0924153, 80.7983521 7.0924552, 80.7984298 7.0925018, 80.7985635 7.0925812)",yes,
"[807985952, 807985953, 565515306]",,,,unclassified,,False,True,643.075,"LINESTRING (80.8020208 7.0895081, 80.8019387 7.0895133, 80.8018691 7.0894832, 80.8017778 7.0893944, 80.8017892 7.0893075, 80.8018316 7.0891651, 80.8019348 7.0890003, 80.8020763 7.0884999, 80.8020694 7.088255, 80.8021 7.088221, 80.802287 7.0881303, 80.8023118 7.0880504, 80.8023647 7.0877052, 80.8023571 7.0876262, 80.8023177 7.0875702, 80.8021447 7.0874525, 80.8021237 7.0874016, 80.8021965 7.0871468, 80.8021901 7.0870513, 80.8021796 7.0870396, 80.8021071 7.0870033, 80.8020846 7.0869974, 80.8014239 7.0869748, 80.8010975 7.0870647, 80.8008115 7.0872143, 80.8006607 7.0873228, 80.8004126 7.0874293, 80.8001445 7.0877011, 80.7998722 7.0879217, 80.799791 7.087967, 80.79965 7.0879477)",yes,
