osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
1092047009,2,168,Södra Strandgatan,secondary,50,False,False,9.22,"LINESTRING (11.590662 57.8867571, 11.5905158 57.8867282)"
274750766,,168,Södra Strandgatan,secondary,50,False,True,76.271,"LINESTRING (11.590662 57.8867571, 11.5909394 57.8868382, 11.59128 57.8869384, 11.5917943 57.887086)"
431833101,,,Hedvigsholmsgatan,residential,5,False,False,78.982,"LINESTRING (11.590662 57.8867571, 11.5906875 57.8867246, 11.5907056 57.8867, 11.5911003 57.8860862)"
30789009,,,Styrmansgatan,residential,,False,True,29.060000000000002,"LINESTRING (11.5917943 57.887086, 11.5916898 57.887168, 11.5915732 57.887318)"
274750766,,168,Södra Strandgatan,secondary,50,False,False,76.27100000000002,"LINESTRING (11.5917943 57.887086, 11.59128 57.8869384, 11.5909394 57.8868382, 11.590662 57.8867571)"
227461024,,,Skeppargatan,residential,30,False,True,82.462,"LINESTRING (11.5915732 57.887318, 11.590265 57.8870604)"
30789009,,,Styrmansgatan,residential,,False,False,29.060000000000002,"LINESTRING (11.5915732 57.887318, 11.5916898 57.887168, 11.5917943 57.887086)"
30789009,,,Styrmansgatan,residential,,False,True,49.789,"LINESTRING (11.5915732 57.887318, 11.591465 57.8874564, 11.5913794 57.887564, 11.5912425 57.8877298)"
226086280,,,Frederik Bagges gata,residential,,False,True,47.952000000000005,"LINESTRING (11.590042 57.8907194, 11.5900381 57.890568, 11.5901053 57.890402, 11.5901502 57.8902946)"
227461019,,,Rosenbergsg.,residential,30,False,False,137.04399999999998,"LINESTRING (11.590042 57.8907194, 11.5899226 57.8907203, 11.5893318 57.890759, 11.5889585 57.8907461, 11.5885697 57.8906662, 11.5878252 57.8904925)"
227461017,,,Parkgatan,residential,,False,True,39.668,"LINESTRING (11.5909684 57.8878643, 11.5914253 57.8881256)"
30789009,,,Styrmansgatan,residential,,False,False,22.049,"LINESTRING (11.5909684 57.8878643, 11.5909929 57.8878523, 11.5912425 57.8877298)"
227461017,,,Parkgatan,residential,,False,False,70.413,"LINESTRING (11.5909684 57.8878643, 11.5904924 57.8877378, 11.5900005 57.8875827, 11.5899341 57.8875527)"
"[71834730, 226086279]",,,"['Slottsgatan', 'Lilla Varvsgatan']",residential,,False,False,121.469,"LINESTRING (11.5879785 57.8878207, 11.5879241 57.887819, 11.5878913 57.887825, 11.587847 57.8878051, 11.5874323 57.88773, 11.5873763 57.8877213, 11.5873414 57.8876985, 11.5873387 57.8876628, 11.5874434 57.8874818, 11.5875721 57.8872786, 11.5876579 57.8872123, 11.5877411 57.8871752, 11.587851 57.8871716, 11.5880039 57.8871952)"
71834730,,,Slottsgatan,residential,,False,True,64.734,"LINESTRING (11.5879785 57.8878207, 11.5880958 57.8878414, 11.5890264 57.8879898)"
274744707,,,Lilla Varvsgatan,residential,30,False,True,91.062,"LINESTRING (11.5879785 57.8878207, 11.5883164 57.8873078, 11.5883747 57.8872472, 11.5884244 57.887203, 11.5886731 57.8871203)"
71834730,,,Slottsgatan,residential,,False,False,89.136,"LINESTRING (11.5908685 57.888431, 11.589492 57.8881036)"
226086280,,,Frederik Bagges gata,residential,,False,True,47.29,"LINESTRING (11.5908685 57.888431, 11.5914253 57.8881256)"
226086280,,,Frederik Bagges gata,residential,,False,False,91.531,"LINESTRING (11.5908685 57.888431, 11.5907534 57.8885231, 11.5906681 57.8886149, 11.59065 57.8886478, 11.5906118 57.888717, 11.5905721 57.8888216, 11.5905096 57.8890542, 11.5904664 57.8892147)"
