osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
"[507835369, 32794934]",120,Hallandsvägen,secondary,"['60', '80']",False,False,474.17100000000005,2,"LINESTRING (14.1126591 56.5530709, 14.1152222 56.5531831, 14.1163842 56.5532262, 14.1176652 56.553258, 14.1185686 56.5532234, 14.1194722 56.5531644, 14.1197962 56.5531359, 14.1198551 56.5531307, 14.1203642 56.5530858)"
413443818,,,unclassified,,False,True,145.71,,"LINESTRING (14.1126591 56.5530709, 14.1126514 56.5528921, 14.1126093 56.5527935, 14.1125533 56.5527066, 14.1123856 56.5526189, 14.1121636 56.5525938, 14.1118254 56.5525723, 14.1114651 56.5525168, 14.1112748 56.5524483, 14.1110729 56.5523243)"
50059487,,Västra Ringvägen,residential,40,False,False,102.842,,"LINESTRING (14.1192203 56.5460083, 14.1196837 56.5468972)"
70376148,,Blomstervägen,residential,40,False,False,100.544,,"LINESTRING (14.1192203 56.5460083, 14.1190527 56.5460258, 14.1186968 56.5460629, 14.1183572 56.5461124, 14.1181245 56.5461979, 14.1179427 56.5463162, 14.1177747 56.5463711)"
50059487,,Västra Ringvägen,residential,40,False,False,71.866,,"LINESTRING (14.1196837 56.5468972, 14.1198819 56.5475342)"
50059487,,Västra Ringvägen,residential,40,False,True,102.842,,"LINESTRING (14.1196837 56.5468972, 14.1192203 56.5460083)"
70369730,,Snapphanevägen,residential,40,False,False,98.698,,"LINESTRING (14.1196837 56.5468972, 14.1198021 56.5468827, 14.121055 56.5467292, 14.1212427 56.5466832)"
50059487,,Västra Ringvägen,residential,40,False,False,75.88,,"LINESTRING (14.1198819 56.5475342, 14.120065 56.5482091)"
50059487,,Västra Ringvägen,residential,40,False,True,71.866,,"LINESTRING (14.1198819 56.5475342, 14.1196837 56.5468972)"
70376149,,Furugatan,residential,40,False,False,104.28099999999999,,"LINESTRING (14.1198819 56.5475342, 14.119722 56.5475494, 14.1192075 56.547601, 14.1189345 56.5476492, 14.1187592 56.5477214, 14.1185646 56.547834, 14.1184146 56.547929)"
70378255,,Furugatan,residential,40,False,False,218.105,,"LINESTRING (14.1198819 56.5475342, 14.1199844 56.5475228, 14.121286 56.5473782, 14.1218483 56.5473157, 14.1224277 56.547227, 14.1232967 56.5470141)"
50059487,,Västra Ringvägen,residential,40,False,True,75.88,,"LINESTRING (14.120065 56.5482091, 14.1198819 56.5475342)"
50059487,,Västra Ringvägen,residential,40,False,False,80.825,,"LINESTRING (14.120065 56.5482091, 14.1202365 56.5488582, 14.1202583 56.5489281)"
70369874,,Vallgatan,residential,40,False,True,242.821,,"LINESTRING (14.120065 56.5482091, 14.1201725 56.5482003, 14.1218448 56.5480636, 14.1223582 56.5480216, 14.1228203 56.547977, 14.1232822 56.5478721, 14.1239029 56.5477265)"
50059487,,Västra Ringvägen,residential,40,False,False,145.389,,"LINESTRING (14.1204925 56.5508462, 14.1202506 56.5521469)"
50059487,,Västra Ringvägen,residential,40,False,True,136.52700000000002,,"LINESTRING (14.1204925 56.5508462, 14.1205183 56.5502349, 14.120431 56.5496634, 14.1204215 56.5496209)"
300906330,,Maskrosvägen,residential,40,False,True,84.191,,"LINESTRING (14.1204925 56.5508462, 14.1205842 56.5508787, 14.1207363 56.5509325, 14.1212391 56.5510872, 14.1216081 56.5512797)"
50059487,,Västra Ringvägen,residential,40,False,False,15.09,,"LINESTRING (14.1202506 56.5521469, 14.1202341 56.5522823)"
50059487,,Västra Ringvägen,residential,40,False,True,145.389,,"LINESTRING (14.1202506 56.5521469, 14.1204925 56.5508462)"
50059504,,Svanabodavägen,residential,40,False,True,67.748,,"LINESTRING (14.1202506 56.5521469, 14.1201243 56.5521504, 14.1198218 56.5521588, 14.1191525 56.5522114)"
50059494,,Klöxhultsvägen,residential,40,False,False,39.699,,"LINESTRING (14.1225217 56.5463005, 14.1229587 56.546564)"
70369730,,Snapphanevägen,residential,40,False,True,89.751,,"LINESTRING (14.1225217 56.5463005, 14.1218776 56.5465428, 14.1215089 56.5466181, 14.1212427 56.5466832)"
50059494,,Klöxhultsvägen,residential,40,False,False,54.168,,"LINESTRING (14.1229587 56.546564, 14.1232967 56.5470141)"
50059494,,Klöxhultsvägen,residential,40,False,True,39.699,,"LINESTRING (14.1229587 56.546564, 14.1225217 56.5463005)"
50059494,,Klöxhultsvägen,residential,40,False,False,87.497,,"LINESTRING (14.1232967 56.5470141, 14.1239029 56.5477265)"
50059494,,Klöxhultsvägen,residential,40,False,True,54.168,,"LINESTRING (14.1232967 56.5470141, 14.1229587 56.546564)"
70378255,,Furugatan,residential,40,False,True,218.105,,"LINESTRING (14.1232967 56.5470141, 14.1224277 56.547227, 14.1218483 56.5473157, 14.121286 56.5473782, 14.1199844 56.5475228, 14.1198819 56.5475342)"
50059494,,Klöxhultsvägen,residential,40,False,False,70.356,,"LINESTRING (14.1244859 56.5485082, 14.1246645 56.548808, 14.1247903 56.5491175)"
50059494,,Klöxhultsvägen,residential,40,False,True,93.994,,"LINESTRING (14.1244859 56.5485082, 14.1239456 56.5477747, 14.1239029 56.5477265)"
70369719,,Rosengatan,residential,40,False,True,263.299,,"LINESTRING (14.1244859 56.5485082, 14.1220492 56.5487502, 14.1203541 56.5489186, 14.1202583 56.5489281)"
50059504,,Svanabodavägen,residential,40,False,False,64.267,,"LINESTRING (14.1110729 56.5523243, 14.1113045 56.5522764, 14.111599 56.5522978, 14.1120872 56.5523672)"
413443818,,,unclassified,,False,False,145.70999999999998,,"LINESTRING (14.1110729 56.5523243, 14.1112748 56.5524483, 14.1114651 56.5525168, 14.1118254 56.5525723, 14.1121636 56.5525938, 14.1123856 56.5526189, 14.1125533 56.5527066, 14.1126093 56.5527935, 14.1126514 56.5528921, 14.1126591 56.5530709)"
300906321,,Lupinvägen,residential,40,False,True,61.663,,"LINESTRING (14.1153808 56.5526851, 14.1154879 56.5521337)"
50059504,,Svanabodavägen,residential,40,False,False,239.38700000000003,,"LINESTRING (14.1153808 56.5526851, 14.116305 56.5526911, 14.1171532 56.5525871, 14.1174949 56.5525284, 14.1179094 56.5524572, 14.1191525 56.5522114)"
