osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
26567133,119,Glimåkravägen,secondary,40,False,False,61.28,"LINESTRING (14.0805549 56.2542316, 14.0796108 56.2540623)",
"[40117168, 23209355, 40117131]",,Kyrkogatan,residential,30,False,False,359.80100000000004,"LINESTRING (14.0805549 56.2542316, 14.0805244 56.2542748, 14.0804 56.2544509, 14.0800524 56.2550519, 14.0796074 56.2557512, 14.0793432 56.2561664, 14.0786311 56.2572854)",
"[300561904, 26567132, 26567133]",119,Glimåkravägen,secondary,40,False,True,321.147,"LINESTRING (14.0805549 56.2542316, 14.0812402 56.2543747, 14.081701 56.2544856, 14.0825238 56.2547016, 14.0831444 56.2549199, 14.0836347 56.2551035, 14.0841882 56.2553257, 14.0842327 56.2553425, 14.0844292 56.2554263, 14.0846355 56.2555184, 14.0850095 56.2556854)",yes
26567133,119,Glimåkravägen,secondary,40,False,True,61.28,"LINESTRING (14.0796108 56.2540623, 14.0805549 56.2542316)",
26567133,119,Glimåkravägen,secondary,40,False,False,44.829,"LINESTRING (14.0796108 56.2540623, 14.0794126 56.2540336, 14.0792413 56.2540088, 14.0789097 56.2539582)",
39799623,,Kristianstadsvägen,residential,30,False,False,107.61800000000001,"LINESTRING (14.0796108 56.2540623, 14.0796347 56.25401, 14.0796779 56.253747, 14.0796827 56.253689, 14.0797314 56.2530979)",
23209357,M 2115,Storgatan,tertiary,30,False,False,146.145,"LINESTRING (14.0789097 56.2539582, 14.0788709 56.2540232, 14.0783459 56.2547854, 14.0781023 56.2551391, 14.0780711 56.2551871)",
26567133,119,Glimåkravägen,secondary,40,False,True,44.829,"LINESTRING (14.0789097 56.2539582, 14.0792413 56.2540088, 14.0794126 56.2540336, 14.0796108 56.2540623)",
39799655,119;M 2115,Tydingegatan,secondary,40,False,False,52.874,"LINESTRING (14.0789097 56.2539582, 14.0782462 56.2538445, 14.0780982 56.2538084)",
39799610,119,Tydingegatan,secondary,40,False,False,135.78900000000002,"LINESTRING (14.0780982 56.2538084, 14.0779063 56.2538246, 14.0777065 56.2538414, 14.0771419 56.253889, 14.0764092 56.2539644, 14.0760081 56.2539997, 14.0759293 56.2540066)",
