osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
129008200,開蘭路,tertiary,False,True,91.012,"LINESTRING (121.8239055 24.8583367, 121.823493 24.8576088)",,,
85690566,民鋒路,residential,False,False,169.19599999999997,"LINESTRING (121.8239055 24.8583367, 121.8244185 24.85802, 121.8244424 24.8580031, 121.8246154 24.8579093, 121.8253192 24.8575193)",,,
85690566,民鋒路,residential,False,True,100.57499999999999,"LINESTRING (121.8239055 24.8583367, 121.8235901 24.8584615, 121.8229912 24.8586971)",,,
750875896,開蘭路,tertiary,False,True,109.36500000000001,"LINESTRING (121.8239055 24.8583367, 121.8241225 24.8587367, 121.8242551 24.8589752, 121.8243894 24.8592168)",2,,
85644658,青雲路三段,primary,False,False,109.556,"LINESTRING (121.8253192 24.8575193, 121.8246991 24.8567105)",,2,
85644658,青雲路三段,primary,False,True,103.671,"LINESTRING (121.8253192 24.8575193, 121.825852 24.8583165)",,2,
85690566,民鋒路,residential,False,True,169.196,"LINESTRING (121.8253192 24.8575193, 121.8246154 24.8579093, 121.8244424 24.8580031, 121.8244185 24.85802, 121.8239055 24.8583367)",,,
85690565,開蘭路,unclassified,False,True,26.481,"LINESTRING (121.8257618 24.8610306, 121.8259222 24.8612191)",2,,
194075777,開蘭橋,tertiary,False,False,412.778,"LINESTRING (121.8257618 24.8610306, 121.8253112 24.8613524, 121.8245602 24.8619318, 121.8229079 24.8630905, 121.8225712 24.8633529)",,宜3-2,yes
"[750875897, 1028631198, 1028631199]",開蘭路,tertiary,False,False,160.96200000000002,"LINESTRING (121.8257618 24.8610306, 121.82573 24.860994, 121.825434 24.8605907, 121.8253111 24.8604232, 121.8252177 24.8603022, 121.825105 24.8601562, 121.8248589 24.8598374)",2,,yes
85644444,復興路,unclassified,True,False,121.778,"LINESTRING (121.8225712 24.8633529, 121.8226142 24.8632237, 121.8231404 24.8628547, 121.8234457 24.8626298)",,,
194075777,開蘭橋,tertiary,False,True,412.77799999999996,"LINESTRING (121.8225712 24.8633529, 121.8229079 24.8630905, 121.8245602 24.8619318, 121.8253112 24.8613524, 121.8257618 24.8610306)",,宜3-2,yes
1028631197,公園路,residential,False,False,379.293,"LINESTRING (121.8225712 24.8633529, 121.8216569 24.8618775, 121.8214468 24.8615387, 121.8207283 24.8603798)",,,
129008200,開蘭路,tertiary,False,False,70.931,"LINESTRING (121.8223447 24.8556532, 121.8225653 24.8560299, 121.8226746 24.8562165)",,,
1028631200,吉祥路,tertiary,False,False,82.889,"LINESTRING (121.8223447 24.8556532, 121.8218033 24.8560077, 121.8216785 24.8560894)",,宜3,
1028631201,開蘭路,tertiary,False,True,112.296,"LINESTRING (121.8223447 24.8556532, 121.8223218 24.8556145, 121.8222239 24.8554627, 121.8218075 24.8547688)",,,
129008193,和平東路,unclassified,False,False,178.882,"LINESTRING (121.8243894 24.8592168, 121.8244345 24.8591982, 121.8249289 24.8588218, 121.8253326 24.8585996, 121.825852 24.8583165)",,,
750875896,開蘭路,tertiary,False,False,109.365,"LINESTRING (121.8243894 24.8592168, 121.8242551 24.8589752, 121.8241225 24.8587367, 121.8239055 24.8583367)",2,,
750875896,開蘭路,tertiary,False,True,83.85,"LINESTRING (121.8243894 24.8592168, 121.8246071 24.8595443, 121.8248589 24.8598374)",2,,
85644658,青雲路三段,primary,False,True,109.556,"LINESTRING (121.8246991 24.8567105, 121.8253192 24.8575193)",,2,
85644658,青雲路三段,primary,False,False,158.191,"LINESTRING (121.8246991 24.8567105, 121.8241761 24.856125, 121.823705 24.8556104)",,2,
709689237,沙成路,residential,False,False,89.356,"LINESTRING (121.8246991 24.8567105, 121.8250222 24.8564638, 121.8252491 24.8562905, 121.8253105 24.856214, 121.8253464 24.8561676)",,,
