osmid,highway,oneway,reversed,length,bridge,geometry
771263821,tertiary,False,True,113.928,,"LINESTRING (68.7038818 37.8331762, 68.7050654 37.8335956)"
771263821,tertiary,False,False,113.928,,"LINESTRING (68.7050654 37.8335956, 68.7038818 37.8331762)"
"[738896344, 738896334, 738896343]",living_street,False,False,411.64000000000004,yes,"LINESTRING (68.7050654 37.8335956, 68.7051227 37.834294, 68.7051388 37.8346816, 68.7050959 37.8348108, 68.7049403 37.8348977, 68.7048195 37.8350301, 68.7048089 37.8350417, 68.7046936 37.8352515, 68.7044602 37.8360098, 68.7042081 37.8367915, 68.7041893 37.8370118, 68.7042101 37.8371268)"
771263821,tertiary,False,True,518.399,,"LINESTRING (68.7050654 37.8335956, 68.7077218 37.8343135, 68.7105438 37.8351392, 68.7106235 37.8351645)"
738896344,living_street,False,True,110.969,,"LINESTRING (68.7042859 37.8381218, 68.7042564 37.8373825, 68.7042101 37.8371268)"
771263821,tertiary,False,True,103.529,,"LINESTRING (68.7106235 37.8351645, 68.7117176 37.8355112)"
"[738896336, 738896337, 738896335]",living_street,False,False,277.67299999999994,yes,"LINESTRING (68.7106235 37.8351645, 68.7105462 37.8356179, 68.7105113 37.8360607, 68.7104415 37.8363784, 68.7104389 37.8364843, 68.7103852 37.8366474, 68.710412 37.8368868, 68.7105515 37.83723, 68.7105622 37.8374863, 68.7105622 37.8376282)"
771263821,tertiary,False,False,518.399,,"LINESTRING (68.7106235 37.8351645, 68.7105438 37.8351392, 68.7077218 37.8343135, 68.7050654 37.8335956)"
738896337,living_street,False,True,78.603,,"LINESTRING (68.7103906 37.8383209, 68.7105622 37.8376812, 68.7105622 37.8376282)"
738896337,living_street,False,False,78.603,,"LINESTRING (68.7105622 37.8376282, 68.7105622 37.8376812, 68.7103906 37.8383209)"
"[738896336, 738896337, 738896335]",living_street,False,True,277.67299999999994,yes,"LINESTRING (68.7105622 37.8376282, 68.7105622 37.8374863, 68.7105515 37.83723, 68.710412 37.8368868, 68.7103852 37.8366474, 68.7104389 37.8364843, 68.7104415 37.8363784, 68.7105113 37.8360607, 68.7105462 37.8356179, 68.7106235 37.8351645)"
738896338,living_street,False,False,374.574,,"LINESTRING (68.7105622 37.8376282, 68.7100312 37.8377256, 68.7098595 37.8377172, 68.7097308 37.8376706, 68.7095564 37.8375562, 68.7093365 37.8374121, 68.709205 37.8373655, 68.7089851 37.8373126, 68.7088537 37.8372406, 68.7085399 37.8369821, 68.7082582 37.8368889, 68.7080437 37.8368211, 68.7078398 37.8368423, 68.7075233 37.8368677, 68.7071988 37.836836, 68.706724 37.8367449, 68.7066934 37.8367411)"
738896339,living_street,False,False,85.747,,"LINESTRING (68.7066934 37.8367411, 68.7066569 37.8375117)"
