osmid,highway,oneway,reversed,length,geometry,junction,name
242724121,residential,False,True,29.976,"LINESTRING (103.5080277 16.4312191, 103.508074 16.431485)",,
40843796,unclassified,False,False,228.524,"LINESTRING (103.5080277 16.4312191, 103.5068802 16.4314757, 103.506674 16.4315219, 103.505941 16.4316858)",,
40845778,residential,False,False,154.76800000000003,"LINESTRING (103.5080277 16.4312191, 103.5079468 16.4307338, 103.5078915 16.4304019, 103.5078414 16.4301013, 103.5077986 16.4298447)",,
40843765,secondary,True,False,15.461,"LINESTRING (103.5036606 16.434232, 103.5036197 16.4342073, 103.5035726 16.4341969, 103.5035246 16.434202)",roundabout,
546188312,unclassified,True,False,35.17999999999999,"LINESTRING (103.5036606 16.434232, 103.5036583 16.4341597, 103.5036619 16.4340619, 103.5036666 16.4340073, 103.5036908 16.4339189)",,
40843766,unclassified,True,False,36.446,"LINESTRING (103.5036908 16.4339189, 103.5035481 16.434124, 103.5035246 16.434202)",,
546188311,unclassified,False,False,241.375,"LINESTRING (103.5036908 16.4339189, 103.5037141 16.4338862, 103.5040641 16.4333942, 103.5044816 16.4328138, 103.5049691 16.4321276)",,
40843765,secondary,True,False,10.120000000000001,"LINESTRING (103.5037062 16.4343104, 103.5036907 16.4342684, 103.5036606 16.434232)",roundabout,
546188311,unclassified,False,True,32.631,"LINESTRING (103.5051414 16.4318851, 103.5049691 16.4321276)",,
546194990,unclassified,False,False,37.666,"LINESTRING (103.5051414 16.4318851, 103.5047926 16.4319382)",,
546194991,unclassified,True,False,51.085,"LINESTRING (103.5051414 16.4318851, 103.5054677 16.4317987, 103.5055986 16.4317498)",,
40843779,residential,False,False,48.838,"LINESTRING (103.5045702 16.4308218, 103.5049388 16.4310824)",,
40843779,residential,False,True,25.717,"LINESTRING (103.5045702 16.4308218, 103.5043733 16.4306883)",,
968383541,residential,False,True,56.728,"LINESTRING (103.5045702 16.4308218, 103.5044664 16.4310357, 103.5044577 16.4310627, 103.5044577 16.4310898, 103.5044755 16.431221, 103.5044724 16.4312277, 103.5044654 16.4312345, 103.5043987 16.4312621)",,
40843801,unclassified,False,True,213.708,"LINESTRING (103.5014756 16.4314425, 103.5014835 16.4313673, 103.501496 16.431292, 103.5016076 16.4309956, 103.5019938 16.4304194, 103.502163 16.4301846, 103.5024058 16.4298348, 103.5024487 16.4297854)",,
546192883,unclassified,True,False,47.819,"LINESTRING (103.5014756 16.4314425, 103.5014467 16.4315925, 103.5014121 16.4316829, 103.5013755 16.4317585, 103.5013331 16.4318475)",,
40843787,residential,False,False,108.851,"LINESTRING (103.501859 16.4347844, 103.5017423 16.4338119)",,
546198331,secondary,False,True,3.503,"LINESTRING (103.501859 16.4347844, 103.5018267 16.4347901)",,ถนนกาฬสินธุ์
546198331,secondary,False,False,133.464,"LINESTRING (103.501859 16.4347844, 103.502319 16.4347023, 103.503091 16.434574)",,ถนนกาฬสินธุ์
40843787,residential,False,False,67.639,"LINESTRING (103.5017423 16.4338119, 103.5016707 16.4332075)",,
