osmid,highway,oneway,reversed,length,geometry
97379899,residential,False,False,35.207,"LINESTRING (10.208395 36.6272073, 10.2086672 36.6274365)"
97379899,residential,False,True,50.288,"LINESTRING (10.208395 36.6272073, 10.2081831 36.6270307, 10.2080016 36.6268835)"
721983747,residential,False,False,156.124,"LINESTRING (10.208395 36.6272073, 10.2086323 36.6270727, 10.2088416 36.6269586, 10.20904 36.6268467, 10.2092224 36.6267219, 10.209386 36.6265949, 10.2094826 36.6264851, 10.2095443 36.6263753, 10.209602 36.6262397)"
97379899,residential,False,True,35.207,"LINESTRING (10.2086672 36.6274365, 10.208395 36.6272073)"
720209526,residential,False,False,241.94800000000004,"LINESTRING (10.2086672 36.6274365, 10.2094169 36.6276916, 10.2099198 36.6278536, 10.2103268 36.6279806, 10.2107077 36.6280855, 10.2109243 36.628142, 10.2111965 36.6282174)"
721867790,unclassified,False,False,157.748,"LINESTRING (10.2086672 36.6274365, 10.2090052 36.6272449, 10.2092037 36.6271351, 10.2093887 36.6270189, 10.2095416 36.6268962, 10.2096449 36.6267972, 10.2097602 36.6266659, 10.2099037 36.6264539)"
721968712,residential,False,False,35.947,"LINESTRING (10.2099037 36.6264539, 10.209602 36.6262397)"
721867790,unclassified,False,True,157.748,"LINESTRING (10.2099037 36.6264539, 10.2097602 36.6266659, 10.2096449 36.6267972, 10.2095416 36.6268962, 10.2093887 36.6270189, 10.2092037 36.6271351, 10.2090052 36.6272449, 10.2086672 36.6274365)"
721968712,residential,False,True,35.947,"LINESTRING (10.209602 36.6262397, 10.2099037 36.6264539)"
721983747,residential,False,True,156.12400000000002,"LINESTRING (10.209602 36.6262397, 10.2095443 36.6263753, 10.2094826 36.6264851, 10.209386 36.6265949, 10.2092224 36.6267219, 10.20904 36.6268467, 10.2088416 36.6269586, 10.2086323 36.6270727, 10.208395 36.6272073)"
720209526,residential,False,True,241.948,"LINESTRING (10.2111965 36.6282174, 10.2109243 36.628142, 10.2107077 36.6280855, 10.2103268 36.6279806, 10.2099198 36.6278536, 10.2094169 36.6276916, 10.2086672 36.6274365)"
97379899,residential,False,False,33.302,"LINESTRING (10.207736 36.6266732, 10.2078156 36.6267326, 10.2080016 36.6268835)"
721983750,residential,False,True,99.618,"LINESTRING (10.2088992 36.6263516, 10.2086565 36.6265109, 10.2084017 36.6266551, 10.2080016 36.6268835)"
97379899,residential,False,False,50.288,"LINESTRING (10.2080016 36.6268835, 10.2081831 36.6270307, 10.208395 36.6272073)"
97379899,residential,False,True,33.302,"LINESTRING (10.2080016 36.6268835, 10.2078156 36.6267326, 10.207736 36.6266732)"
721983750,residential,False,False,99.61800000000001,"LINESTRING (10.2080016 36.6268835, 10.2084017 36.6266551, 10.2086565 36.6265109, 10.2088992 36.6263516)"
