osmid,highway,oneway,reversed,length,bridge,geometry,ref,name
494975845,tertiary,False,False,9.24,,"LINESTRING (31.951789 41.2158923, 31.9518948 41.2159162)",,
"[494975794, 970276652, 494975845]",tertiary,False,True,70.362,yes,"LINESTRING (31.951789 41.2158923, 31.9516317 41.2158595, 31.9510625 41.2157459, 31.9509755 41.2157315)",,
494975828,tertiary,True,False,11.009,,"LINESTRING (31.9544664 41.2213949, 31.9544656 41.2212959)",,
"[494975793, 77512853, 77512854]",tertiary,False,True,76.942,yes,"LINESTRING (31.9544664 41.2213949, 31.9543943 41.2214698, 31.9541125 41.221896, 31.9540379 41.222006)",,
1093525720,trunk,True,False,707.847,,"LINESTRING (31.9544664 41.2213949, 31.9541193 41.221233, 31.9536723 41.2210681, 31.9532038 41.2208418, 31.9528126 41.2205023, 31.952516 41.2200723, 31.952112 41.2189278, 31.9515962 41.2179223, 31.9514673 41.2175408, 31.9514501 41.2172013, 31.951536 41.2166484, 31.951789 41.2158923)",D750,Devrek - Ankara Yolu
494975799,tertiary,False,True,45.234,,"LINESTRING (31.9563698 41.2190304, 31.9558688 41.2188772)",,
494975812,tertiary,False,False,17.52,,"LINESTRING (31.9563698 41.2190304, 31.9565769 41.2190068)",,
77512848,tertiary,True,False,84.43299999999999,,"LINESTRING (31.9563698 41.2190304, 31.9560708 41.2191932, 31.955672 41.2195389, 31.9556511 41.219557)",,
494975812,tertiary,False,True,16.185,,"LINESTRING (31.9616975 41.221017, 31.9615218 41.220956)",,
31902355,tertiary,False,True,18.205,,"LINESTRING (31.9540379 41.222006, 31.9541343 41.222071, 31.9541956 41.2221187)",,
"[494975793, 77512853, 77512854]",tertiary,False,False,76.942,yes,"LINESTRING (31.9540379 41.222006, 31.9541125 41.221896, 31.9543943 41.2214698, 31.9544664 41.2213949)",,
"[494975795, 494975843, 425151740]",tertiary,False,True,528.702,yes,"LINESTRING (31.9540379 41.222006, 31.9523424 41.2211732, 31.9521849 41.221059, 31.9519988 41.2209125, 31.9519106 41.2207518, 31.9513392 41.2194906, 31.9510075 41.218458, 31.9509565 41.2182866, 31.9508618 41.2181898)",,
494975845,tertiary,False,False,43.769,,"LINESTRING (31.9518948 41.2159162, 31.9523872 41.2160494)",,
494975845,tertiary,False,True,9.24,,"LINESTRING (31.9518948 41.2159162, 31.951789 41.2158923)",,
1093525719,trunk,True,False,56.673,,"LINESTRING (31.9518948 41.2159162, 31.9517323 41.216411)",D750,Devrek - Ankara Yolu
494975787,residential,False,False,157.65,,"LINESTRING (31.9549124 41.2215066, 31.9558353 41.221303, 31.9566023 41.2210811, 31.9566981 41.2210562)",,
"[494975795, 425151740, 494975843]",tertiary,False,False,528.702,yes,"LINESTRING (31.9508618 41.2181898, 31.9509565 41.2182866, 31.9510075 41.218458, 31.9513392 41.2194906, 31.9519106 41.2207518, 31.9519988 41.2209125, 31.9521849 41.221059, 31.9523424 41.2211732, 31.9540379 41.222006)",,
494975838,unclassified,False,True,243.153,,"LINESTRING (31.9508618 41.2181898, 31.9507894 41.2176511, 31.9507337 41.2172555, 31.9505543 41.2170693, 31.9506144 41.2160528)",,
494975804,tertiary,False,False,51.901,,"LINESTRING (31.9552852 41.2159132, 31.9553288 41.2163788)",,
494975804,tertiary,False,True,108.977,,"LINESTRING (31.9552852 41.2159132, 31.9551679 41.2156688, 31.955071 41.2152356, 31.9550996 41.2149555)",,
494975816,tertiary,False,True,202.79800000000003,,"LINESTRING (31.9552852 41.2159132, 31.955764 41.2159709, 31.9568158 41.2161571, 31.9574902 41.216306, 31.957618 41.2163736)",,
494975819,residential,False,False,129.892,,"LINESTRING (31.9552852 41.2159132, 31.9544708 41.2158127, 31.9537659 41.215677)",,
494975838,unclassified,False,False,243.15300000000002,,"LINESTRING (31.9506144 41.2160528, 31.9505543 41.2170693, 31.9507337 41.2172555, 31.9507894 41.2176511, 31.9508618 41.2181898)",,
1041389715,tertiary,True,False,29.728,,"LINESTRING (31.9506144 41.2160528, 31.9506064 41.2158879, 31.9505879 41.2158415, 31.9505723 41.2157889)",,
494975847,residential,False,True,27.127,,"LINESTRING (31.9517323 41.216411, 31.9519338 41.2164105, 31.9520436 41.2164519)",,
1093525719,trunk,True,False,220.602,,"LINESTRING (31.9517323 41.216411, 31.9516479 41.2166638, 31.9515638 41.2172046, 31.9515802 41.2175285, 31.9517045 41.2178963, 31.9519319 41.2183396)",D750,Devrek - Ankara Yolu
494975847,residential,False,False,3.616,,"LINESTRING (31.9520823 41.2164664, 31.9520436 41.2164519)",,
494975830,residential,False,True,42.105000000000004,,"LINESTRING (31.9520823 41.2164664, 31.9523422 41.2165083, 31.952537 41.2166106)",,
494975847,residential,False,True,142.52200000000002,,"LINESTRING (31.9520823 41.2164664, 31.9524098 41.2169622, 31.9525239 41.2170838, 31.9526598 41.2171894, 31.9528325 41.2172844, 31.9531269 41.2174412)",,
494975804,tertiary,False,True,51.901,,"LINESTRING (31.9553288 41.2163788, 31.9552852 41.2159132)",,
494975804,tertiary,False,False,148.453,,"LINESTRING (31.9553288 41.2163788, 31.9553989 41.2173998, 31.9554226 41.217712)",,
494975845,tertiary,False,True,155.92700000000002,,"LINESTRING (31.9553288 41.2163788, 31.955055 41.2164268, 31.9547841 41.2164449, 31.9543516 41.2164096, 31.9535024 41.2162477)",,
494975816,tertiary,False,False,340.53399999999993,,"LINESTRING (31.9599971 41.2165185, 31.9601746 41.2165755, 31.9603339 41.2166616, 31.9607213 41.2168321, 31.9609745 41.2169927, 31.9610354 41.2170826, 31.9610231 41.2171717, 31.9610045 41.2173346, 31.9609241 41.217423, 31.9607178 41.2174314, 31.9600005 41.2173434, 31.9592686 41.2172778, 31.9590907 41.2172043, 31.9589128 41.217114, 31.9588309 41.2170757, 31.958749 41.2170267)",,
494975816,tertiary,False,True,167.13400000000001,,"LINESTRING (31.9599971 41.2165185, 31.9597972 41.2163658, 31.9592171 41.2158896, 31.9586977 41.2153791)",,
494975816,tertiary,False,False,91.05199999999999,,"LINESTRING (31.9580656 41.2147143, 31.9582031 41.2148466, 31.9583161 41.2150003, 31.9586977 41.2153791)",,
494975849,residential,False,True,135.211,,"LINESTRING (31.9580656 41.2147143, 31.9578862 41.2147469, 31.9576711 41.21474, 31.9575656 41.2146993, 31.9574515 41.2146854, 31.9572736 41.2147469, 31.957196 41.2148946, 31.9571867 41.2149841, 31.9570942 41.2150401, 31.9570323 41.2151146, 31.956814 41.2150903)",,
494975835,unclassified,False,True,29.756,,"LINESTRING (31.9554519 41.2149184, 31.9550996 41.2149555)",,
494975784,residential,False,False,120.264,,"LINESTRING (31.9554519 41.2149184, 31.9555783 41.2149051, 31.9562589 41.2149517, 31.956597 41.2149472, 31.956814 41.2150903)",,
494975835,unclassified,False,False,29.756,,"LINESTRING (31.9550996 41.2149555, 31.9554519 41.2149184)",,
494975804,tertiary,False,False,108.977,,"LINESTRING (31.9550996 41.2149555, 31.955071 41.2152356, 31.9551679 41.2156688, 31.9552852 41.2159132)",,
