osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access
257654268,True,3,US 24,Telegraph Road,primary,50 mph,False,28.078,"LINESTRING (-83.2807005 42.575512, -83.2806214 42.5752663)",
399398585,True,,,Andover Road,residential,25 mph,False,54.532,"LINESTRING (-83.2807005 42.575512, -83.2808508 42.5753811, -83.2809267 42.5753155, -83.2809978 42.575261, -83.2810799 42.5752329, -83.281196 42.575203)",
54223169,True,1,,,primary_link,,False,30.588,"LINESTRING (-83.2809974 42.5770743, -83.2808867 42.5770179, -83.2807782 42.5770077, -83.2806515 42.5770277)",
"[257654268, 606446023]",True,3,US 24,Telegraph Road,primary,50 mph,False,37.998999999999995,"LINESTRING (-83.2809974 42.5770743, -83.2809877 42.5769454, -83.2809774 42.5767329)",
8695158,False,,,Andover Road,residential,25 mph,False,10.241,"LINESTRING (-83.2845282 42.5767761, -83.2845276 42.576684)",
"[1175223584, 8695158]",False,,,Andover Road,residential,25 mph,True,164.925,"LINESTRING (-83.2845282 42.5767761, -83.284521 42.576946, -83.28453 42.577064, -83.284546 42.577133, -83.284579 42.577202, -83.284617 42.57726, -83.284658 42.577408, -83.2846565 42.577429, -83.2846526 42.5774822, -83.284644 42.5776, -83.2846444 42.5776391, -83.2846399 42.5778407, -83.284626 42.578244)",
1269260796,True,,,Copperwood Drive,residential,,False,46.529,"LINESTRING (-83.2845282 42.5767761, -83.2849244 42.576777, -83.2850904 42.5767437)",
8688068,False,,,Exeter Street,residential,,False,146.531,"LINESTRING (-83.2828372 42.5782822, -83.2833046 42.5782685, -83.2836573 42.5782628, -83.2838122 42.5782603, -83.2843294 42.5782499, -83.284626 42.578244)",
8688068,False,,,Exeter Street,residential,,True,145.745,"LINESTRING (-83.2828372 42.5782822, -83.2826106 42.5782891, -83.2825773 42.5782901, -83.282352 42.578297, -83.2822386 42.5783009, -83.2821183 42.578305, -83.2818696 42.5783134, -83.2812953 42.5783332, -83.281059 42.578341)",
8688068,False,,,Exeter Street,residential,,False,145.74500000000003,"LINESTRING (-83.281059 42.578341, -83.2812953 42.5783332, -83.2818696 42.5783134, -83.2821183 42.578305, -83.2822386 42.5783009, -83.282352 42.578297, -83.2825773 42.5782901, -83.2826106 42.5782891, -83.2828372 42.5782822)",
399226852,True,1,,,primary_link,,False,34.084,"LINESTRING (-83.281059 42.578341, -83.2809021 42.5783586, -83.2808288 42.578379, -83.2807622 42.5784081, -83.2806783 42.5784505)",no
"[606446024, 503329918, 503329903]",True,"['4', '5']",US 24,Telegraph Road,primary,50 mph,False,140.945,"LINESTRING (-83.281059 42.578341, -83.2810387 42.5780069, -83.2810305 42.5777591, -83.2810187 42.5774567, -83.2809974 42.5770743)",
257654268,True,3,US 24,Telegraph Road,primary,50 mph,False,137.926,"LINESTRING (-83.2809774 42.5767329, -83.2809594 42.5765295, -83.2809571 42.5765042, -83.28095 42.576424, -83.280855 42.575999, -83.280712 42.575547, -83.2807005 42.575512)",
606443791,True,3,US 24,Telegraph Road,primary,50 mph,False,142.939,"LINESTRING (-83.2806515 42.5770277, -83.280661 42.577328, -83.280669 42.577575, -83.280677 42.578313)",
606443791,True,3,US 24,Telegraph Road,primary,50 mph,False,36.115,"LINESTRING (-83.2806412 42.576703, -83.2806515 42.5770277)",
54223045,True,1,,,primary_link,,False,29.499,"LINESTRING (-83.2806412 42.576703, -83.2807448 42.5767467, -83.2808129 42.5767593, -83.2808704 42.57676, -83.2809774 42.5767329)",
8688068,False,,,Exeter Street,residential,,True,146.531,"LINESTRING (-83.284626 42.578244, -83.2843294 42.5782499, -83.2838122 42.5782603, -83.2836573 42.5782628, -83.2833046 42.5782685, -83.2828372 42.5782822)",
"[1175223584, 8695158]",False,,,Andover Road,residential,25 mph,False,164.925,"LINESTRING (-83.284626 42.578244, -83.2846399 42.5778407, -83.2846444 42.5776391, -83.284644 42.5776, -83.2846526 42.5774822, -83.2846565 42.577429, -83.284658 42.577408, -83.284617 42.57726, -83.284579 42.577202, -83.284546 42.577133, -83.28453 42.577064, -83.284521 42.576946, -83.2845282 42.5767761)",
8695158,False,,,Andover Road,residential,25 mph,True,10.241,"LINESTRING (-83.2845276 42.576684, -83.2845282 42.5767761)",
8695158,False,,,Andover Road,residential,25 mph,False,352.049,"LINESTRING (-83.2845276 42.576684, -83.2845268 42.5765843, -83.284524 42.576472, -83.284516 42.57638, -83.284489 42.576263, -83.284439 42.576167, -83.284353 42.576095, -83.284283 42.57605, -83.28418 42.576008, -83.284 42.575982, -83.283299 42.575914, -83.283108 42.575886, -83.282946 42.575842, -83.282873 42.575813, -83.282671 42.575715, -83.282237 42.575491, -83.281985 42.57537, -83.281779 42.575284, -83.281351 42.575213, -83.281196 42.575203)",
