osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,width
"[996190385, 11788764]",CR 9,West Saint Clair Avenue,tertiary,False,True,177.146,5,"LINESTRING (-81.695163 41.501325, -81.6953047 41.5012536, -81.6958433 41.5009834, -81.6963589 41.5007245, -81.6965838 41.5006116, -81.69682 41.5004956, -81.6969298 41.5004379)",,
"[1078054808, 11794505]",,Ontario Street,tertiary,False,False,219.001,3,"LINESTRING (-81.695163 41.501325, -81.6952566 41.5014329, -81.6960115 41.5022758, -81.6965333 41.5028584, -81.696625 41.5029621)",,
11809856,CR 9,Saint Clair Avenue Northeast,tertiary,False,True,125.926,,"LINESTRING (-81.695163 41.501325, -81.6950164 41.5013997, -81.6940002 41.5019231, -81.6939166 41.5019662)",,
222026884,,Ontario Street,tertiary,False,True,132.755,,"LINESTRING (-81.695163 41.501325, -81.6950741 41.5012244, -81.6943511 41.5004059, -81.6942834 41.5003293)",,
11809360,,Huron Road East,tertiary,False,False,110.892,2,"LINESTRING (-81.6903028 41.4965774, -81.6900742 41.4966733, -81.689973 41.496731, -81.6897497 41.4968501, -81.6893395 41.497069, -81.6892079 41.4971429)",25 mph,
"[222069488, 690557376]",US 422;SR 8;SR 14;SR 43;SR 87,Ontario Street,primary,False,False,215.34099999999998,"['7', '6']","LINESTRING (-81.6903028 41.4965774, -81.6905829 41.4966948, -81.6911268 41.4969481, -81.691232 41.4969967, -81.6912931 41.4970305, -81.6913463 41.497073, -81.6914107 41.4971433, -81.6915177 41.4972586, -81.691641 41.4973859, -81.6919895 41.4977761, -81.6921098 41.4979039)",,
1053591849,,West Huron Road,tertiary,False,True,249.797,6,"LINESTRING (-81.6903028 41.4965774, -81.6903614 41.496558, -81.6904273 41.4965407, -81.6904764 41.4965325, -81.690515 41.4965274, -81.6905655 41.4965262, -81.6906135 41.4965269, -81.6906647 41.4965305, -81.6912234 41.4965664, -81.6932779 41.4967237)",25 mph,
55553579,,West 9th Street,tertiary,False,False,95.264,4,"LINESTRING (-81.6994939 41.4978738, -81.6993236 41.4976818, -81.699127 41.4974729, -81.6988918 41.4972235, -81.6988465 41.4971677)",25 mph,
1053591850,,West 9th Street,tertiary,False,False,17.976,4,"LINESTRING (-81.6988465 41.4971677, -81.6986431 41.4971136)",25 mph,
55553579,,West 9th Street,tertiary,False,True,95.264,4,"LINESTRING (-81.6988465 41.4971677, -81.6988918 41.4972235, -81.699127 41.4974729, -81.6993236 41.4976818, -81.6994939 41.4978738)",25 mph,
365743942,,Olde Superior Avenue,unclassified,False,False,49.804,,"LINESTRING (-81.6988465 41.4971677, -81.6990287 41.4970911, -81.699074 41.4970735, -81.699398 41.4970013)",,
222026607,CR 9,West Saint Clair Avenue,tertiary,False,False,80.09200000000001,5,"LINESTRING (-81.6985363 41.4996313, -81.6984098 41.4996951, -81.6977375 41.5000324)",25 mph,
651621881,,West 6th Street,tertiary,False,True,117.507,4,"LINESTRING (-81.6985363 41.4996313, -81.698444 41.4995312, -81.697964 41.4990119, -81.6977884 41.4988218, -81.697734 41.498762)",25 mph,
