osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
158677568,Vanguard Place,residential,False,False,266.274,"LINESTRING (-117.9018746 33.6622896, -117.9023402 33.6622764, -117.902517 33.6622714, -117.9031695 33.6622724, -117.9036303 33.6622731, -117.9047513 33.6622678)",,
13349757,Tulane Place,residential,False,True,52.903,"LINESTRING (-117.9086772 33.6598671, -117.9081056 33.6598685)",,
13358777,Columbia Drive,residential,False,False,79.582,"LINESTRING (-117.9086772 33.6598671, -117.9086756 33.6605828)",,
13358777,Columbia Drive,residential,False,True,81.433,"LINESTRING (-117.9086772 33.6598671, -117.90866 33.6591349)",,
13318498,Amherst Place,residential,False,False,54.34,"LINESTRING (-117.9080729 33.6591396, -117.90866 33.6591349)",,
13318498,Amherst Place,residential,False,True,54.34,"LINESTRING (-117.90866 33.6591349, -117.9080729 33.6591396)",,
13358777,Columbia Drive,residential,False,False,81.433,"LINESTRING (-117.90866 33.6591349, -117.9086772 33.6598671)",,
13323004,Dartmouth Place,residential,False,False,56.41,"LINESTRING (-117.9080661 33.6605839, -117.9086756 33.6605828)",,
13323004,Dartmouth Place,residential,False,True,56.41,"LINESTRING (-117.9086756 33.6605828, -117.9080661 33.6605839)",,
13358777,Columbia Drive,residential,False,False,106.339,"LINESTRING (-117.9086756 33.6605828, -117.9087005 33.6615389)",,
13358777,Columbia Drive,residential,False,True,79.582,"LINESTRING (-117.9086756 33.6605828, -117.9086772 33.6598671)",,
13349757,Tulane Place,residential,False,False,52.903,"LINESTRING (-117.9081056 33.6598685, -117.9086772 33.6598671)",,
13358777,Columbia Drive,residential,False,True,106.339,"LINESTRING (-117.9087005 33.6615389, -117.9086756 33.6605828)",,
13363173,Loyola Road,residential,False,True,88.154,"LINESTRING (-117.9087005 33.6615389, -117.9078658 33.6615404, -117.907748 33.6615406)",,
664219899,Princeton Drive,residential,False,False,18.548,"LINESTRING (-117.9075753 33.6653452, -117.9077757 33.6653427)",,
"[401461827, 401461828, 401461813, 914053724]",Fairview Road,secondary,True,False,230.447,"LINESTRING (-117.9075753 33.6653452, -117.9075854 33.6662769, -117.9075883 33.6665548, -117.9075927 33.6669778, -117.9075994 33.6672503, -117.9076035 33.6674175)","['4', '5', '6']",
"[764100105, 764100106, 764100103]",Fair Drive,secondary,True,False,195.125,"LINESTRING (-117.9000905 33.6639057, -117.8999935 33.6638648, -117.899578 33.6638504, -117.8991951 33.6638163, -117.8990137 33.6637884, -117.8987655 33.6637327, -117.8984853 33.6636413, -117.8982147 33.6635318, -117.8981847 33.6635197, -117.898075 33.6634753)","['4', '3', '2']",55 mph
"[406269249, 406269255, 764100104, 1270197545, 406269261, 406269239, 406269242, 406269247]",Fair Drive,secondary,False,False,432.943,"LINESTRING (-117.9000905 33.6639057, -117.9005494 33.6639062, -117.901034 33.6638974, -117.901627 33.6638753, -117.9021396 33.6638718, -117.9022647 33.6638719, -117.9025718 33.6638722, -117.903072 33.6638726, -117.9038857 33.6638723, -117.9039505 33.6638721, -117.9042871 33.6638715, -117.9047678 33.6638706)","['5', '6']",
"[914053729, 914053730, 914053731, 401284699, 401284700, 401284701, 401284702]",Fair Drive,secondary,False,False,257.54400000000004,"LINESTRING (-117.9047678 33.6638706, -117.9050082 33.6638683, -117.9052533 33.663866, -117.9056264 33.6638625, -117.9058246 33.6638587, -117.9061479 33.6638603, -117.9064073 33.6638572, -117.9068381 33.6638534, -117.9071703 33.66385, -117.9073942 33.6638518, -117.9074281 33.6638514, -117.9075504 33.6638499)","['5', '6']",
"[406269249, 406269255, 764100104, 1270197545, 406269261, 406269239, 406269242, 406269247]",Fair Drive,secondary,False,True,432.943,"LINESTRING (-117.9047678 33.6638706, -117.9042871 33.6638715, -117.9039505 33.6638721, -117.9038857 33.6638723, -117.903072 33.6638726, -117.9025718 33.6638722, -117.9022647 33.6638719, -117.9021396 33.6638718, -117.901627 33.6638753, -117.901034 33.6638974, -117.9005494 33.6639062, -117.9000905 33.6639057)","['5', '6']",
"[1184219672, 1184219673, 158677569]",Vanguard Way,tertiary,False,True,123.22300000000001,"LINESTRING (-117.9047678 33.6638706, -117.9047614 33.6634286, -117.9047597 33.6632984, -117.904759 33.663244, -117.9047573 33.6631216, -117.9047522 33.6627625)","['3', '2']",30 mph
406260418,Newport Boulevard,primary,True,False,39.338,"LINESTRING (-117.898075 33.6634753, -117.8981502 33.6634016, -117.8983505 33.6632059)",3,45 mph
158662293,,motorway_link,True,False,431.45300000000003,"LINESTRING (-117.8983505 33.6632059, -117.8990786 33.6622533, -117.8996937 33.6614754, -117.9009496 33.6599857)",,
158677568,Vanguard Place,residential,False,True,266.274,"LINESTRING (-117.9047513 33.6622678, -117.9036303 33.6622731, -117.9031695 33.6622724, -117.902517 33.6622714, -117.9023402 33.6622764, -117.9018746 33.6622896)",,
158677569,Vanguard Way,tertiary,False,False,55.009,"LINESTRING (-117.9047513 33.6622678, -117.9047511 33.6623244, -117.9047521 33.662729, -117.9047522 33.6627625)",3,30 mph
158677554,Clearbrook Lane,residential,False,True,139.548,"LINESTRING (-117.9062599 33.6627464, -117.9047522 33.6627625)",,
158677554,Clearbrook Lane,residential,False,False,139.548,"LINESTRING (-117.9047522 33.6627625, -117.9062599 33.6627464)",,
"[1184219672, 158677569, 1184219673]",Vanguard Way,tertiary,False,False,123.223,"LINESTRING (-117.9047522 33.6627625, -117.9047573 33.6631216, -117.904759 33.663244, -117.9047597 33.6632984, -117.9047614 33.6634286, -117.9047678 33.6638706)","['3', '2']",30 mph
158677569,Vanguard Way,tertiary,False,True,55.009,"LINESTRING (-117.9047522 33.6627625, -117.9047521 33.662729, -117.9047511 33.6623244, -117.9047513 33.6622678)",3,30 mph
13363173,Loyola Road,residential,False,True,13.531,"LINESTRING (-117.907748 33.6615406, -117.9076018 33.6615408)",,
13363173,Loyola Road,residential,False,False,88.154,"LINESTRING (-117.907748 33.6615406, -117.9078658 33.6615404, -117.9087005 33.6615389)",,
13363173,Loyola Road,residential,False,False,13.531,"LINESTRING (-117.9076018 33.6615408, -117.907748 33.6615406)",,
"[401461856, 914053732, 401461806, 401461854]",Fairview Road,secondary,True,False,256.855,"LINESTRING (-117.9076018 33.6615408, -117.9076112 33.6622217, -117.9076028 33.6625285, -117.9075894 33.6628814, -117.9075782 33.6631323, -117.9075751 33.6632022, -117.9075724 33.6632644, -117.9075658 33.6634345, -117.9075568 33.6636628, -117.9075552 33.6637108, -117.9075504 33.6638499)","['4', '5']",40 mph
401284689,Fair Drive,secondary,False,False,17.07,"LINESTRING (-117.9077348 33.6638467, -117.9075504 33.6638499)",,
"[401461848, 401461840, 401461804, 914053733]",Fairview Road,secondary,True,False,256.439,"LINESTRING (-117.9077348 33.6638467, -117.907734 33.66369, -117.9077465 33.662763, -117.9077499 33.6625298, -117.9077535 33.6619823, -117.907748 33.6615406)","['4', '5']",40 mph
401284689,Fair Drive,secondary,False,True,17.07,"LINESTRING (-117.9075504 33.6638499, -117.9077348 33.6638467)",,
"[914053729, 914053730, 914053731, 401284699, 401284700, 401284701, 401284702]",Fair Drive,secondary,False,True,257.544,"LINESTRING (-117.9075504 33.6638499, -117.9074281 33.6638514, -117.9073942 33.6638518, -117.9071703 33.66385, -117.9068381 33.6638534, -117.9064073 33.6638572, -117.9061479 33.6638603, -117.9058246 33.6638587, -117.9056264 33.6638625, -117.9052533 33.663866, -117.9050082 33.6638683, -117.9047678 33.6638706)","['5', '6']",
"[914053728, 401461812, 401461823]",Fairview Road,secondary,True,False,166.286,"LINESTRING (-117.9075504 33.6638499, -117.9075525 33.6639904, -117.907569 33.6649576, -117.9075705 33.6650458, -117.9075753 33.6653452)","['4', '3']",
664219899,Princeton Drive,residential,False,True,18.548,"LINESTRING (-117.9077757 33.6653427, -117.9075753 33.6653452)",,
"[401461825, 401461808, 664219897, 914053726, 914053727]",Fairview Road,secondary,True,False,166.39100000000002,"LINESTRING (-117.9077757 33.6653427, -117.9077594 33.6648203, -117.9077528 33.6645945, -117.9077514 33.6645456, -117.9077428 33.6642427, -117.9077385 33.664031, -117.907737 33.6639848, -117.9077348 33.6638467)","['4', '5', '6']",
914053722,,tertiary,False,True,16.741,"LINESTRING (-117.9077844 33.6674181, -117.9076035 33.6674175)",,
"[664219898, 401461853]",Fairview Road,secondary,True,False,230.777,"LINESTRING (-117.9077844 33.6674181, -117.9077741 33.6657736, -117.9077757 33.6653427)","['4', '5']",
914053722,,tertiary,False,False,16.741,"LINESTRING (-117.9076035 33.6674175, -117.9077844 33.6674181)",,
764100107,Newport Boulevard,primary,True,False,15.607,"LINESTRING (-117.8979692 33.6635846, -117.898075 33.6634753)",4,
"[158612546, 406269253]",Fair Drive,secondary,True,False,67.847,"LINESTRING (-117.8979692 33.6635846, -117.8980701 33.6636247, -117.8982558 33.6636979, -117.8984302 33.6637667, -117.8986382 33.6638332)",4,55 mph
"[158612546, 406269258]",Fair Drive,secondary,True,False,138.361,"LINESTRING (-117.8986382 33.6638332, -117.8987362 33.6638645, -117.8991672 33.6639476, -117.8995697 33.6639786, -117.8998527 33.6639809, -117.8999875 33.663963, -117.9000905 33.6639057)",4,55 mph
