osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
17426399,Enright Drive,residential,False,True,40.272999999999996,"LINESTRING (-87.5172112 41.6132461, -87.5172718 41.6132535, -87.5174185 41.6132998, -87.5174828 41.6133088, -87.5176811 41.6133046)",,,
161493152,Hyles Avenue,residential,False,False,89.963,"LINESTRING (-87.5172112 41.6132461, -87.5171244 41.6133368, -87.5169665 41.6134529, -87.5168231 41.6135712, -87.5167678 41.613626, -87.516695 41.6136983, -87.51654 41.6138772)",,,
17411367,Douglas Street,tertiary,False,True,88.262,"LINESTRING (-87.5164774 41.6148689, -87.5168087 41.6148681, -87.5175391 41.6148663)",,,
161493160,Hyles Avenue,residential,False,True,75.211,"LINESTRING (-87.5164774 41.6148689, -87.5164865 41.6148186, -87.5164911 41.6147928, -87.516487 41.6144818, -87.5164757 41.6143459, -87.5164112 41.6142013)",,,
17429893,Industrial Road,residential,False,False,84.331,"LINESTRING (-87.5216023 41.6217419, -87.5207161 41.6213727)",,,
17408864,Industrial Road,residential,False,False,45.535000000000004,"LINESTRING (-87.5216023 41.6217419, -87.5216509 41.6216642, -87.5216755 41.6216263, -87.5216982 41.6215912, -87.5217183 41.6215597, -87.521839 41.6213726)",,,
17424558,Willow Court,tertiary,False,True,66.526,"LINESTRING (-87.521839 41.6213726, -87.5225519 41.6216445)",,,
17408864,Industrial Road,residential,False,True,45.535,"LINESTRING (-87.521839 41.6213726, -87.5217183 41.6215597, -87.5216982 41.6215912, -87.5216755 41.6216263, -87.5216509 41.6216642, -87.5216023 41.6217419)",,,
17424558,Willow Court,tertiary,False,False,162.82,"LINESTRING (-87.521839 41.6213726, -87.5213256 41.6211762, -87.5211028 41.6210909, -87.5204375 41.6208282, -87.5203691 41.6207881, -87.5203021 41.620736, -87.5202551 41.6206949, -87.5202198 41.6206545, -87.5201921 41.6206157)",,,
17411100,Ogden Street,tertiary,False,True,259.827,"LINESTRING (-87.5220169 41.6138409, -87.5227478 41.6138422, -87.5227808 41.6138423, -87.5230839 41.6138428, -87.5236579 41.6138438, -87.5239878 41.6138423, -87.5241458 41.6138421, -87.5241781 41.6138421, -87.5251423 41.613841)",,,
"[435365104, 435365097]",Hohman Avenue,secondary,False,False,97.098,"LINESTRING (-87.5220169 41.6138409, -87.5220178 41.6134848, -87.5220122 41.6129677)",5,,
"[435365098, 435365099, 435365102]",Hohman Avenue,secondary,False,True,112.83600000000001,"LINESTRING (-87.5220169 41.6138409, -87.5220225 41.6142369, -87.5220261 41.6144925, -87.5220311 41.6148556)",5,,
1159259985,Ogden Street,residential,False,False,229.707,"LINESTRING (-87.5220169 41.6138409, -87.5217634 41.6138407, -87.5215213 41.6138406, -87.5213775 41.6138405, -87.5199451 41.6138396, -87.5192538 41.6138392)",,,
161493164,Lyman Avenue,residential,False,False,97.178,"LINESTRING (-87.5192538 41.6138392, -87.5192482 41.6134016, -87.5192427 41.6129653)",2,20 mph,
161493164,Lyman Avenue,residential,False,True,113.753,"LINESTRING (-87.5192538 41.6138392, -87.5192568 41.614366, -87.5192593 41.6147917, -87.5192597 41.6148622)",2,20 mph,
1159259985,Ogden Street,residential,False,True,229.70700000000002,"LINESTRING (-87.5192538 41.6138392, -87.5199451 41.6138396, -87.5213775 41.6138405, -87.5215213 41.6138406, -87.5217634 41.6138407, -87.5220169 41.6138409)",,,
17412101,Morton Court,residential,False,False,113.881,"LINESTRING (-87.5235823 41.6200042, -87.5238816 41.619512, -87.5241431 41.6190698)",,,
360448904,Morton Court,unclassified,False,False,112.38300000000001,"LINESTRING (-87.5235823 41.6200042, -87.5235361 41.6200786, -87.5232863 41.6204809, -87.5230687 41.6208219, -87.5230569 41.6208472, -87.5230213 41.6209232)",,,
"[435365114, 435365109, 360448910]",Sibley Street,secondary,False,False,145.39,"LINESTRING (-87.5235823 41.6200042, -87.5238563 41.6201073, -87.5243883 41.6203138, -87.5245489 41.6203762, -87.5246445 41.6204133, -87.5251363 41.6206042)",3,,
"[161493169, 435839770, 435365116, 435365118]",Sibley Street,secondary,False,False,212.211,"LINESTRING (-87.5235823 41.6200042, -87.5233081 41.6198963, -87.5224171 41.619556, -87.5221824 41.6194728, -87.5220536 41.6194387, -87.521941 41.6194277, -87.521772 41.6194146, -87.5217096 41.6194073, -87.5216117 41.6193966, -87.5214635 41.6193705, -87.5213482 41.6193395, -87.5212289 41.6193099)","['3', '5']",,
311177222,Hohman Avenue,secondary,False,False,95.125,"LINESTRING (-87.5212289 41.6193099, -87.5217126 41.6185346)",5,,
"[1184987493, 311177223, 435365110, 435365111, 435365112, 435365115, 435365117]",Sibley Street,secondary,False,False,348.355,"LINESTRING (-87.5212289 41.6193099, -87.5207312 41.6191136, -87.5205917 41.6190611, -87.5201943 41.6189114, -87.5199411 41.6188161, -87.5199031 41.6188017, -87.519523 41.6186563, -87.5188082 41.618395, -87.5187059 41.6183556, -87.5178515 41.6180271, -87.5174939 41.6178896)",3,,
"[161493169, 435839770, 435365116, 435365118]",Sibley Street,secondary,False,True,212.211,"LINESTRING (-87.5212289 41.6193099, -87.5213482 41.6193395, -87.5214635 41.6193705, -87.5216117 41.6193966, -87.5217096 41.6194073, -87.521772 41.6194146, -87.521941 41.6194277, -87.5220536 41.6194387, -87.5221824 41.6194728, -87.5224171 41.619556, -87.5233081 41.6198963, -87.5235823 41.6200042)","['5', '3']",,
17413129,Oakley Avenue,residential,False,False,103.125,"LINESTRING (-87.5174939 41.6178896, -87.5175337 41.6178219, -87.5175456 41.6177906, -87.5175502 41.6177573, -87.5175476 41.6175464, -87.5175464 41.6174527, -87.5175453 41.6173965, -87.5175368 41.6169699)",,,
"[1184987493, 311177223, 435365110, 435365111, 435365112, 435365115, 435365117]",Sibley Street,secondary,False,True,348.355,"LINESTRING (-87.5174939 41.6178896, -87.5178515 41.6180271, -87.5187059 41.6183556, -87.5188082 41.618395, -87.519523 41.6186563, -87.5199031 41.6188017, -87.5199411 41.6188161, -87.5201943 41.6189114, -87.5205917 41.6190611, -87.5207312 41.6191136, -87.5212289 41.6193099)",3,,
919627770,Oakley Avenue,residential,False,True,94.101,"LINESTRING (-87.5174939 41.6178896, -87.5172567 41.6182713, -87.517017 41.6186571)",,,
17411367,Douglas Street,tertiary,False,False,230.39299999999997,"LINESTRING (-87.5220311 41.6148556, -87.5215041 41.6148569, -87.5213019 41.6148574, -87.520927 41.6148582, -87.5206168 41.614859, -87.5203192 41.6148597, -87.5197666 41.614861, -87.5194702 41.6148617, -87.5192597 41.6148622)",,,
"[435365098, 435365099, 435365102]",Hohman Avenue,secondary,False,False,112.836,"LINESTRING (-87.5220311 41.6148556, -87.5220261 41.6144925, -87.5220225 41.6142369, -87.5220169 41.6138409)",5,,
