osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref
10127256,Red Lodge Drive,residential,False,False,74.86200000000001,"LINESTRING (-112.006858 40.6510416, -112.006835 40.6511186, -112.0067401 40.6514417, -112.00674 40.651572, -112.0067968 40.6516978)",,,
"[10127256, 10127257]",Red Lodge Drive,residential,False,True,103.87,"LINESTRING (-112.006858 40.6510416, -112.006872 40.650971, -112.0069545 40.6505792, -112.00708 40.6505182, -112.0072366 40.6504805, -112.0075371 40.6504701)",,,
10140026,West Niagara Way,residential,False,False,109.133,"LINESTRING (-112.006858 40.6510416, -112.00677 40.6510364, -112.0062864 40.6510077, -112.0060182 40.6510348, -112.005798 40.651118, -112.005769 40.6511233, -112.0056007 40.6511565)",,,
10140026,West Niagara Way,residential,False,True,190.751,"LINESTRING (-112.006858 40.6510416, -112.006944 40.6510468, -112.0072018 40.6510623, -112.009015 40.6510632, -112.009118 40.6510633)",,,
"[10127256, 10139618]","['Red Lodge Drive', 'Silvertip Drive']",residential,False,"[False, True]",248.60099999999997,"LINESTRING (-112.0067968 40.6516978, -112.0068799 40.6519669, -112.0068886 40.6521047, -112.0069249 40.6522345, -112.0075165 40.6522375, -112.0079317 40.6522888, -112.0083053 40.652356, -112.009023 40.6523581, -112.0091349 40.6523584)",,,
10127256,Red Lodge Drive,residential,False,True,74.862,"LINESTRING (-112.0067968 40.6516978, -112.00674 40.651572, -112.0067401 40.6514417, -112.006835 40.6511186, -112.006858 40.6510416)",,,
10134047,West Red Lodge Circle,residential,False,True,120.95400000000001,"LINESTRING (-112.0067968 40.6516978, -112.006868 40.6516842, -112.0069521 40.6516687, -112.0078463 40.6516639, -112.0080657 40.6516779, -112.0082216 40.6517031)",,,
"[10127256, 10127257]",Red Lodge Drive,residential,False,False,103.87,"LINESTRING (-112.0075371 40.6504701, -112.0072366 40.6504805, -112.00708 40.6505182, -112.0069545 40.6505792, -112.006872 40.650971, -112.006858 40.6510416)",,,
10128471,Talon Circle,residential,False,False,124.097,"LINESTRING (-112.0075371 40.6504701, -112.007536 40.6504089, -112.007535 40.6499106, -112.0075778 40.6498225, -112.0076927 40.6497668, -112.0081661 40.6497679)",,,
10133401,Beau Circle,residential,False,False,52.921,"LINESTRING (-112.0075371 40.6504701, -112.0079999 40.6504503, -112.0081616 40.6504306)",,,
