osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
8778975,Jackson Street,residential,False,False,54.936,"LINESTRING (-83.6479131 41.56686, -83.6479477 41.5669226, -83.6481656 41.5673165)",,,
789115779,East William Street,residential,False,True,150.724,"LINESTRING (-83.6479131 41.56686, -83.6479859 41.5668386, -83.6494948 41.5663796, -83.649592 41.5663506)",,,
8780339,East Sophia Street,residential,False,False,70.086,"LINESTRING (-83.6481656 41.5673165, -83.648951 41.5670885)",,,
8778975,Jackson Street,residential,False,True,54.936,"LINESTRING (-83.6481656 41.5673165, -83.6479477 41.5669226, -83.6479131 41.56686)",,,
8780930,West Wayne Street,tertiary,False,False,167.294,"LINESTRING (-83.6534033 41.5619666, -83.6535288 41.5619279, -83.6538766 41.5618204, -83.6539516 41.5617973, -83.6541383 41.5617403, -83.654331 41.5616821, -83.6551772 41.5614267, -83.6552659 41.5613999)",,,
8783527,East Wayne Street,residential,False,False,164.949,"LINESTRING (-83.6534033 41.5619666, -83.6533059 41.5619952, -83.6528804 41.56212, -83.6523147 41.5622918, -83.6516688 41.5624934, -83.6515668 41.5625253)",,,
698763024,Conant Street,primary,False,True,109.876,"LINESTRING (-83.6534033 41.5619666, -83.6534403 41.5620335, -83.6538718 41.562814, -83.6539081 41.5628797)",4,US 20;SR 25,
1221188756,Conant Street,primary,False,False,111.24699999999999,"LINESTRING (-83.6534033 41.5619666, -83.6533657 41.5618944, -83.6531663 41.561499, -83.6529603 41.5611171, -83.6529416 41.5610824, -83.652916 41.561035)",4,US 20;SR 25,
8787748,East Dudley Street,residential,False,False,165.92100000000002,"LINESTRING (-83.6539081 41.5628797, -83.6537939 41.5629152, -83.6533486 41.5630532, -83.6529547 41.563174, -83.6521678 41.5634153, -83.6520637 41.5634472)",,,
698763024,Conant Street,primary,False,False,109.876,"LINESTRING (-83.6539081 41.5628797, -83.6538718 41.562814, -83.6534403 41.5620335, -83.6534033 41.5619666)",4,US 20;SR 25,
698763025,Conant Street,primary,False,True,111.482,"LINESTRING (-83.6539081 41.5628797, -83.6539528 41.5629627, -83.6540413 41.5631258, -83.6541629 41.5633501, -83.6543677 41.5637279, -83.6544116 41.5638088)",4,US 20;SR 25,
789063558,West Dudley Street,residential,False,False,165.985,"LINESTRING (-83.6539081 41.5628797, -83.654029 41.5628434, -83.6544547 41.5627155, -83.6546573 41.5626546, -83.6548052 41.5626102, -83.6556611 41.5623531, -83.6557595 41.5623236)",,,
8786839,West John Street,residential,False,False,165.532,"LINESTRING (-83.6544116 41.5638088, -83.6545099 41.5637786, -83.6561616 41.5632786, -83.6562551 41.5632489)",,,
8787455,East John Street,residential,False,False,165.87599999999998,"LINESTRING (-83.6544116 41.5638088, -83.6542796 41.5638486, -83.6538868 41.5639672, -83.6537087 41.564021, -83.6533422 41.5641316, -83.6526585 41.5643381, -83.6525627 41.564367)",,,
698763025,Conant Street,primary,False,False,111.482,"LINESTRING (-83.6544116 41.5638088, -83.6543677 41.5637279, -83.6541629 41.5633501, -83.6540413 41.5631258, -83.6539528 41.5629627, -83.6539081 41.5628797)",4,US 20;SR 25,
1227028732,Conant Street,primary,False,True,96.039,"LINESTRING (-83.6544116 41.5638088, -83.6544457 41.5638722, -83.6546599 41.5642705, -83.6548447 41.5646094)",4,US 20;SR 25,
113524621,Conant Street,primary,False,True,13.709,"LINESTRING (-83.6551123 41.5651097, -83.6551734 41.5652242)",4,US 20;SR 25,
113524614,Anthony Wayne Trail,trunk,True,False,165.849,"LINESTRING (-83.6551123 41.5651097, -83.6549634 41.565154, -83.6533905 41.5656222, -83.65326 41.565661)",2,US 24;SR 25,50 mph
113524627,Conant Street,primary,False,False,28.467000000000002,"LINESTRING (-83.6551123 41.5651097, -83.6550803 41.5650495, -83.6549859 41.5648718)",4,US 20;SR 25,
113524621,Conant Street,primary,False,False,13.709,"LINESTRING (-83.6551734 41.5652242, -83.6551123 41.5651097)",4,US 20;SR 25,
1227181463,Conant Street,primary,False,True,34.924,"LINESTRING (-83.6551734 41.5652242, -83.6552232 41.5653125, -83.6553323 41.5655149)",4,US 20,
698763021,West Harrison Street,residential,False,False,166.216,"LINESTRING (-83.6542674 41.5595604, -83.6561157 41.5589932)",,,
8779418,Allen Street,residential,False,False,110.164,"LINESTRING (-83.6542674 41.5595604, -83.6543067 41.5596321, -83.6543634 41.5597357, -83.6545157 41.5600136, -83.6547205 41.5603937, -83.654766 41.5604782)",,,
8783464,West Harrison Street,residential,False,True,152.84199999999998,"LINESTRING (-83.6542674 41.5595604, -83.6541568 41.5595938, -83.6532431 41.5598703, -83.6525657 41.5600781)",,,
8779418,Allen Street,residential,False,False,110.60999999999999,"LINESTRING (-83.654766 41.5604782, -83.6548056 41.5605529, -83.6550102 41.5609387, -83.6552204 41.561318, -83.6552659 41.5613999)",,,
8779418,Allen Street,residential,False,True,110.164,"LINESTRING (-83.654766 41.5604782, -83.6547205 41.5603937, -83.6545157 41.5600136, -83.6543634 41.5597357, -83.6543067 41.5596321, -83.6542674 41.5595604)",,,
8779590,West Broadway Street,tertiary,False,False,165.92499999999998,"LINESTRING (-83.654766 41.5604782, -83.6548751 41.5604448, -83.6565105 41.5599454, -83.6566125 41.5599146)",2,CR 1684,
8779590,West Broadway Street,tertiary,False,True,165.91,"LINESTRING (-83.654766 41.5604782, -83.6546519 41.5605123, -83.6539647 41.5607182, -83.6537753 41.5607749, -83.6534957 41.5608586, -83.6530444 41.5609959, -83.6529854 41.5610139, -83.652916 41.561035)",2,CR 1684,
8779418,Allen Street,residential,False,False,110.62,"LINESTRING (-83.6552659 41.5613999, -83.6553074 41.5614792, -83.6555045 41.5618557, -83.6555144 41.5618728, -83.6557186 41.5622486, -83.6557595 41.5623236)",,,
8779418,Allen Street,residential,False,True,110.61000000000001,"LINESTRING (-83.6552659 41.5613999, -83.6552204 41.561318, -83.6550102 41.5609387, -83.6548056 41.5605529, -83.654766 41.5604782)",,,
8780930,West Wayne Street,tertiary,False,False,165.723,"LINESTRING (-83.6552659 41.5613999, -83.6553719 41.5613677, -83.6570117 41.5608695, -83.6571115 41.5608394)",,,
8780930,West Wayne Street,tertiary,False,True,167.294,"LINESTRING (-83.6552659 41.5613999, -83.6551772 41.5614267, -83.654331 41.5616821, -83.6541383 41.5617403, -83.6539516 41.5617973, -83.6538766 41.5618204, -83.6535288 41.5619279, -83.6534033 41.5619666)",,,
