osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
98830851,NY 19,North Main Street,secondary,False,True,33.964,"LINESTRING (-77.937717 43.218139, -77.937809 43.217841)",,,
20111763,,Liberty Street,residential,False,False,297.39300000000003,"LINESTRING (-77.937717 43.218139, -77.9364931 43.218139, -77.9347643 43.218139, -77.934534 43.218139, -77.934047 43.218139)",,,
20111763,,Liberty Street,residential,False,True,297.39300000000003,"LINESTRING (-77.934047 43.218139, -77.934534 43.218139, -77.9347643 43.218139, -77.9364931 43.218139, -77.937717 43.218139)",,,
98830776,,Fayette Street,residential,False,True,164.002,"LINESTRING (-77.934047 43.218139, -77.9344553 43.2172901, -77.934578 43.217035, -77.934712 43.216746)",,,
20112336,,Perry Street,residential,False,False,57.699,"LINESTRING (-77.9434795 43.2157664, -77.9435636 43.2153056, -77.943573 43.215252)",,,
20112336,,Perry Street,residential,False,False,114.354,"LINESTRING (-77.943573 43.215252, -77.943583 43.2151917, -77.9437345 43.2142764, -77.943742 43.214231)",,,
20112336,,Perry Street,residential,False,True,57.699,"LINESTRING (-77.943573 43.215252, -77.9435636 43.2153056, -77.9434795 43.2157664)",,,
139750653,,Erie Street,residential,False,False,138.505,"LINESTRING (-77.943573 43.215252, -77.9436393 43.2152544, -77.943655 43.215255, -77.943753 43.215253, -77.944208 43.215206, -77.945205 43.214924)",,,
139750653,,Erie Street,residential,False,True,134.60899999999998,"LINESTRING (-77.943573 43.215252, -77.9435273 43.2152449, -77.9420157 43.2150109, -77.9419482 43.2150004)",,,
20112336,,Perry Street,residential,False,False,138.18800000000002,"LINESTRING (-77.943742 43.214231, -77.9437542 43.2141567, -77.94393 43.2130827, -77.943944 43.212997)",,,
20112336,,Perry Street,residential,False,True,114.354,"LINESTRING (-77.943742 43.214231, -77.9437345 43.2142764, -77.943583 43.2151917, -77.943573 43.215252)",,,
674263424,,Holley Street,residential,False,False,83.072,"LINESTRING (-77.943742 43.214231, -77.9438198 43.2142107, -77.944707 43.213979)",2,,
674263424,,Holley Street,residential,False,True,126.024,"LINESTRING (-77.943742 43.214231, -77.943694 43.2142257, -77.9422916 43.214072, -77.9422042 43.2140624)",2,,
20112336,,Perry Street,residential,False,True,138.188,"LINESTRING (-77.943944 43.212997, -77.94393 43.2130827, -77.9437542 43.2141567, -77.943742 43.214231)",,,
20131718,,Monroe Avenue,tertiary,False,True,113.3,"LINESTRING (-77.943944 43.212997, -77.9426367 43.212893, -77.9425542 43.2128864)",,,
106457155,NY 19,Main Street,secondary,False,False,36.407,"LINESTRING (-77.938398 43.215887, -77.9385072 43.2155694)",,,
20112513,,Water Street,residential,True,False,83.592,"LINESTRING (-77.938398 43.215887, -77.9382479 43.2158885, -77.937891 43.215892, -77.9376181 43.215892, -77.937601 43.215892, -77.937495 43.215892, -77.9373995 43.215886, -77.937367 43.215884)",,,
106457155,NY 19,Main Street,secondary,False,True,19.961,"LINESTRING (-77.938398 43.215887, -77.9383739 43.2159607, -77.9383408 43.2160616)",,,
20112513,,Water Street,residential,True,False,84.174,"LINESTRING (-77.937367 43.215884, -77.937274 43.215871, -77.937203 43.215854, -77.937129 43.215828, -77.9370657 43.2157915, -77.937032 43.215772, -77.936992 43.215736, -77.936961 43.215697, -77.93694 43.215654, -77.9369385 43.2156481, -77.936929 43.215611, -77.936931 43.215566, -77.9369783 43.2153875, -77.936998 43.215313)",,,
20124398,,Warehouse Street,residential,False,False,66.62100000000001,"LINESTRING (-77.937367 43.215884, -77.9373634 43.2159027, -77.9373395 43.216029, -77.9373291 43.2161065, -77.9373529 43.2161357, -77.937387 43.216144, -77.9375753 43.2161905, -77.937796 43.216245)",,,
20113586,,Market Street,residential,False,False,123.26400000000001,"LINESTRING (-77.936998 43.215313, -77.9365962 43.2152481, -77.9356736 43.215099, -77.935513 43.215073)",,,
20113586,,Market Street,residential,False,True,125.58,"LINESTRING (-77.936998 43.215313, -77.9376239 43.2154187, -77.9383394 43.2155408, -77.9385072 43.2155694)",,,
106457155,NY 19,Main Street,secondary,False,True,36.407,"LINESTRING (-77.9385072 43.2155694, -77.938398 43.215887)",,,
20113586,,Market Street,residential,False,False,125.58,"LINESTRING (-77.9385072 43.2155694, -77.9383394 43.2155408, -77.9376239 43.2154187, -77.936998 43.215313)",,,
960056340,NY 19,Main Street,secondary,False,False,31.401000000000003,"LINESTRING (-77.9385072 43.2155694, -77.938542 43.2154521, -77.9385892 43.2152934)",,,
106457127,,Park Avenue,residential,False,True,23.173,"LINESTRING (-77.935513 43.215073, -77.9355765 43.2148698)",,,
20113586,,Market Street,residential,False,True,123.26400000000001,"LINESTRING (-77.935513 43.215073, -77.9356736 43.215099, -77.9365962 43.2152481, -77.936998 43.215313)",,,
"[98830776, 20136458, 106457102, 98830783]",,"['Park Avenue', 'Fayette Street']",residential,False,False,74.283,"LINESTRING (-77.935513 43.215073, -77.935466 43.215216, -77.935377 43.215381, -77.9352737 43.215567, -77.9352476 43.2156191, -77.935205 43.215701)",,movable,
20128308,,Fair Street,residential,False,False,282.387,"LINESTRING (-77.9404335 43.2091792, -77.94032 43.2091759, -77.9399302 43.2091644, -77.9395712 43.2091684, -77.9393382 43.2091854, -77.9369772 43.2094434)",,,
1172585896,NY 19,Main Street,secondary,False,True,12.195,"LINESTRING (-77.9404335 43.2091792, -77.940412 43.209242, -77.9404001 43.2092861)",,,
20115745,,Casey Place,residential,False,False,88.324,"LINESTRING (-77.9352681 43.2171113, -77.935449 43.216328)",,,
20115745,,Casey Place,residential,False,True,88.324,"LINESTRING (-77.935449 43.216328, -77.9352681 43.2171113)",,,
20128231,,Berry Street,residential,False,False,53.109,"LINESTRING (-77.935449 43.216328, -77.936091 43.216424)",,,
20128231,,Berry Street,residential,False,True,42.07,"LINESTRING (-77.935449 43.216328, -77.9350284 43.2162634, -77.934941 43.21625)",,,
106457135,NY 19,Main Street,secondary,False,False,57.541,"LINESTRING (-77.9394702 43.2123594, -77.9396252 43.2118544)",,,
106457135,NY 19,Main Street,secondary,False,True,28.852,"LINESTRING (-77.9394702 43.2123594, -77.9393912 43.2126124)",,,
20116306,,South Street,residential,False,False,250.238,"LINESTRING (-77.9394702 43.2123594, -77.9393409 43.2123389, -77.9366268 43.2119085, -77.936453 43.211881)",2,,
20129582,,Park Avenue,residential,False,False,77.616,"LINESTRING (-77.936453 43.211881, -77.9371762 43.2114234)",2,,
20116306,,South Street,residential,False,True,250.238,"LINESTRING (-77.936453 43.211881, -77.9366268 43.2119085, -77.9393409 43.2123389, -77.9394702 43.2123594)",2,,
20129585,,Park Avenue,residential,False,False,60.383,"LINESTRING (-77.936453 43.211881, -77.9364341 43.2119452, -77.936297 43.212412)",2,,
20117154,,Erie Street,residential,False,False,52.724000000000004,"LINESTRING (-77.9388322 43.2144864, -77.9389504 43.2145037, -77.93947 43.21458)",,,
20129057,,State Street,tertiary,False,False,249.239,"LINESTRING (-77.9388322 43.2144864, -77.9386718 43.2144599, -77.9381045 43.214366, -77.9380007 43.2143488, -77.9375256 43.2142701, -77.9359463 43.2140088, -77.935833 43.21399)",,,
960056340,NY 19,Main Street,secondary,False,False,92.613,"LINESTRING (-77.9388322 43.2144864, -77.938862 43.2143861, -77.938972 43.2140162, -77.9390742 43.2136724)",,,
960056340,NY 19,Main Street,secondary,False,True,91.87,"LINESTRING (-77.9388322 43.2144864, -77.9388029 43.2145836, -77.9385892 43.2152934)",,,
20117154,,Erie Street,residential,False,False,58.783,"LINESTRING (-77.93947 43.21458, -77.9397161 43.21462, -77.9398461 43.2146411, -77.9399687 43.214661, -77.940178 43.214695)",,,
20117154,,Erie Street,residential,False,True,52.724000000000004,"LINESTRING (-77.93947 43.21458, -77.9389504 43.2145037, -77.9388322 43.2144864)",,,
20138194,,Lincoln Street,residential,True,False,89.074,"LINESTRING (-77.93947 43.21458, -77.9394538 43.214638, -77.9392625 43.2153239, -77.939251 43.215365)",,,
20117154,,Erie Street,residential,False,True,58.783,"LINESTRING (-77.940178 43.214695, -77.9399687 43.214661, -77.9398461 43.2146411, -77.9397161 43.21462, -77.93947 43.21458)",,,
20118034,,Queen Street,residential,False,True,98.717,"LINESTRING (-77.940178 43.214695, -77.940195 43.2146387, -77.9403059 43.2142718, -77.9404221 43.2138872, -77.94044 43.213828)",,,
745304645,,Erie Street,residential,False,False,147.418,"LINESTRING (-77.940178 43.214695, -77.9403491 43.2147245, -77.9418595 43.2149851, -77.9419482 43.2150004)",,,
20130453,,Utica Street,residential,False,False,106.345,"LINESTRING (-77.9419482 43.2150004, -77.9419693 43.2149229, -77.9420463 43.2146408, -77.9420568 43.2146025, -77.9421945 43.2140981, -77.9422042 43.2140624)",,,
20130453,,Utica Street,residential,False,True,78.65299999999999,"LINESTRING (-77.9419482 43.2150004, -77.941936 43.2150425, -77.9417472 43.2156924)",,,
139750653,,Erie Street,residential,False,False,134.609,"LINESTRING (-77.9419482 43.2150004, -77.9420157 43.2150109, -77.9435273 43.2152449, -77.943573 43.215252)",,,
745304645,,Erie Street,residential,False,True,147.41799999999998,"LINESTRING (-77.9419482 43.2150004, -77.9418595 43.2149851, -77.9403491 43.2147245, -77.940178 43.214695)",,,
20124367,,Beach Street,residential,False,False,112.563,"LINESTRING (-77.945205 43.214924, -77.944707 43.213979)",,,
139750653,,Erie Street,residential,False,True,138.505,"LINESTRING (-77.945205 43.214924, -77.944208 43.215206, -77.943753 43.215253, -77.943655 43.215255, -77.9436393 43.2152544, -77.943573 43.215252)",,,
