osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed
10925762,Southeast Avenue C,residential,False,False,52.259,,"LINESTRING (-84.6642368 29.8495191, -84.663695 29.8495121)",,
136461694,Marine Street,tertiary,False,False,101.263,2,"LINESTRING (-84.6642368 29.8495191, -84.6643783 29.8497785, -84.6647317 29.8503217)",,
10925762,Southeast Avenue C,residential,False,True,52.259,,"LINESTRING (-84.663695 29.8495121, -84.6642368 29.8495191)",,
10928152,1st Street East,residential,False,False,87.695,,"LINESTRING (-84.663695 29.8495121, -84.6636843 29.8503007)",,
10925762,Southeast Avenue C,residential,False,False,169.85500000000002,,"LINESTRING (-84.663695 29.8495121, -84.6627884 29.8494865, -84.661935 29.8494563)",,
10925762,Southeast Avenue C,residential,False,True,169.85500000000002,,"LINESTRING (-84.661935 29.8494563, -84.6627884 29.8494865, -84.663695 29.8495121)",,
10925769,Southeast 3rd Street,residential,False,True,87.26400000000001,,"LINESTRING (-84.661935 29.8494563, -84.6619214 29.8500155, -84.6619154 29.8502409)",,
10927101,Northeast Avenue D,residential,False,False,84.868,,"LINESTRING (-84.6628984 29.8558117, -84.6637781 29.8558326)",,
10927101,Northeast Avenue D,residential,False,True,95.107,,"LINESTRING (-84.6628984 29.8558117, -84.6622171 29.8557931, -84.6619194 29.8557373)",,
10928215,2nd Street East,residential,False,True,108.542,,"LINESTRING (-84.6628984 29.8558117, -84.6628709 29.8549765, -84.6628815 29.8548362)",,
10927583,Northwest Avenue C,residential,False,False,89.963,,"LINESTRING (-84.6656074 29.8548533, -84.66654 29.8548723)",,
10927583,Northwest Avenue C,residential,False,True,88.725,,"LINESTRING (-84.6656074 29.8548533, -84.6646874 29.854858)",,
10928346,1st Street West,residential,False,False,111.486,,"LINESTRING (-84.6656074 29.8548533, -84.6656007 29.8558559)",,
10927583,Northwest Avenue C,residential,False,False,88.725,,"LINESTRING (-84.6646874 29.854858, -84.6656074 29.8548533)",,
10927584,Northeast Avenue C,residential,False,False,85.63,,"LINESTRING (-84.6646874 29.854858, -84.6637996 29.8548451)",,
10928556,Tallahassee Street,secondary,False,False,109.427,2,"LINESTRING (-84.6646874 29.854858, -84.6646713 29.855842)",,
10928556,Tallahassee Street,secondary,False,True,109.43,2,"LINESTRING (-84.6646874 29.854858, -84.6646955 29.8538739)",,
10927584,Northeast Avenue C,residential,False,False,88.546,,"LINESTRING (-84.6637996 29.8548451, -84.6628815 29.8548362)",,
10927584,Northeast Avenue C,residential,False,True,85.63,,"LINESTRING (-84.6637996 29.8548451, -84.6646874 29.854858)",,
10928153,1st Street East,residential,False,False,109.825,,"LINESTRING (-84.6637996 29.8548451, -84.6637781 29.8558326)",,
10928153,1st Street East,residential,False,True,108.507,,"LINESTRING (-84.6637996 29.8548451, -84.6638077 29.8538693)",,
10927584,Northeast Avenue C,residential,False,False,87.182,,"LINESTRING (-84.6628815 29.8548362, -84.6619776 29.8548234)",,
10927584,Northeast Avenue C,residential,False,True,88.546,,"LINESTRING (-84.6628815 29.8548362, -84.6637996 29.8548451)",,
10928213,2nd Street East,residential,False,False,85.8,,"LINESTRING (-84.6628815 29.8548362, -84.6628662 29.8540647)",,
10928215,2nd Street East,residential,False,False,108.542,,"LINESTRING (-84.6628815 29.8548362, -84.6628709 29.8549765, -84.6628984 29.8558117)",,
10927584,Northeast Avenue C,residential,False,False,187.816,,"LINESTRING (-84.6619776 29.8548234, -84.6600303 29.8547978)",,
