osmid,ref,name,highway,oneway,reversed,length,geometry
881457928,D 34,Route d'Antheny,tertiary,False,False,176.425,"LINESTRING (4.332189 49.8414491, 4.33211 49.8414708, 4.3312523 49.8418714, 4.3301667 49.8423504)"
881457929,D 877,Rue Principale,secondary,False,True,262.803,"LINESTRING (4.332189 49.8414491, 4.3319903 49.8407434, 4.3318987 49.8404572, 4.3317925 49.8403138, 4.3316792 49.8402115, 4.3315095 49.8401118, 4.3313397 49.8400349, 4.3302512 49.8396781)"
263637992,,Rue du Pilori,residential,False,True,25.87,"LINESTRING (4.3302512 49.8396781, 4.3301929 49.839716, 4.3300002 49.8398452)"
881457929,D 877,Rue Principale,secondary,False,False,262.803,"LINESTRING (4.3302512 49.8396781, 4.3313397 49.8400349, 4.3315095 49.8401118, 4.3316792 49.8402115, 4.3317925 49.8403138, 4.3318987 49.8404572, 4.3319903 49.8407434, 4.332189 49.8414491)"
881457929,D 877,Rue Principale,secondary,False,True,30.859,"LINESTRING (4.3302512 49.8396781, 4.3300159 49.8396048, 4.3298744 49.8395452)"
"[881457929, 1105719645]",D 877,Rue Principale,secondary,False,False,466.51300000000003,"LINESTRING (4.3262239 49.8360762, 4.3274581 49.8372954, 4.3285595 49.8383365, 4.3290996 49.8388385, 4.3295797 49.8393262, 4.3297306 49.8394494, 4.3298744 49.8395452)"
263637999,,Rue du Pilori,residential,False,False,35.107,"LINESTRING (4.3298744 49.8395452, 4.329863 49.8395948, 4.3300002 49.8398452)"
881457929,D 877,Rue Principale,secondary,False,False,30.859,"LINESTRING (4.3298744 49.8395452, 4.3300159 49.8396048, 4.3302512 49.8396781)"
"[881457929, 1105719645]",D 877,Rue Principale,secondary,False,True,466.513,"LINESTRING (4.3298744 49.8395452, 4.3297306 49.8394494, 4.3295797 49.8393262, 4.3290996 49.8388385, 4.3285595 49.8383365, 4.3274581 49.8372954, 4.3262239 49.8360762)"
263637992,,Rue du Pilori,residential,False,False,25.87,"LINESTRING (4.3300002 49.8398452, 4.3301929 49.839716, 4.3302512 49.8396781)"
263637999,,Rue du Pilori,residential,False,False,326.411,"LINESTRING (4.3300002 49.8398452, 4.330045 49.8401254, 4.33 49.8402382, 4.3298797 49.840402, 4.3296134 49.8406279, 4.3291565 49.8409352, 4.3290416 49.8411647, 4.3295994 49.8419456, 4.3301667 49.8423504)"
263637999,,Rue du Pilori,residential,False,True,35.107,"LINESTRING (4.3300002 49.8398452, 4.329863 49.8395948, 4.3298744 49.8395452)"
263637999,,Rue du Pilori,residential,False,True,326.411,"LINESTRING (4.3301667 49.8423504, 4.3295994 49.8419456, 4.3290416 49.8411647, 4.3291565 49.8409352, 4.3296134 49.8406279, 4.3298797 49.840402, 4.33 49.8402382, 4.330045 49.8401254, 4.3300002 49.8398452)"
881457928,D 34,Route d'Antheny,tertiary,False,True,176.42499999999998,"LINESTRING (4.3301667 49.8423504, 4.3312523 49.8418714, 4.33211 49.8414708, 4.332189 49.8414491)"
