osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
8675006,White Oaks Drive,residential,False,False,90.646,"LINESTRING (-82.919463 42.586175, -82.91836 42.586104)",,
8668956,Red Oaks Drive,residential,False,False,183.034,"LINESTRING (-82.919463 42.586175, -82.919427 42.587076, -82.919384 42.58782)",,
"[8684269, 8675006]","['White Oaks Drive', 'South Riverhill Drive']",residential,False,"[False, True]",352.23900000000003,"LINESTRING (-82.919463 42.586175, -82.920475 42.586236, -82.920506 42.586245, -82.920535 42.586262, -82.920549 42.586278, -82.920562 42.586318, -82.920505 42.587702, -82.920496 42.587756, -82.920482 42.587789, -82.920453 42.587822, -82.920408 42.587842, -82.920364 42.587851, -82.920306 42.587857, -82.919384 42.58782)",,
8668956,Red Oaks Drive,residential,False,True,183.034,"LINESTRING (-82.919384 42.58782, -82.919427 42.587076, -82.919463 42.586175)",,
"[8684269, 8675006]","['White Oaks Drive', 'South Riverhill Drive']",residential,False,"[False, True]",352.239,"LINESTRING (-82.919384 42.58782, -82.920306 42.587857, -82.920364 42.587851, -82.920408 42.587842, -82.920453 42.587822, -82.920482 42.587789, -82.920496 42.587756, -82.920505 42.587702, -82.920562 42.586318, -82.920549 42.586278, -82.920535 42.586262, -82.920506 42.586245, -82.920475 42.586236, -82.919463 42.586175)",,
8684269,South Riverhill Drive,residential,False,False,274.89900000000006,"LINESTRING (-82.919384 42.58782, -82.919251 42.587798, -82.918969 42.587736, -82.918646 42.587678, -82.918529 42.587664, -82.918296 42.58765, -82.917955 42.587648, -82.917587 42.58766, -82.917201 42.587678, -82.917039 42.587689, -82.916931 42.587703, -82.916784 42.587746, -82.916713 42.587778, -82.916657 42.587809, -82.916606 42.587847, -82.916563 42.587888, -82.916499 42.587963, -82.916454 42.588043, -82.916393 42.588169)",,
"[8684828, 8689053, 8669278]","['Palm Meadow Drive', 'Birch Meadow Drive North', 'Palms Drive']",residential,False,False,452.086,"LINESTRING (-82.9154044 42.5829125, -82.915184 42.583177, -82.914273 42.58426, -82.914129 42.584465, -82.914114 42.584517, -82.914115 42.584542, -82.914142 42.58458, -82.914183 42.584611, -82.914649 42.584816, -82.914687 42.584829, -82.914791 42.584845, -82.91482 42.584846, -82.914871 42.584835, -82.914925 42.5848, -82.914987 42.584741, -82.915123 42.584595, -82.9159912 42.5835647)",2,
8672068,Majestic Boulevard,residential,False,True,82.059,"LINESTRING (-82.9154044 42.5829125, -82.9154794 42.5830255, -82.9155384 42.5830925, -82.9155744 42.5831265, -82.9156224 42.5831605, -82.9157554 42.5832355, -82.9161114 42.5834135)",2,
8689053,Palm Meadow Drive,residential,False,True,100.2,"LINESTRING (-82.916868 42.58271, -82.916605 42.582902, -82.91651 42.58298, -82.916395 42.583095, -82.9161114 42.5834135)",2,
8672066,Majestic Boulevard,residential,True,False,80.049,"LINESTRING (-82.917611 42.584345, -82.9168306 42.5839113)",,
