osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
20201357,Walker Avenue,residential,False,False,137.276,"LINESTRING (-72.57865 40.840299, -72.577108 40.839895)",,,
"[20187217, 20187218]",Walker Court,residential,False,False,224.296,"LINESTRING (-72.57865 40.840299, -72.579432 40.838939, -72.579491 40.838843, -72.580011 40.839012)",,,
20201357,Walker Avenue,residential,False,True,212.079,"LINESTRING (-72.57865 40.840299, -72.5797055 40.8405855, -72.5809254 40.8409165, -72.581023 40.840943)",,,
"[20187217, 20187218]",Walker Court,residential,False,True,224.296,"LINESTRING (-72.580011 40.839012, -72.579491 40.838843, -72.579432 40.838939, -72.57865 40.840299)",,,
20250127,Montauk Highway,primary,False,False,86.032,"LINESTRING (-72.5871848 40.836429, -72.586281 40.836791)",2,CR 80,40 mph
20201357,Walker Avenue,residential,False,True,137.276,"LINESTRING (-72.577108 40.839895, -72.57865 40.840299)",,,
20190242,Friese Drive,residential,False,False,100.278,"LINESTRING (-72.577108 40.839895, -72.577208 40.83979, -72.577648 40.839093)",,,
20226266,Harrison Terrace,residential,False,False,98.458,"LINESTRING (-72.577648 40.839093, -72.576589 40.838716)",,,
"[20208114, 20190242]","['John Terrace', 'Friese Drive']",residential,False,False,188.97699999999998,"LINESTRING (-72.577648 40.839093, -72.578117 40.838346, -72.577088 40.837952)",,,
20190242,Friese Drive,residential,False,True,100.278,"LINESTRING (-72.577648 40.839093, -72.577208 40.83979, -72.577108 40.839895)",,,
20250127,Montauk Highway,primary,False,True,86.032,"LINESTRING (-72.586281 40.836791, -72.5871848 40.836429)",2,CR 80,40 mph
20250127,Montauk Highway,primary,False,False,210.269,"LINESTRING (-72.586281 40.836791, -72.585515 40.837086, -72.584735 40.8374, -72.584459 40.837517, -72.5843616 40.8375649, -72.584276 40.837607, -72.584101 40.83771)",2,CR 80,40 mph
20250127,Montauk Highway,primary,False,False,137.389,"LINESTRING (-72.581023 40.840943, -72.580113 40.841969)",2,CR 80,40 mph
20250127,Montauk Highway,primary,False,True,39.302,"LINESTRING (-72.581023 40.840943, -72.5812843 40.84065)",2,CR 80,40 mph
20201357,Walker Avenue,residential,False,False,212.079,"LINESTRING (-72.581023 40.840943, -72.5809254 40.8409165, -72.5797055 40.8405855, -72.57865 40.840299)",,,
