osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
13076963,East 7th Street,residential,False,False,166.291,"LINESTRING (-96.8256579 39.0293125, -96.827583 39.0293032)",,,
13075020,North Monroe Street,residential,False,False,116.53800000000001,"LINESTRING (-96.8256579 39.0293125, -96.825662 39.029834, -96.825666 39.029954, -96.8256647 39.0303605)",,,
13077077,East 8th Street,tertiary,False,False,166.172,"LINESTRING (-96.8256647 39.0303605, -96.8275883 39.030381)",,,
13075020,North Monroe Street,residential,False,False,116.047,"LINESTRING (-96.8256647 39.0303605, -96.825666 39.030884, -96.8256728 39.0314041)",,,
13075020,North Monroe Street,residential,False,True,116.538,"LINESTRING (-96.8256647 39.0303605, -96.825666 39.029954, -96.825662 39.029834, -96.8256579 39.0293125)",,,
13077184,East 9th Street,residential,False,False,165.239,"LINESTRING (-96.8256728 39.0314041, -96.8275858 39.0314086)",,,
13075020,North Monroe Street,residential,False,False,113.188,"LINESTRING (-96.8256728 39.0314041, -96.825667 39.031922, -96.825666 39.032422)",,,
13075020,North Monroe Street,residential,False,True,116.047,"LINESTRING (-96.8256728 39.0314041, -96.825666 39.030884, -96.8256647 39.0303605)",,,
13075586,East 10th Street,residential,False,False,162.742,"LINESTRING (-96.825666 39.032422, -96.82755 39.032439)",,,
13075020,North Monroe Street,residential,False,True,113.188,"LINESTRING (-96.825666 39.032422, -96.825667 39.031922, -96.8256728 39.0314041)",,,
"[13075025, 13076078]","['North Monroe Street', 'East 4th Street']",residential,False,"[False, True]",254.464,"LINESTRING (-96.825935 39.027143, -96.825908 39.026687, -96.825903 39.026358, -96.8259091 39.026158, -96.826153 39.026156, -96.826849 39.026153, -96.8275862 39.0261531)",,,
13076759,East 5th Street,residential,False,False,145.452,"LINESTRING (-96.825935 39.027143, -96.825964 39.027173, -96.826005 39.027201, -96.826167 39.02721, -96.8273679 39.0272057, -96.8275855 39.0272049)",,,
352366962,North Monroe Street,residential,False,False,134.70499999999998,"LINESTRING (-96.825935 39.027143, -96.8257573 39.0272198, -96.8256954 39.0273565, -96.8256813 39.0274866, -96.8256982 39.0276298, -96.8257157 39.027686, -96.8257731 39.0278257, -96.825812 39.0279733, -96.8258418 39.0282514)",,,
178114973,East 6th Street,secondary,False,False,148.255,"LINESTRING (-96.8258418 39.0282514, -96.8275581 39.0282501)",4,US 40 Business;KS 57,30 mph
352366962,North Monroe Street,residential,False,True,134.70499999999998,"LINESTRING (-96.8258418 39.0282514, -96.825812 39.0279733, -96.8257731 39.0278257, -96.8257157 39.027686, -96.8256982 39.0276298, -96.8256813 39.0274866, -96.8256954 39.0273565, -96.8257573 39.0272198, -96.825935 39.027143)",,,
13075344,West 5th Street,residential,False,False,169.371,"LINESTRING (-96.8294864 39.027199, -96.830758 39.027205, -96.8314471 39.027204)",,,
13076759,East 5th Street,residential,False,True,164.204,"LINESTRING (-96.8294864 39.027199, -96.8286862 39.0272015, -96.8275855 39.0272049)",,,
178114989,North Washington Street,secondary,False,False,117.422,"LINESTRING (-96.8294864 39.027199, -96.8294866 39.0281464, -96.8294864 39.028255)",,US 40 Business,20 mph
"[178114989, 178114990]",North Washington Street,secondary,False,True,117.533,"LINESTRING (-96.8294864 39.027199, -96.8294863 39.026657, -96.8294863 39.026142)",,US 40 Business,"['20 mph', '30 mph']"
13075344,West 5th Street,residential,False,False,165.309,"LINESTRING (-96.8314471 39.027204, -96.8321488 39.0272029, -96.8333608 39.027201)",,,
13075344,West 5th Street,residential,False,True,169.371,"LINESTRING (-96.8314471 39.027204, -96.830758 39.027205, -96.8294864 39.027199)",,,
13078648,North Jefferson Street,residential,False,True,117.422,"LINESTRING (-96.8314471 39.027204, -96.8314474 39.026658, -96.8314476 39.026148)",,,
202173323,North Jefferson Street,residential,False,False,116.577,"LINESTRING (-96.8314471 39.027204, -96.8314451 39.0276222, -96.8314446 39.027721, -96.8314421 39.0282524)",,,20 mph
13075344,West 5th Street,residential,False,False,164.523,"LINESTRING (-96.8333608 39.027201, -96.8352654 39.027198)",,,
13075344,West 5th Street,residential,False,True,165.309,"LINESTRING (-96.8333608 39.027201, -96.8321488 39.0272029, -96.8314471 39.027204)",,,
13078679,North Adams Street,residential,False,False,117.055,"LINESTRING (-96.8333608 39.027201, -96.8333601 39.027726, -96.8333595 39.0282537)",,,
13078679,North Adams Street,residential,False,True,116.977,"LINESTRING (-96.8333608 39.027201, -96.8333614 39.026658, -96.833362 39.026149)",,,
13075344,West 5th Street,residential,False,True,164.523,"LINESTRING (-96.8352654 39.027198, -96.8333608 39.027201)",,,
13075344,West 5th Street,residential,False,False,165.577,"LINESTRING (-96.8352654 39.027198, -96.836113 39.027208, -96.837182 39.02722)",,,
13078210,North Madison Street,residential,False,False,117.612,"LINESTRING (-96.8352654 39.027198, -96.8352684 39.0277276, -96.8352713 39.0282557)",,,
13078210,North Madison Street,residential,False,True,115.243,"LINESTRING (-96.8352654 39.027198, -96.8352624 39.026665, -96.8352912 39.0261621)",,,
13075344,West 5th Street,residential,False,True,165.577,"LINESTRING (-96.837182 39.02722, -96.836113 39.027208, -96.8352654 39.027198)",,,
13077190,North Jackson Street,tertiary,False,False,115.354,"LINESTRING (-96.837182 39.02722, -96.837181 39.027727, -96.837181 39.0282574)",,,
13077190,North Jackson Street,tertiary,False,True,118.64500000000001,"LINESTRING (-96.837182 39.02722, -96.837182 39.026678, -96.837183 39.026153)",,,
13077190,North Jackson Street,tertiary,False,True,115.354,"LINESTRING (-96.837181 39.0282574, -96.837181 39.027727, -96.837182 39.02722)",,,
1024846338,West 6th Street,secondary,False,False,164.96,"LINESTRING (-96.837181 39.0282574, -96.8369669 39.0282572, -96.8367092 39.0282569, -96.836199 39.0282564, -96.836095 39.0282563, -96.835821 39.0282561, -96.8352713 39.0282557)",,,30 mph
1024846338,West 6th Street,secondary,False,False,165.142,"LINESTRING (-96.8352713 39.0282557, -96.8333595 39.0282537)",,,30 mph
13078210,North Madison Street,residential,False,False,115.655,"LINESTRING (-96.8352713 39.0282557, -96.8352742 39.0287803, -96.8352771 39.0292958)",,,
13078210,North Madison Street,residential,False,True,117.612,"LINESTRING (-96.8352713 39.0282557, -96.8352684 39.0277276, -96.8352654 39.027198)",,,
