osmid,oneway,name,highway,reversed,length,geometry,ref
21625764,True,Harbor Circle,residential,False,100.76299999999999,"LINESTRING (-88.135153 42.908762, -88.13526 42.908913, -88.135343 42.908983, -88.135381 42.908996, -88.135422 42.909001, -88.135466 42.908998, -88.135508 42.908989, -88.13554 42.908976, -88.1355507 42.9089643, -88.135581 42.908931, -88.135592 42.908909, -88.135594 42.908874, -88.135567 42.908819, -88.135548 42.908801, -88.135508 42.90878, -88.135434 42.90877, -88.135288 42.908763, -88.135153 42.908762)",
21664568,False,Harbor Circle,residential,True,104.47100000000002,"LINESTRING (-88.135153 42.908762, -88.135027 42.908711, -88.134801 42.908591, -88.134701 42.908527, -88.134518 42.908396, -88.1343 42.908203, -88.134236 42.908121)",
21625773,True,Kristin Court,residential,False,71.05799999999998,"LINESTRING (-88.13788 42.902217, -88.137891 42.902152, -88.137934 42.902077, -88.137941 42.902044, -88.137938 42.902017, -88.137926 42.902, -88.137892 42.90198, -88.137848 42.901972, -88.137808 42.901974, -88.137773 42.901981, -88.13774 42.901996, -88.137725 42.902016, -88.137719 42.902041, -88.137727 42.90207, -88.137791 42.902138, -88.137833 42.90217, -88.13788 42.902217)",
21637213,False,Kristin Court,residential,True,33.709,"LINESTRING (-88.13788 42.902217, -88.137937 42.902421, -88.137955 42.902515)",
21625777,True,Kittery Court,residential,False,59.49499999999999,"LINESTRING (-88.1375356 42.903486, -88.1374984 42.9034939, -88.1374667 42.9035102, -88.1374441 42.9035332, -88.137433 42.9035604, -88.1374346 42.9035887, -88.1374488 42.9036151, -88.137474 42.9036367, -88.1375075 42.903651, -88.1375455 42.9036565, -88.1375838 42.9036526, -88.1376179 42.90364, -88.1376445 42.9036201, -88.137661 42.9035949, -88.1376655 42.9035672, -88.1376576 42.9035398, -88.1376381 42.9035158, -88.1376091 42.9034977, -88.1375737 42.9034874, -88.1375356 42.903486)",
21665102,False,Kittery Court,residential,True,98.68799999999999,"LINESTRING (-88.1375356 42.903486, -88.137328 42.902683, -88.13731 42.902614)",
21625779,True,Castle Glen Court,residential,False,71.962,"LINESTRING (-88.134132 42.903236, -88.134097 42.90327, -88.134089 42.903315, -88.134092 42.903392, -88.134111 42.903434, -88.134147 42.903461, -88.134189 42.903469, -88.134239 42.903467, -88.134284 42.903453, -88.134309 42.903428, -88.134316 42.903389, -88.134313 42.903345, -88.134271 42.903293, -88.134218 42.903254, -88.134167 42.903239, -88.134132 42.903236)",
21636315,False,Castle Glen Court,residential,True,150.05200000000005,"LINESTRING (-88.134132 42.903236, -88.134093 42.90309, -88.134082 42.902924, -88.13407 42.902452, -88.134079 42.902321, -88.134107 42.902211, -88.134142 42.902126, -88.1342 42.90204, -88.134306 42.90193)",
21625791,True,St Leonards Court,residential,False,58.367000000000004,"LINESTRING (-88.1371419 42.9049259, -88.1371729 42.90494, -88.1372084 42.9049462, -88.1372447 42.9049439, -88.1372783 42.9049333, -88.1373056 42.9049156, -88.1373239 42.9048925, -88.1373313 42.9048664, -88.1373272 42.9048398, -88.1373118 42.9048156, -88.137285 42.904795, -88.1372503 42.9047822, -88.1372118 42.9047786, -88.1371738 42.9047847, -88.1371409 42.9047997, -88.1371166 42.9048219, -88.1371038 42.9048488, -88.1371041 42.9048772, -88.1371173 42.904904, -88.1371419 42.9049259)",
21654905,False,Saint Leonards Court,residential,True,143.367,"LINESTRING (-88.1371419 42.9049259, -88.137024 42.904976, -88.136865 42.905008, -88.136218 42.905115, -88.135961 42.905142, -88.135772 42.905147, -88.135594 42.905141, -88.135426 42.905129)",
