osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed
37051973,Trumbull Street,primary,False,False,84.645,"LINESTRING (-72.9192632 41.3121173, -72.91933 41.3121444, -72.9194085 41.3121744, -72.9200894 41.3124344, -72.9201657 41.3124636)",,,
249305448,Orange Street,secondary,False,True,158.43800000000002,"LINESTRING (-72.9192632 41.3121173, -72.9193273 41.3120344, -72.9193908 41.3119507, -72.9196677 41.3115858, -72.9197653 41.3114572, -72.9198048 41.3114052, -72.9199562 41.3112057, -72.9201107 41.311002, -72.9201314 41.3109748, -72.9201999 41.3108783)",3,,
39494751,Chapel Street,secondary,False,False,121.0,"LINESTRING (-72.9202713 41.3039243, -72.9203781 41.3039445, -72.9207169 41.3040501, -72.921614 41.3043304)",,,
132400953,Olive Street,tertiary,False,True,141.396,"LINESTRING (-72.9202713 41.3039243, -72.9202466 41.3040125, -72.9201099 41.3044693, -72.9200491 41.3046567, -72.9200078 41.3047861, -72.9199626 41.3049277, -72.9199089 41.3051073, -72.9198925 41.3051636)",,,
39494751,Chapel Street,secondary,False,True,121.0,"LINESTRING (-72.921614 41.3043304, -72.9207169 41.3040501, -72.9203781 41.3039445, -72.9202713 41.3039243)",,,
"[94003130, 358458195, 94003135]",Chapel Street,secondary,False,False,101.83699999999999,"LINESTRING (-72.921614 41.3043304, -72.9216286 41.3043356, -72.9217098 41.304365, -72.9217759 41.3043889, -72.9223915 41.3046376, -72.9226136 41.3047306, -72.9226853 41.3047666)",,yes,
293638414,Chapel Street,secondary,False,False,12.53,"LINESTRING (-72.9228131 41.3048256, -72.9226853 41.3047666)",,,
37114308,Chapel Street,secondary,False,False,141.01500000000001,"LINESTRING (-72.9228131 41.3048256, -72.9228937 41.3048627, -72.9242239 41.3054127, -72.9242899 41.3054399)",3,,
37114308,Chapel Street,secondary,False,True,141.015,"LINESTRING (-72.9242899 41.3054399, -72.9242239 41.3054127, -72.9228937 41.3048627, -72.9228131 41.3048256)",3,,
249305447,Chapel Street,secondary,True,False,141.984,"LINESTRING (-72.9242899 41.3054399, -72.9243529 41.3054664, -72.9250559 41.3057616, -72.9256583 41.3060146, -72.9257719 41.3060652)",4,,
293638416,Orange Street,secondary,True,False,88.093,"LINESTRING (-72.9242899 41.3054399, -72.9243427 41.3053693, -72.9244486 41.3052277, -72.924816 41.3047533)",1,,
