osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
9285213,Windy Hill Road,residential,False,True,182.395,"LINESTRING (-70.570359 41.449947, -70.570623 41.449975, -70.571161 41.450039, -70.571489 41.450096, -70.571982 41.450212, -70.572467 41.45036)",,,
9285594,Norris Avenue,residential,False,False,64.163,"LINESTRING (-70.570359 41.449947, -70.570276 41.450314, -70.570231 41.450516)",2,9.1,
519615321,Dukes County Avenue,residential,False,False,15.252,"LINESTRING (-70.563613 41.4516928, -70.5635996 41.4518296)",2,7.6,
519615321,Dukes County Avenue,residential,False,True,42.88,"LINESTRING (-70.563613 41.4516928, -70.563663 41.451309)",2,7.6,
9285542,Vineyard Avenue,residential,False,True,59.043,"LINESTRING (-70.563613 41.4516928, -70.563952 41.4517488, -70.5643048 41.4518072)",2,9.1,
9284666,School Street,residential,False,False,59.819,"LINESTRING (-70.5657277 41.4552463, -70.5651476 41.4551609, -70.5650229 41.4551445)",2,12.2,
9284666,School Street,residential,False,True,55.456999999999994,"LINESTRING (-70.5657277 41.4552463, -70.566066 41.4552933, -70.5663783 41.4553502)",2,12.2,
9285578,First Avenue,residential,False,True,103.152,"LINESTRING (-70.5657277 41.4552463, -70.565836 41.454925, -70.565939 41.454539, -70.56599 41.45434)",1,9.1,
9284530,Garvin Street,residential,False,True,217.34499999999997,"LINESTRING (-70.563536 41.452412, -70.5638494 41.4524599, -70.564473 41.4525597, -70.5651413 41.4526739, -70.56608 41.4528414)",1,7.6,
519615321,Dukes County Avenue,residential,False,False,191.483,"LINESTRING (-70.563536 41.452412, -70.563478 41.452856, -70.563468 41.452941, -70.56343 41.453265, -70.563384 41.453497, -70.563286 41.453832, -70.563177 41.454108)",2,7.6,
519615321,Dukes County Avenue,residential,False,True,64.98,"LINESTRING (-70.563536 41.452412, -70.563568 41.452153, -70.5635996 41.4518296)",2,7.6,
9285542,Vineyard Avenue,residential,False,True,55.221,"LINESTRING (-70.573731 41.453965, -70.574327 41.454182)",2,9.1,
9284803,Dreamers Way,residential,False,True,289.45000000000005,"LINESTRING (-70.573731 41.453965, -70.5737587 41.4539132, -70.573598 41.452824, -70.573559 41.452747, -70.573483 41.452688, -70.573389 41.452657, -70.573224 41.452637, -70.57312 41.452664, -70.573072 41.452694, -70.572989 41.452809, -70.572609 41.453583)",,,
9285542,Vineyard Avenue,residential,False,False,102.703,"LINESTRING (-70.573731 41.453965, -70.573156 41.453771, -70.572609 41.453583)",2,9.1,
9284619,Franklin Avenue,residential,False,False,76.047,"LINESTRING (-70.5665279 41.4491373, -70.566564 41.449332, -70.566575 41.449582, -70.566532 41.449817)",2,9.1,
265794837,Wing Road,tertiary,False,False,70.22999999999999,"LINESTRING (-70.5665279 41.4491373, -70.566389 41.449163, -70.566217 41.449194, -70.565708 41.449283)",2,9.1,
364574146,South Street,residential,False,False,110.647,"LINESTRING (-70.568683 41.456631, -70.567512 41.456162)",,,20 mph
"[9285425, 364574863]","['Meriton Avenue', 'South Street']",residential,False,"[False, True]",154.982,"LINESTRING (-70.568683 41.456631, -70.5691944 41.4568226, -70.5692117 41.4568614, -70.569181 41.456917, -70.569008 41.457315, -70.568922 41.457452, -70.568807 41.457578, -70.568672 41.457677)",,,20 mph
364581248,Hampson Avenue,residential,False,True,106.443,"LINESTRING (-70.568683 41.456631, -70.568506 41.4569139, -70.568022 41.457447)",,,20 mph
9285542,Vineyard Avenue,residential,False,True,66.158,"LINESTRING (-70.5643048 41.4518072, -70.56508 41.4519353)",2,9.1,
9285542,Vineyard Avenue,residential,False,False,59.043,"LINESTRING (-70.5643048 41.4518072, -70.563952 41.4517488, -70.563613 41.4516928)",2,9.1,
9285602,Winthrop Avenue,residential,False,True,126.299,"LINESTRING (-70.5643048 41.4518072, -70.564394 41.451416, -70.564481 41.451009, -70.564547 41.450686)",1,7.6,
9284783,Rogers Way,residential,False,True,165.17000000000002,"LINESTRING (-70.572401 41.4514975, -70.572413 41.451898, -70.5723352 41.4520169, -70.572164 41.4520206, -70.5711767 41.4516581)",,,
9285162,Clinton Avenue,residential,False,True,29.112,"LINESTRING (-70.5624429 41.453317, -70.5624804 41.4530567)",,,
9284772,West Clinton Avenue,residential,False,True,194.16199999999998,"LINESTRING (-70.5624429 41.453317, -70.5624777 41.4533163, -70.5625152 41.4533096, -70.5625496 41.4533, -70.5625822 41.453285, -70.5628052 41.453157, -70.5629027 41.4530993, -70.5629826 41.453039, -70.563022 41.4529858, -70.563056 41.452922, -70.5631525 41.4526053, -70.5633894 41.4518335)",,,
9285227,Field Way,residential,False,True,48.872,"LINESTRING (-70.5674732 41.4514521, -70.567565 41.451018)",,,
9285233,Dannys Court,residential,False,False,20.313,"LINESTRING (-70.571609 41.451391, -70.571385 41.451319)",,,
364581250,Huntington Avenue,residential,False,False,48.421,"LINESTRING (-70.568022 41.457447, -70.567496 41.457262)",,,20 mph
364581250,Huntington Avenue,residential,False,True,7.529,"LINESTRING (-70.568022 41.457447, -70.568103 41.457477)",,,20 mph
364581248,Hampson Avenue,residential,False,False,106.443,"LINESTRING (-70.568022 41.457447, -70.568506 41.4569139, -70.568683 41.456631)",,,20 mph
9284462,Richmond Street,residential,False,True,19.083,"LINESTRING (-70.5683436 41.4501593, -70.5685656 41.4502013)",2,7.6,
9284462,Richmond Street,residential,False,False,155.711,"LINESTRING (-70.5683436 41.4501593, -70.5670601 41.4499168, -70.566532 41.449817)",2,7.6,
9284474,Goode Street,residential,False,False,108.37299999999999,"LINESTRING (-70.5683436 41.4501593, -70.568256 41.450453, -70.56809 41.4509, -70.568015 41.451102)",2,7.6,
9284547,Pacific Avenue,residential,False,False,28.867,"LINESTRING (-70.5677881 41.4555608, -70.567691 41.45581)",2,9.1,
9284547,Pacific Avenue,residential,False,True,123.024,"LINESTRING (-70.5677881 41.4555608, -70.567886 41.455306, -70.567979 41.455042, -70.568061 41.454762, -70.568135 41.454486)",2,9.1,
9284666,School Street,residential,False,False,119.801,"LINESTRING (-70.5677881 41.4555608, -70.5675325 41.4555219, -70.5672451 41.4554788, -70.5666945 41.4553985, -70.5663783 41.4553502)",2,12.2,
9284527,Franklin Street Extension,residential,False,True,80.469,"LINESTRING (-70.56608 41.4528414, -70.5662571 41.45213)",2,7.6,
9284530,Garvin Street,residential,False,True,53.944,"LINESTRING (-70.56608 41.4528414, -70.566708 41.4529589)",1,7.6,
9284530,Garvin Street,residential,False,False,217.345,"LINESTRING (-70.56608 41.4528414, -70.5651413 41.4526739, -70.564473 41.4525597, -70.5638494 41.4524599, -70.563536 41.452412)",1,7.6,
9285628,Greenleaf Avenue,residential,False,True,76.80799999999999,"LINESTRING (-70.5638097 41.4563981, -70.5638952 41.4564659, -70.5640285 41.4565372, -70.5643158 41.4566479, -70.5645941 41.4567509)",1,7.6,
