osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
21380338,Avenue H,residential,False,False,106.459,"LINESTRING (-102.8270222 33.1858395, -102.827023 33.1863068, -102.8270245 33.1867969)",,,
21387155,13th Street,residential,False,False,104.6,"LINESTRING (-102.8270222 33.1858395, -102.8276058 33.1858414, -102.8281462 33.1858432)",,,
21387155,13th Street,residential,False,True,109.792,"LINESTRING (-102.8270222 33.1858395, -102.8264565 33.1858377, -102.8258424 33.1858357)",,,
21387822,12th Street,residential,False,False,104.495,"LINESTRING (-102.8270245 33.1867969, -102.8281474 33.1867984)",,,
21387822,12th Street,residential,False,True,109.902,"LINESTRING (-102.8270245 33.1867969, -102.8258435 33.1867953)",,,
21380338,Avenue H,residential,False,False,107.97,"LINESTRING (-102.8270245 33.1867969, -102.8270255 33.1872675, -102.827027 33.1877679)",,,
21380338,Avenue H,residential,False,True,106.459,"LINESTRING (-102.8270245 33.1867969, -102.827023 33.1863068, -102.8270222 33.1858395)",,,
162119183,11th Street,residential,False,False,104.336,"LINESTRING (-102.827027 33.1877679, -102.8281482 33.1877659)",,,
162119183,11th Street,residential,False,True,110.18,"LINESTRING (-102.827027 33.1877679, -102.825843 33.18777)",,,
21380338,Avenue H,residential,False,False,78.315,"LINESTRING (-102.827027 33.1877679, -102.8270244 33.1882295, -102.827023 33.1884722)",,,
21380338,Avenue H,residential,False,True,107.97,"LINESTRING (-102.827027 33.1877679, -102.8270255 33.1872675, -102.8270245 33.1867969)",,,
21380338,Avenue H,residential,False,True,78.315,"LINESTRING (-102.827023 33.1884722, -102.8270244 33.1882295, -102.827027 33.1877679)",,,
117987580,Cowboy Way,primary,False,False,108.79899999999999,"LINESTRING (-102.827023 33.1884722, -102.827283 33.1885551, -102.8275929 33.1886213, -102.8278783 33.1886786, -102.828154 33.1887058)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,True,124.2,"LINESTRING (-102.827023 33.1884722, -102.8267575 33.1883738, -102.8265044 33.188267, -102.825849 33.1879436)",4,US 82;US 380,55 mph
162119182,9th Street,residential,False,True,103.795,"LINESTRING (-102.8270529 33.18967, -102.8281683 33.1896653)",,,
21380341,Avenue H,residential,False,False,109.072,"LINESTRING (-102.8270529 33.18967, -102.827055 33.1901593, -102.8270571 33.1906509)",,,
"[21387812, 162119182]","['Ferrel Avenue', '9th Street']",residential,False,False,215.331,"LINESTRING (-102.8270529 33.18967, -102.8258929 33.1896851, -102.8258834 33.1906507)",,,
21386881,8th Street,tertiary,False,False,105.201,"LINESTRING (-102.8270571 33.1906509, -102.8281876 33.1906589)",,,
21386881,8th Street,tertiary,False,True,109.217,"LINESTRING (-102.8270571 33.1906509, -102.8258834 33.1906507)",,,
21380341,Avenue H,residential,False,False,106.69200000000001,"LINESTRING (-102.8270571 33.1906509, -102.827057 33.1911087, -102.8270576 33.1916104)",,,
21380341,Avenue H,residential,False,True,109.072,"LINESTRING (-102.8270571 33.1906509, -102.827055 33.1901593, -102.8270529 33.18967)",,,
162157629,7th Street,residential,False,False,109.57,"LINESTRING (-102.8270576 33.1916104, -102.8258801 33.1916074)",,,
162157629,7th Street,residential,False,True,104.566,"LINESTRING (-102.8270576 33.1916104, -102.8281813 33.1916161)",,,
"[21387523, 21380341]","['6th Street', 'Avenue H']",residential,False,False,208.256,"LINESTRING (-102.8270576 33.1916104, -102.8270777 33.1925009, -102.825904 33.1924924)",,,
21380341,Avenue H,residential,False,True,106.69200000000001,"LINESTRING (-102.8270576 33.1916104, -102.827057 33.1911087, -102.8270571 33.1906509)",,,
21387155,13th Street,residential,False,True,109.131,"LINESTRING (-102.8247599 33.185832, -102.8235872 33.1858283)",,,
21380430,Avenue J,residential,False,False,106.136,"LINESTRING (-102.8247599 33.185832, -102.824758 33.1863024, -102.824757 33.1867865)",,,
21387155,13th Street,residential,False,False,100.737,"LINESTRING (-102.8247599 33.185832, -102.8253175 33.1858339, -102.8258424 33.1858357)",,,
21387822,12th Street,residential,False,False,101.112,"LINESTRING (-102.824757 33.1867865, -102.8258435 33.1867953)",,,
21380430,Avenue J,residential,False,False,63.336999999999996,"LINESTRING (-102.824757 33.1867865, -102.8247553 33.1872643, -102.8247553 33.1873561)",,,
21380430,Avenue J,residential,False,True,106.136,"LINESTRING (-102.824757 33.1867865, -102.824758 33.1863024, -102.8247599 33.185832)",,,
21387822,12th Street,residential,False,True,109.964,"LINESTRING (-102.824757 33.1867865, -102.8238394 33.1867618, -102.8235875 33.1868268)",,,
21380430,Avenue J,residential,False,False,48.303,"LINESTRING (-102.8247553 33.1873561, -102.824754 33.1877905)",,,
117987580,Cowboy Way,primary,False,True,123.587,"LINESTRING (-102.8247553 33.1873561, -102.8235875 33.1868268)",4,US 82;US 380,55 mph
21380430,Avenue J,residential,False,True,63.336999999999996,"LINESTRING (-102.8247553 33.1873561, -102.8247553 33.1872643, -102.824757 33.1867865)",,,
117987580,Cowboy Way,primary,False,False,87.865,"LINESTRING (-102.8247553 33.1873561, -102.825466 33.1877485, -102.8255473 33.1877859)",4,US 82;US 380,55 mph
21380430,Avenue J,residential,False,True,48.303,"LINESTRING (-102.824754 33.1877905, -102.8247553 33.1873561)",,,
21387679,11th Street,residential,False,True,109.771,"LINESTRING (-102.824754 33.1877905, -102.8235744 33.1877949)",,,
21387679,11th Street,residential,False,False,73.825,"LINESTRING (-102.824754 33.1877905, -102.8253017 33.1877884, -102.8255473 33.1877859)",,,
21380464,Avenue K,residential,False,False,107.655,"LINESTRING (-102.8235744 33.1877949, -102.8235875 33.1868268)",,,
21387679,11th Street,residential,False,False,109.771,"LINESTRING (-102.8235744 33.1877949, -102.824754 33.1877905)",,,
21387679,11th Street,residential,False,True,96.743,"LINESTRING (-102.8235744 33.1877949, -102.8225348 33.1877988)",,,
"[21380464, 21384579]","['10th Street', 'Avenue K']",residential,False,"[False, True]",199.109,"LINESTRING (-102.8235744 33.1877949, -102.8235833 33.1882405, -102.8235927 33.1887081, -102.8225445 33.1887213)",,,
21380464,Avenue K,residential,False,True,107.655,"LINESTRING (-102.8235875 33.1868268, -102.8235744 33.1877949)",,,
117987580,Cowboy Way,primary,False,False,123.587,"LINESTRING (-102.8235875 33.1868268, -102.8247553 33.1873561)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,True,127.244,"LINESTRING (-102.8235875 33.1868268, -102.8223964 33.1862648)",4,US 82;US 380,55 mph
21380464,Avenue K,residential,False,False,111.02799999999999,"LINESTRING (-102.8235875 33.1868268, -102.823587 33.1863002, -102.8235872 33.1858283)",,,
21387822,12th Street,residential,False,False,109.964,"LINESTRING (-102.8235875 33.1868268, -102.8238394 33.1867618, -102.824757 33.1867865)",,,
21387155,13th Street,residential,False,False,109.131,"LINESTRING (-102.8235872 33.1858283, -102.8247599 33.185832)",,,
