osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,lanes
"[27222715, 4472462]",New Street,tertiary,"['20 mph', '30 mph']",False,False,162.36899999999997,"LINESTRING (1.340705 51.2712781, 1.3408186 51.2719033, 1.3408983 51.2721633, 1.3409503 51.2723554, 1.3409913 51.2725527, 1.3409782 51.2726822, 1.3409622 51.2727237)",,,
26923122,St. Georges Road,residential,30 mph,False,True,74.818,"LINESTRING (1.340705 51.2712781, 1.3408931 51.2712626, 1.3410686 51.2712324, 1.3412788 51.2711774, 1.3417071 51.2710476)",,,
148567239,New Street,tertiary,20 mph,False,True,18.68,"LINESTRING (1.3408992 51.272887, 1.3409622 51.2727237)",,,
4471580,New Street,tertiary,20 mph,True,False,243.844,"LINESTRING (1.3408992 51.272887, 1.3407166 51.2732815, 1.3405602 51.2734935, 1.3402164 51.2738926, 1.339768 51.2741692, 1.3394718 51.2744507, 1.3393967 51.274597, 1.3393033 51.2747514, 1.3392994 51.274797)",,,
27214970,No Name Street,residential,20 mph,False,False,20.981,"LINESTRING (1.3392994 51.274797, 1.3395232 51.2749235)",,,
4471580,New Street,tertiary,20 mph,True,False,56.846000000000004,"LINESTRING (1.3392994 51.274797, 1.3392419 51.2748304, 1.3392183 51.2748404, 1.3390131 51.2749265, 1.338992 51.2749356, 1.3388988 51.2749778, 1.3386506 51.2751066)",,,
4471581,Whitefriars,tertiary,20 mph,True,False,26.904,"LINESTRING (1.3386506 51.2751066, 1.3386089 51.2751826, 1.33859 51.2752603, 1.3386152 51.2753418)",,,
25951354,Cattle Market,tertiary,20 mph,False,False,74.009,"LINESTRING (1.3386506 51.2751066, 1.3385043 51.2749227, 1.3381822 51.274509)",,,
27214971,Delf Street,residential,20 mph,False,True,77.77,"LINESTRING (1.3386152 51.2753418, 1.3381833 51.2756256, 1.337856 51.2758551)",,,
27215154,Delf Street,unclassified,20 mph,False,False,78.471,"LINESTRING (1.3386152 51.2753418, 1.3387638 51.275265, 1.3390493 51.275132, 1.3395232 51.2749235)",,,
102686959,Harnet Street,tertiary,20 mph,True,False,98.104,"LINESTRING (1.3386152 51.2753418, 1.3386505 51.2754412, 1.3388191 51.275562, 1.3390394 51.2757594, 1.3391883 51.2759488, 1.339296 51.276103)",,,
27215255,Guildcount Lane,residential,20 mph,False,True,66.324,"LINESTRING (1.339296 51.276103, 1.3389966 51.276161, 1.338857 51.2761959, 1.3387389 51.2762614, 1.3385142 51.2764142)",,,
102686959,Harnet Street,tertiary,20 mph,True,False,48.648,"LINESTRING (1.339296 51.276103, 1.3395251 51.2763575, 1.3397173 51.2764393)",,,
5032986,Strand Street,tertiary,20 mph,True,False,103.531,"LINESTRING (1.3399273 51.2765113, 1.3399901 51.2764681, 1.3401403 51.2764034, 1.3402169 51.2763536, 1.3404849 51.2761454, 1.3407705 51.2759627, 1.3409947 51.2758727)",,,
