osmid,name,highway,oneway,reversed,length,geometry
15837101,8th Avenue,residential,False,False,53.152,"LINESTRING (-94.427734 42.379991, -94.427736 42.380469)"
15840961,,residential,False,False,53.683,"LINESTRING (-94.427734 42.379991, -94.428387 42.379971)"
15837116,5th Street,residential,False,False,154.10999999999999,"LINESTRING (-94.427734 42.379991, -94.427743 42.379706, -94.427758 42.379639, -94.427782 42.37959, -94.427821 42.379548, -94.42787 42.379517, -94.427951 42.379479, -94.428179 42.379464, -94.428587 42.379471, -94.429048 42.379485)"
15837101,8th Avenue,residential,False,True,53.152,"LINESTRING (-94.427736 42.380469, -94.427734 42.379991)"
15844029,4th Street,residential,False,False,56.44,"LINESTRING (-94.427736 42.380469, -94.428423 42.380479)"
15837101,8th Avenue,residential,False,False,135.743,"LINESTRING (-94.427736 42.380469, -94.427733 42.3807, -94.427747 42.38096, -94.42775 42.381136, -94.427727 42.381185, -94.427679 42.381216, -94.427573 42.381247, -94.427296 42.381281, -94.427215 42.381313, -94.42711 42.381368)"
15837101,8th Avenue,residential,False,True,135.74300000000002,"LINESTRING (-94.42711 42.381368, -94.427215 42.381313, -94.427296 42.381281, -94.427573 42.381247, -94.427679 42.381216, -94.427727 42.381185, -94.42775 42.381136, -94.427747 42.38096, -94.427733 42.3807, -94.427736 42.380469)"
15837116,5th Street,residential,False,False,54.902,"LINESTRING (-94.429048 42.379485, -94.429716 42.379502)"
15843859,7th Avenue,residential,False,False,51.722,"LINESTRING (-94.429048 42.379485, -94.429032 42.37995)"
15837116,5th Street,residential,False,True,154.11,"LINESTRING (-94.429048 42.379485, -94.428587 42.379471, -94.428179 42.379464, -94.427951 42.379479, -94.42787 42.379517, -94.427821 42.379548, -94.427782 42.37959, -94.427758 42.379639, -94.427743 42.379706, -94.427734 42.379991)"
15843859,7th Avenue,residential,False,True,112.122,"LINESTRING (-94.429048 42.379485, -94.429032 42.379275, -94.429036 42.378477)"
15837116,5th Street,residential,False,False,49.867,"LINESTRING (-94.429716 42.379502, -94.430323 42.379494)"
15837116,5th Street,residential,False,True,54.902,"LINESTRING (-94.429716 42.379502, -94.429048 42.379485)"
15840971,,residential,False,False,115.886,"LINESTRING (-94.429716 42.379502, -94.429739 42.378711, -94.429738 42.37846)"
15837116,5th Street,residential,False,True,49.867,"LINESTRING (-94.430323 42.379494, -94.429716 42.379502)"
15844073,6th Avenue,tertiary,False,False,49.489,"LINESTRING (-94.430323 42.379494, -94.430333 42.379939)"
15844073,6th Avenue,tertiary,False,True,21.016,"LINESTRING (-94.430323 42.379494, -94.430324 42.379305)"
15839387,,residential,False,False,18.703,"LINESTRING (-94.431562 42.37847, -94.431785 42.378504)"
15844369,6th Street,residential,False,False,101.42,"LINESTRING (-94.431562 42.37847, -94.430328 42.378439)"
15842863,4th Avenue,residential,False,False,52.342,"LINESTRING (-94.431562 42.37847, -94.431596 42.378345, -94.431579 42.378002)"
15839387,,residential,False,True,18.703,"LINESTRING (-94.431785 42.378504, -94.431562 42.37847)"
15839387,,residential,False,False,42.257000000000005,"LINESTRING (-94.431785 42.378504, -94.431904 42.378522, -94.432066 42.37851, -94.432295 42.378527)"
15839394,,residential,False,True,48.18,"LINESTRING (-94.431785 42.378504, -94.431853 42.378356, -94.431849 42.378205, -94.431819 42.378081)"
