osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
219788247,False,2,ME 236,Allen Street,secondary,30 mph,False,120.411,"LINESTRING (-70.8588279 43.2664621, -70.8589496 43.266501, -70.859187 43.266575, -70.859599 43.266732, -70.8601299 43.2669803)",
1150828283,False,2,ME 9,Saw Mill Hill,primary,25 mph,True,9.303,"LINESTRING (-70.8643077 43.26582, -70.8642307 43.2658821)",
"[888395224, 220088360, 18870629, 18869607]",False,2,"['ME 9', 'NH 9;NH 236']","['Saw Mill Hill', 'Sullivan Street', 'Market Street']",primary,"['25 mph', '30 mph']","[False, True]",62.532000000000004,"LINESTRING (-70.8643077 43.26582, -70.8643349 43.2657926, -70.8643434 43.265784, -70.8644758 43.2656466, -70.8646167 43.2655048, -70.8646295 43.2654892, -70.8646764 43.2654196, -70.864705 43.265343)",yes
"[11528144, 11527035]",False,,,"['Lyman Street', 'Lord Street']",residential,25 mph,True,175.172,"LINESTRING (-70.8601299 43.2669803, -70.860247 43.266865, -70.860787 43.2663172, -70.8608125 43.2662937, -70.861619 43.2667234)",
219788247,False,2,ME 236,Allen Street,secondary,30 mph,True,120.411,"LINESTRING (-70.8601299 43.2669803, -70.859599 43.266732, -70.859187 43.266575, -70.8589496 43.266501, -70.8588279 43.2664621)",
232801539,True,,,Sullivan Street,tertiary,25 mph,False,76.485,"LINESTRING (-70.8644537 43.2663344, -70.8645035 43.2664516, -70.8645133 43.2664747, -70.8645545 43.2665653, -70.8646053 43.266691, -70.8646411 43.266779, -70.8647262 43.2669364, -70.86475 43.2669871)",
11513578,False,,,Merriam Street,residential,25 mph,False,52.181,"LINESTRING (-70.8592434 43.2619188, -70.8589687 43.2623433)",
11513578,False,,,Merriam Street,residential,25 mph,True,52.181,"LINESTRING (-70.8589687 43.2623433, -70.8592434 43.2619188)",
11513636,False,,,1st Street,residential,25 mph,False,258.25600000000003,"LINESTRING (-70.8589687 43.2623433, -70.8592965 43.2624535, -70.8593611 43.26248, -70.859413 43.2625127, -70.8594534 43.2625558, -70.859487 43.26261, -70.859525 43.262676, -70.859546 43.262746, -70.859553 43.262799, -70.8597679 43.2644391)",
11513636,False,,,1st Street,residential,25 mph,False,67.28,"LINESTRING (-70.8597679 43.2644391, -70.8598616 43.2650403)",
11522261,False,,,Moulton Street,residential,25 mph,False,119.453,"LINESTRING (-70.8597679 43.2644391, -70.8612292 43.2642918)",
11522261,False,,,Moulton Street,residential,25 mph,True,72.668,"LINESTRING (-70.8597679 43.2644391, -70.8588816 43.2645418)",
11513636,False,,,1st Street,residential,25 mph,True,258.256,"LINESTRING (-70.8597679 43.2644391, -70.859553 43.262799, -70.859546 43.262746, -70.859525 43.262676, -70.859487 43.26261, -70.8594534 43.2625558, -70.859413 43.2625127, -70.8593611 43.26248, -70.8592965 43.2624535, -70.8589687 43.2623433)",
11513636,False,,,1st Street,residential,25 mph,True,67.28,"LINESTRING (-70.8598616 43.2650403, -70.8597679 43.2644391)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,False,115.85700000000001,"LINESTRING (-70.8598616 43.2650403, -70.8600173 43.2650174, -70.860197 43.2649968, -70.8606423 43.2649524, -70.8608481 43.2649358, -70.8609729 43.2649285, -70.8610873 43.2649264, -70.8611934 43.2649288, -70.8612807 43.2649354)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,True,74.69200000000001,"LINESTRING (-70.8598616 43.2650403, -70.8596936 43.265073, -70.8594911 43.265125, -70.8593045 43.2651837, -70.8591483 43.2652415, -70.8590146 43.2652991)",
11517602,False,,,2nd Street,residential,25 mph,False,29.938,"LINESTRING (-70.8588816 43.2645418, -70.8589001 43.2648107)",
11522261,False,,,Moulton Street,residential,25 mph,False,72.668,"LINESTRING (-70.8588816 43.2645418, -70.8597679 43.2644391)",
11517602,False,,,2nd Street,residential,25 mph,False,55.093,"LINESTRING (-70.8589001 43.2648107, -70.8590146 43.2652991)",
11517602,False,,,2nd Street,residential,25 mph,True,29.938,"LINESTRING (-70.8589001 43.2648107, -70.8588816 43.2645418)",
11517602,False,,,2nd Street,residential,25 mph,True,55.093,"LINESTRING (-70.8590146 43.2652991, -70.8589001 43.2648107)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,False,74.692,"LINESTRING (-70.8590146 43.2652991, -70.8591483 43.2652415, -70.8593045 43.2651837, -70.8594911 43.265125, -70.8596936 43.265073, -70.8598616 43.2650403)",
232801540,True,2,,Rochester Street,tertiary,25 mph,False,74.991,"LINESTRING (-70.8655765 43.2668751, -70.8650373 43.2664136, -70.8649764 43.2663614)",
232801540,True,2,,Rochester Street,tertiary,25 mph,False,32.708,"LINESTRING (-70.8649764 43.2663614, -70.8648957 43.2663009, -70.8648397 43.2662697, -70.8647645 43.2662427, -70.8647178 43.2662264, -70.8646405 43.2662065)",
11522261,False,,,Moulton Street,residential,25 mph,True,119.453,"LINESTRING (-70.8612292 43.2642918, -70.8597679 43.2644391)",
11525385,False,,,Lewis Lane,residential,25 mph,False,71.687,"LINESTRING (-70.8612292 43.2642918, -70.8612807 43.2649354)",
11522261,False,,,Moulton Street,residential,25 mph,False,163.899,"LINESTRING (-70.8612292 43.2642918, -70.8617577 43.2642315, -70.8618369 43.264228, -70.8618711 43.264232, -70.8618945 43.2642422, -70.8619134 43.2642554, -70.861927 43.2642717, -70.8619327 43.2642908, -70.8619404 43.2643197, -70.8620048 43.2651067, -70.8619854 43.2652118)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,False,95.174,"LINESTRING (-70.8619854 43.2652118, -70.8623947 43.2654784, -70.8625306 43.2655476, -70.8628177 43.2656589, -70.8629417 43.2656981)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,True,65.885,"LINESTRING (-70.8619854 43.2652118, -70.8618779 43.265146, -70.8617573 43.2650782, -70.8616595 43.2650315, -70.8615656 43.2649949, -70.861487 43.2649706, -70.861405 43.2649536, -70.8612807 43.2649354)",
11522261,False,,,Moulton Street,residential,25 mph,True,163.899,"LINESTRING (-70.8619854 43.2652118, -70.8620048 43.2651067, -70.8619404 43.2643197, -70.8619327 43.2642908, -70.861927 43.2642717, -70.8619134 43.2642554, -70.8618945 43.2642422, -70.8618711 43.264232, -70.8618369 43.264228, -70.8617577 43.2642315, -70.8612292 43.2642918)",
11525385,False,,,Lewis Lane,residential,25 mph,True,71.687,"LINESTRING (-70.8612807 43.2649354, -70.8612292 43.2642918)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,False,65.88499999999999,"LINESTRING (-70.8612807 43.2649354, -70.861405 43.2649536, -70.861487 43.2649706, -70.8615656 43.2649949, -70.8616595 43.2650315, -70.8617573 43.2650782, -70.8618779 43.265146, -70.8619854 43.2652118)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,True,115.857,"LINESTRING (-70.8612807 43.2649354, -70.8611934 43.2649288, -70.8610873 43.2649264, -70.8609729 43.2649285, -70.8608481 43.2649358, -70.8606423 43.2649524, -70.860197 43.2649968, -70.8600173 43.2650174, -70.8598616 43.2650403)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,False,58.326,"LINESTRING (-70.8629417 43.2656981, -70.863366 43.2658183, -70.8635297 43.2658631, -70.8636171 43.2658793)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,True,95.174,"LINESTRING (-70.8629417 43.2656981, -70.8628177 43.2656589, -70.8625306 43.2655476, -70.8623947 43.2654784, -70.8619854 43.2652118)",
11532405,False,,,George Street,residential,25 mph,False,156.648,"LINESTRING (-70.8629417 43.2656981, -70.862854 43.2657764, -70.8627223 43.2658904, -70.862588 43.265978, -70.8624655 43.2660584, -70.8622672 43.2661974, -70.861722 43.26663, -70.861619 43.2667234)",
11510061,False,2,ME 9,Saw Mill Hill,primary,25 mph,False,50.21,"LINESTRING (-70.8636171 43.2658793, -70.8639694 43.2658984, -70.864132 43.2658979, -70.8641699 43.2658978, -70.8641919 43.2658977, -70.8642307 43.2658821)",
11512525,False,2,,Saw Mill Hill,tertiary,25 mph,True,58.32599999999999,"LINESTRING (-70.8636171 43.2658793, -70.8635297 43.2658631, -70.863366 43.2658183, -70.8629417 43.2656981)",
11525703,True,,,Bow Street,tertiary,25 mph,False,23.419999999999998,"LINESTRING (-70.8646405 43.2662065, -70.8645837 43.2662071, -70.8645359 43.2662166, -70.8644993 43.2662524, -70.8644863 43.2662716, -70.8644537 43.2663344)",
232801540,True,2,,Rochester Street,tertiary,25 mph,False,52.547000000000004,"LINESTRING (-70.8646405 43.2662065, -70.8645422 43.2661591, -70.8644676 43.2661102, -70.8644174 43.2660399, -70.8643779 43.2659781, -70.8643715 43.2659649, -70.8643414 43.2659033, -70.8643077 43.26582)",
"[11528144, 11527035]",False,,,"['Lyman Street', 'Lord Street']",residential,25 mph,False,175.172,"LINESTRING (-70.861619 43.2667234, -70.8608125 43.2662937, -70.860787 43.2663172, -70.860247 43.266865, -70.8601299 43.2669803)",
