osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
392519813,True,5,North Center Street,secondary,False,28.803,"LINESTRING (-121.2924682 37.9575052, -121.2924013 37.9572516)",,
875750455,False,,West Fremont Street,residential,True,116.074,"LINESTRING (-121.2924682 37.9575052, -121.2937695 37.957313)",,
875817746,False,,East Fremont Street,residential,False,116.757,"LINESTRING (-121.2924682 37.9575052, -121.2914057 37.9576691, -121.2911606 37.9576341)",,
875750457,False,4,North Hunter Street,residential,True,102.069,"LINESTRING (-121.289827 37.957871, -121.2895798 37.956974)",,
10535215,False,,East Fremont Street,residential,False,118.826,"LINESTRING (-121.289827 37.957871, -121.289773 37.957915, -121.289713 37.957951, -121.289663 37.957968, -121.2885411 37.9581593)",,
875750456,False,,East Fremont Street,residential,True,123.752,"LINESTRING (-121.289827 37.957871, -121.289897 37.9578, -121.289978 37.957772, -121.2904862 37.9576861, -121.290972 37.957604, -121.2911606 37.9576341)",,
875750458,False,4,North Hunter Street,residential,False,118.673,"LINESTRING (-121.289827 37.957871, -121.2899743 37.9584183, -121.290108 37.958915)",,
876613966,False,,North San Joaquin Street,residential,False,111.154,"LINESTRING (-121.2885411 37.9581593, -121.288807 37.9591367)",,
876613966,False,,North San Joaquin Street,residential,True,109.929,"LINESTRING (-121.2885411 37.9581593, -121.288278 37.9571927)",,
10535215,False,,East Fremont Street,residential,False,116.619,"LINESTRING (-121.2885411 37.9581593, -121.287794 37.9582867, -121.287241 37.958381)",,
10535215,False,,East Fremont Street,residential,True,118.826,"LINESTRING (-121.2885411 37.9581593, -121.289663 37.957968, -121.289713 37.957951, -121.289773 37.957915, -121.289827 37.957871)",,
10535215,False,,East Fremont Street,residential,False,117.17,"LINESTRING (-121.287241 37.958381, -121.285934 37.958601)",,
876613977,False,,North Sutter Street,residential,False,110.768,"LINESTRING (-121.287241 37.958381, -121.2875 37.959356)",,
876613977,False,,North Sutter Street,residential,True,110.275,"LINESTRING (-121.287241 37.958381, -121.2869768 37.9574114)",,
10535215,False,,East Fremont Street,residential,True,116.619,"LINESTRING (-121.287241 37.958381, -121.287794 37.9582867, -121.2885411 37.9581593)",,
10535215,False,,East Fremont Street,residential,True,117.17,"LINESTRING (-121.285934 37.958601, -121.287241 37.958381)",,
37999286,False,,North California Street,residential,False,110.31299999999999,"LINESTRING (-121.285934 37.958601, -121.2857514 37.9579316, -121.2856695 37.9576311)",,
37999286,False,,North California Street,residential,True,111.23899999999999,"LINESTRING (-121.285934 37.958601, -121.286046 37.9590112, -121.286201 37.959579)",,
206844160,False,,North California Street,residential,True,118.891,"LINESTRING (-121.285104 37.955535, -121.285385 37.956581)",,
875750466,False,,Channel Street,residential,False,116.551,"LINESTRING (-121.285104 37.955535, -121.2852404 37.955512, -121.2863001 37.9553335, -121.286404 37.955316)",,
37999286,False,,North California Street,residential,True,119.4,"LINESTRING (-121.285385 37.956581, -121.2856695 37.9576311)",,
206844160,False,,North California Street,residential,False,118.891,"LINESTRING (-121.285385 37.956581, -121.285104 37.955535)",,
875817748,False,3,East Miner Avenue,secondary,True,117.184,"LINESTRING (-121.285385 37.956581, -121.2866918 37.9563598)",,
37999286,False,,North California Street,residential,False,119.4,"LINESTRING (-121.2856695 37.9576311, -121.285385 37.956581)",,
