osmid,highway,oneway,reversed,length,geometry,name
24187925,residential,False,True,17.002,"LINESTRING (-170.7275982 -14.3281154, -170.7274605 -14.3281901)",
24189022,residential,False,False,18.022,"LINESTRING (-170.7275982 -14.3281154, -170.7275809 -14.3282029, -170.7276124 -14.3282692)",
24188078,residential,False,False,208.24500000000003,"LINESTRING (-170.7239494 -14.3301016, -170.7239905 -14.3301282, -170.7245105 -14.3301964, -170.7250274 -14.3302443, -170.7252576 -14.3302535, -170.7253487 -14.3302693, -170.7255167 -14.3302842, -170.7258643 -14.3302972)",
24188604,residential,False,False,127.07799999999999,"LINESTRING (-170.7239494 -14.3301016, -170.7238035 -14.3303926, -170.7237957 -14.3304108, -170.7236764 -14.3306077, -170.7236619 -14.3306322, -170.7234869 -14.3309349, -170.723388 -14.331106)",Procurement Road
24188604,residential,False,True,50.079,"LINESTRING (-170.7239494 -14.3301016, -170.7239369 -14.3300619, -170.7239261 -14.3299884, -170.7239146 -14.3299127, -170.7239011 -14.3297377, -170.7238989 -14.3297081, -170.7238948 -14.3296553)",Procurement Road
24188078,residential,False,False,89.93800000000002,"LINESTRING (-170.7258643 -14.3302972, -170.7260207 -14.3303014, -170.7261532 -14.3303112, -170.7263575 -14.3303248, -170.7265298 -14.3303478, -170.7266926 -14.3303828)",
24188078,residential,False,True,208.245,"LINESTRING (-170.7258643 -14.3302972, -170.7255167 -14.3302842, -170.7253487 -14.3302693, -170.7252576 -14.3302535, -170.7250274 -14.3302443, -170.7245105 -14.3301964, -170.7239905 -14.3301282, -170.7239494 -14.3301016)",
434378187,residential,False,False,58.555,"LINESTRING (-170.7258643 -14.3302972, -170.7258196 -14.3307539, -170.7258109 -14.3307865, -170.7257942 -14.3308166)",
24188078,residential,False,False,111.81099999999999,"LINESTRING (-170.7273575 -14.3304984, -170.7276028 -14.3305443, -170.7278796 -14.3305434, -170.7280078 -14.3305509, -170.7283335 -14.3305646, -170.7283902 -14.330562)",
24188078,residential,False,True,72.949,"LINESTRING (-170.7273575 -14.3304984, -170.7270115 -14.3304611, -170.7266926 -14.3303828)",
"[24188825, 24188828]",residential,False,True,150.318,"LINESTRING (-170.7273575 -14.3304984, -170.7274092 -14.3300991, -170.7274216 -14.3299324, -170.7274489 -14.3298455, -170.7274917 -14.3297735, -170.7275429 -14.3295759, -170.7275434 -14.3294995, -170.7275632 -14.3293966, -170.7276034 -14.3292797, -170.7276803 -14.3292125)",
24188078,residential,False,True,111.81099999999999,"LINESTRING (-170.7283902 -14.330562, -170.7283335 -14.3305646, -170.7280078 -14.3305509, -170.7278796 -14.3305434, -170.7276028 -14.3305443, -170.7273575 -14.3304984)",
24188503,residential,False,True,8.318,"LINESTRING (-170.7265258 -14.3280914, -170.7265857 -14.3281386)",
"[434031794, 24188331]",residential,False,False,183.117,"LINESTRING (-170.7265258 -14.3280914, -170.7263837 -14.3280937, -170.7260744 -14.3282806, -170.726017 -14.328313, -170.7258842 -14.3283607, -170.7257608 -14.3283987, -170.725695 -14.3284152, -170.7256248 -14.3284369, -170.725558 -14.3284602, -170.7254859 -14.3284853, -170.7253255 -14.3285543, -170.7249816 -14.328734)",
24188503,residential,False,False,122.45699999999998,"LINESTRING (-170.7265258 -14.3280914, -170.7265287 -14.3279659, -170.7264468 -14.327792, -170.7263324 -14.3276361, -170.7262947 -14.3276027, -170.7262297 -14.3275775, -170.7261581 -14.3275863, -170.7260088 -14.3276357, -170.7259652 -14.3276319, -170.725929 -14.3276208, -170.7258799 -14.3275663, -170.7258272 -14.3274784)",
434031794,residential,False,False,21.921,"LINESTRING (-170.7249816 -14.328734, -170.7247933 -14.3288087)",
"[24189216, 375158051]",residential,False,False,64.383,"LINESTRING (-170.7249816 -14.328734, -170.7250527 -14.3288918, -170.7251497 -14.3290702, -170.725242 -14.3291047, -170.7253469 -14.329145)",
"[434031794, 24188331]",residential,False,True,183.11700000000002,"LINESTRING (-170.7249816 -14.328734, -170.7253255 -14.3285543, -170.7254859 -14.3284853, -170.725558 -14.3284602, -170.7256248 -14.3284369, -170.725695 -14.3284152, -170.7257608 -14.3283987, -170.7258842 -14.3283607, -170.726017 -14.328313, -170.7260744 -14.3282806, -170.7263837 -14.3280937, -170.7265258 -14.3280914)",
434031794,residential,False,True,21.921,"LINESTRING (-170.7247933 -14.3288087, -170.7249816 -14.328734)",
