osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
11431716,Railroad Square,tertiary,False,False,14.977,,,"LINESTRING (-69.6321074 44.5565871, -69.6319404 44.5566502)",,
301637938,Main Street,primary,False,True,13.731,ME 104,25 mph,"LINESTRING (-69.6321074 44.5565871, -69.6320806 44.5564651)",,
301637938,Main Street,primary,False,False,29.597,ME 104,25 mph,"LINESTRING (-69.6321074 44.5565871, -69.6321478 44.5567683, -69.6321629 44.5568503)",,
11432451,Head Of Falls,residential,False,False,417.14199999999994,,,"LINESTRING (-69.6280956 44.550727, -69.628067 44.5507654, -69.6280588 44.5508097, -69.6280642 44.5509279, -69.6279563 44.5532582, -69.627948 44.5533769, -69.62794 44.553581, -69.6278903 44.5539251, -69.627797 44.5542775, -69.6277387 44.5544587)",,
"[1264218939, 1258805469]",Temple Street,residential,False,False,32.993,,25 mph,"LINESTRING (-69.6280956 44.550727, -69.6279764 44.550732, -69.6279218 44.5507234, -69.6278867 44.5507061, -69.627866 44.5506869, -69.6278385 44.5506375, -69.6278375 44.5505735)",,
1258805469,Temple Street,residential,False,True,33.747,,25 mph,"LINESTRING (-69.6280956 44.550727, -69.6281793 44.550718, -69.6283464 44.5507125, -69.6285193 44.5506989)",,
11433016,Concourse East,residential,False,False,96.83500000000001,,,"LINESTRING (-69.6309309 44.5504726, -69.6310271 44.550623, -69.6311279 44.5507811, -69.6312393 44.5509685, -69.6313198 44.5511311, -69.6313616 44.5512059, -69.6314025 44.5512755)",,
475991274,Concourse East,residential,False,True,199.134,,,"LINESTRING (-69.6309309 44.5504726, -69.6308507 44.5503408, -69.6308354 44.5503156, -69.6308248 44.5502884, -69.6307026 44.5499759, -69.6305926 44.549723, -69.630466 44.5494432, -69.6304743 44.5494004, -69.6304207 44.5493552, -69.6303774 44.5492384, -69.630301 44.549079, -69.6302753 44.5489076, -69.6302698 44.5487633)",,
827113915,Concourse West,residential,False,False,51.340999999999994,,,"LINESTRING (-69.6309309 44.5504726, -69.6308378 44.5505125, -69.6304523 44.550591, -69.6303143 44.5505841)",,
"[827113915, 241870654]","['Concourse East', 'Concourse West']",residential,False,True,208.575,,,"LINESTRING (-69.6309309 44.5504726, -69.6310604 44.5504153, -69.6311335 44.5503634, -69.6311847 44.5503026, -69.6312164 44.5502502, -69.6312328 44.5502022, -69.6312333 44.5501478, -69.6312375 44.5501101, -69.6312017 44.5500007, -69.6311885 44.5499563, -69.6311327 44.5498539, -69.6311179 44.549789, -69.631107 44.5497293, -69.6311152 44.5496495, -69.6311846 44.5494677, -69.6312325 44.5494112, -69.6313677 44.549271, -69.6314368 44.5492034, -69.6314965 44.5491297, -69.6316319 44.5489648, -69.6317496 44.5488214)",,
